Kat. ceste;Stev. ceste;Stev. odseka;Prometni odsek;Stac. zacetka;Stac. konca;Stevno mesto;Tip pr. odseka;Tip avt. stevca;Leto roc. (avt.) stetja;Ime stevnega mesta;Vsa vozila (PLDP);Motorji;Osebna vozila;Avtobusi;Lah. tov. < 3,5t;Sr. tov.  3,5-7t;Tez. tov. nad 7t;Tov. s prik.
AC;A1;0150;PRIKLJ. VRHNIKA;0;1.381;804;O;QLD-3; ;CP Vrhnika;12.229;33;10.830;56;750;200;120;240
AC;A1;0053;VRHNIKA-LOGATEC;0;8.279;;P; ; ; ;36.200;90;29.230;240;1.310;320;570;4.440
AC;A1;0151;PRIKLJ. LOGATEC;0;2.480;805;O;QLD-3; ;CP Logatec;4.503;42;3.745;62;266;130;90;168
AC;A1;0054;LOGATEC-UNEC;0;10.422;;P; ; ; ;33.500;65;26.910;180;1.040;335;470;4.500
AC;A1;0152;PRIKLJ. UNEC;0;404;824;O;QLD-3; ;CP Unec-LJ;3.503;12;3.106;20;105;150;50;60
AC;A1;0152;PRIKLJ. UNEC;404;788;825;O;QLD-3; ;CP Unec-KP;1.145;3;893;10;49;100;50;40
AC;A1;0055;UNEC-POSTOJNA;0;11.375;822;O;QLD-6; ;Ravbarkomanda AC;31.154;89;23.088;264;2.276;370;510;4.557
AC;A1;0153;PRIKLJ. POSTOJNA;0;900;826;O;QLD-3; ;CP Postojna-LJ;6.829;46;5.766;84;205;165;233;330
AC;A1;0153;PRIKLJ. POSTOJNA;900;1.178;827;O;QLD-3; ;CP Postojna-KP;1.815;13;1.568;22;54;79;46;33
AC;A1;0056;POSTOJNA-RAZDRTO;0;9.370;;P; ; ; ;26.100;75;19.118;264;1.848;264;245;4.286
AC;A1;0056;RAZDRTO-NANOS;9370;11.182;;P; ; ; ;26.000;74;19.084;263;1.839;260;230;4.250
AC;A1;0197;PRIKLJ. RAZDRTO;0;250;828;O;QLD-6; ;CP Razdrto-LJ;331;1;232;2;15;7;20;54
AC;A1;0197;PRIKLJ. RAZDRTO;250;698;829;O;QLD-6; ;CP Razdrto-KP;208;0;175;1;6;3;5;18
AC;A1;0057;NANOS - SENOZECE;0;5.458;;P; ; ; ;21.600;55;16.885;150;960;170;180;3.200
AC;A1;0155;PRIKLJ. SENOZECE;0;1.680;818;O;QLD-6; ;CP Senozece;1.327;2;1.032;5;88;32;42;126
AC;A1;0058;SENOZECE -  GABRK;0;4.384;812;O;QLD-6; ;Cebulovica AC;20.950;59;16.028;190;1.396;195;189;2.893
AC;A1;0059;GABRK - DIVACA;0;2.873;;P; ; ; ;15.000;35;12.090;80;560;175;160;1.900
AC;A1;0157;PRIKLJ. DIVACA;0;2.079;817;O;QLD-6; ;CP Divaca;1.261;3;1.098;12;81;20;20;27
AC;A1;0060;DIVACA-KOZINA;0;6.940;2101;O;QLD-6; ;Kozina AC;15.347;49;13.167;114;969;131;132;785
AC;A1;0060;KOZINA-CP VIDEZ;6940;7.151;820;O;QLD-6; ;CP Videz;13.692;42;11.913;98;830;105;107;597
AC;A1;0158;PRIKLJ. KOZINA;0;700;821;O;QLD-6; ;CP Kozina-LJ;1.656;7;1.257;16;139;25;24;188
AC;A1;0158;PRIKLJ. KOZINA;700;2.195;823;O;QLD-6; ;CP Kozina-KP;953;4;771;5;71;16;20;66
AC;A1;0061;KOZINA-KASTELEC;0;8.470;2102;O;QLD-6; ;Ravne AC;14.644;46;12.684;103;901;121;127;662
AC;A1;0061;KASTELEC-CRNI KAL;8470;11.818;;P; ; ; ;18.500;50;15.935;100;890;245;240;1.040
AC;A1;0062;CRNI KAL - SRMIN;0;7.116;803;O;QLD-6; ;Dekani AC;19.606;82;16.571;109;1.223;256;360;1.005
AC;A2;0001;MP KARAVANKE-HRUSICA;0;5.361;673;O;QLD-6; ;MP Karavanke;6.283;23;5.005;100;451;40;56;608
AC;A2;0002;HRUSICA-LIPCE;0;7.154;;P; ; ; ;14.000;80;12.035;90;770;145;170;710
AC;A2;0003;LIPCE-LESCE;0;6.298;646;O;QLD-6; ;Lipce AC;17.329;85;14.782;145;1.180;183;212;742
AC;A2;0103;ZACASNI PRIKLJ. VRBA;0;382;;P; ; ; ;17.329;84;14.808;153;1.179;180;183;742
AC;A2;1498;ZACASNI PRIKLJUCEK LESNICA;0;76;;P; ; ; ;27.300;100;23.650;260;1.700;330;360;900
AC;A2;0005;(BREZJE) LESNICA-PODTABOR;0;1.102;;P; ; ; ;27.500;100;23.980;290;1.570;370;330;860
AC;A2;0006;PODTABOR-KRANJ Z;0;7.313;647;O;QLD-6; ;Naklo AC;33.273;133;28.961;287;2.192;421;378;901
AC;A2;0007;KRANJ Z-KRANJ V;0;5.674;;P; ; ; ;23.900;110;20.830;170;1.530;350;250;660
AC;A2;0008;KRANJ V - BRNIK;0;3.900;;P; ; ; ;20.400;35;17.925;130;1.290;250;200;570
AC;A2;0009;BRNIK - VODICE;0;5.246;850;O;QLD-3; ;CP Torovo;20.305;83;17.777;197;1.218;180;200;650
AC;A2;0010;VODICE -LJ( SMARTNO);0;6.968;853;O;QLD-6; ;Povodje AC;30.708;86;27.220;189;1.997;242;280;694
AC;A2;0011;LJ (SMARTNO-BROD);0;2.374;;P; ; ; ;31.000;120;27.450;200;2.060;270;190;710
AC;A2;0012;LJ (BROD-SENTVID);0;879;;P; ; ; ;27.800;90;25.050;150;1.360;260;180;710
AC;A2;0014;LJ (KOSEZE-BRDO);0;1.859;170;P;; ;Z Obvoznica;68.500;244;59.940;242;3.764;1.030;870;2.410
AC;A2;0015;LJ (BRDO-KOZARJE);0;2.392;855;O;QLD-6; ;Bokalce AC;59.723;201;50.980;222;4.288;744;1.019;2.269
AC;A2;0020; LJ (MALENCE)-SMARJE-SAP;0;6.038;645;O;QLD-6; ;Smarje Sap AC;42.710;68;36.782;242;2.713;491;550;1.864
AC;A2;0407;PRIKLJ. SMARJE-SAP NM;0;926;876;O;QLD-5; ;Prikljucek Smarje Sap_NM;2.005;1;1.782;16;105;44;31;26
AC;A2;0021;SMARJE SAP-CIKAVA;0;1.780;2303;O;QLD-5; ;Cikava AC;44.715;69;38.564;258;2.818;535;581;1.890
AC;A2;0021;CIKAVA-GROSUPLJE;1780;3.873;;P; ; ; ;35.000;60;29.520;250;2.240;500;540;1.890
AC;A2;0022;GROSUPLJE-VISNJA GORA;0;7.500;;P; ; ; ;31.000;50;26.251;204;2.000;365;450;1.680
AC;A2;0022;VISNJA GORA-IVANCNA GORICA;7500;13.061;601;O;QLD-6; ;Visnja Gora AC;30.076;67;25.092;213;2.213;360;454;1.677
AC;A2;0023;IVANCNA GORICA-BIC;0;6.889;870;O;QLD-6; ;CP Dob;16.687;23;13.760;231;956;172;185;1.360
AC;A2;0072;BIC-PLUSKA (TREBNJE);0;6.909;;P; ; ; ;19.805;33;16.047;249;1.243;276;411;1.546
AC;A2;0024;(TREBNJE) HRASTJE-NM PRIKLJ. Z;0;4.250;;P; ; ; ;18.373;35;15.022;188;1.146;200;302;1.480
AC;A2;0024;NM PRIKLJ. Z - NM PRIKLJ. V;4250;6.208;;P; ; ; ;12.000;30;9.370;150;800;150;250;1.250
AC;A2;0025;NM PRIKLJ.V- LESNICA (KRONOVO);0;1.915;;P; ; ; ;19.000;25;16.435;100;550;400;300;1.190
AC;A2;0026;KRONOVO - DOBRUSKA VAS;0;4.934;602;O;QLD-6; ;Draga AC;16.300;32;13.259;190;1.054;216;216;1.333
AC;A2;0027;DOBRUSKA VAS - SMEDNIK;0;5.900;;P; ; ; ;15.500;30;13.000;140;660;180;210;1.280
AC;A2;0027;SMEDNIK - PRIKLJUCEK DRNOVO;5900;13.500;2301;O;QLD-6; ;Zaloke AC;12.482;19;9.969;184;716;174;188;1.232
AC;A2;0027;PRIKLJUCEK DRNOVO - DRNOVO;13500;13.654;871;O;QLD-6; ;CP Drnovo;9.391;13;7.573;168;483;77;71;1.006
AC;A2;0418;PRIKLJ. DRNOVO;0;2.300;873;O;QLD-6; ;CP Krsko-NM;3.091;5;2.397;16;233;97;117;226
AC;A2;0418;PRIKLJ. DRNOVO;2300;2.844;874;O;QLD-6; ;CP Krsko-Catez;922;3;777;7;46;10;12;67
AC;A2;0028;DRNOVO - BREZICE;0;11.717;2302;O;QLD-6; ;Brezice AC;10.312;16;8.349;176;529;86;83;1.073
AC;A2;0029;BREZICE-OBREZJE;0;7.850;512;O;QLD-6; ;Catez AC;11.550;23;9.565;155;597;68;68;1.074
AC;A2;0029;OBREZJE - MP OBREZJE;7850;8.534;511;O;QLD-6; ;MP Obrezje;8.410;31;6.870;152;300;39;56;962
AC;A3;0068;GABRK-SEZANA V;0;7.977;813;O;QLD-3; ;CP Dane;8.525;43;5.719;136;500;59;68;2.000
AC;A3;0069;SEZANA V - SEZANA Z;0;2.698;;P; ; ; ;8.000;12;5.258;80;280;50;70;2.250
AC;A3;0070;SEZANA Z - FERNETICI;0;1.270;863;O;QLD-6; ;Sezana AC;7.302;28;4.846;103;354;55;64;1.852
AC;A3;0070;FERNETICI-MP FERNETICI;1270;1.571;653;O;QLD-6; ;MP Fernetici;11.291;66;8.040;115;484;88;96;2.402
AC;A3;0486;PRIKLJ. FERNETICI;0;643;864;O;QLD-6; ;Prikljucek Fernetici;3.535;36;3.184;11;121;27;26;130
AC;A5;0810;VUCJA VAS-MURSKA SOBOTA;0;6.212;841;O;QLD-6; ;Vucja vas AC;4.973;14;2.095;21;221;107;203;2.312
AC;A5;0811;MURSKA SOBOTA-LIPOVCI;0;3.798;;P; ; ; ;4.900;16;2.033;85;249;85;132;2.300
HC;H1;1462;CRNIVEC-LESNICA;0;4.642;50;O;QLD-6; ;Lesnica;27.331;110;23.657;258;1.698;333;359;916
HC;H1;0220;PLUSKA-TREBNJE;0;3.505;55;O;QLD-5; ;Trebnje 2;19.805;33;16.047;249;1.243;276;411;1.546
HC;H1;0221;TREBNJE-KARTELJEVO;0;11.380;634;O;QLD-6; ;Trebnje;18.373;35;15.022;188;1.146;200;302;1.480
HC;H1;1472;LESNICA-OTOCEC;0;2.960;;P; ; ; ;19.000;25;16.435;100;550;400;300;1.190
HC;H1;0224;OTOCEC-KRONOVO;0;3.051;;P; ; ; ;16.300;32;13.259;190;1.054;216;216;1.333
HC;H2;0032;PESNICA-MARIBOR;0;4.588;16;O;QLD-6; ;Meljska HC;34.752;106;27.300;252;1.916;465;619;4.094
HC;H2;0033;MB(MELJSKA)-POBREZJE;0;1.470;;P; ; ; ;47.700;100;40.540;200;1.730;430;600;4.100
HC;H2;0033;POBREZJE-MB(TEZNO);1470;2.634;15;O;QLD-6; ;Maribor HC;48.789;116;40.378;304;2.426;624;785;4.156
HC;H3;0085;LJ (ZADOBROVA-SMARTINSKA);0;1.511;179;O;QLD-6; ;SV Obvoznica;62.346;109;54.943;137;3.683;715;938;1.821
HC;H3;0086;LJ (SMARTINSKA-TOMACEVO);0;2.084;;P; ; ; ;67.000;110;59.350;120;3.450;1.120;850;2.000
HC;H3;0088;LJ (TOMACEVO-DUNAJSKA);0;1.238;;P; ; ; ;70.000;130;62.450;140;3.550;1.220;710;1.800
HC;H3;0089;LJ (DUNAJSKA-SAVLJE);0;1.180;174;O;QLD-6; ;S Obvoznica;59.468;122;52.063;101;3.725;679;922;1.856
HC;H3;0089;LJ (SAVLJE-CELOVSKA);1180;2.654;;P; ; ; ;62.000;120;54.390;100;3.900;700;930;1.860
HC;H3;0090;LJ (CELOVSKA-KOSEZE);0;1.900;199;O;QLD-6; ;Dravlje HC;65.428;199;56.453;220;4.430;838;1.020;2.268
HC;H4;0374;RAZCEP RAZDRTO;0;440;819;O;QLD-6; ;CP Nanos;6.503;13;4.397;63;498;134;158;1.240
HC;H4;0374;PODNANOS - VIPAVA;440;2.756;;P; ; ; ;7.700;39;5.231;55;550;185;280;1.360
HC;H4;1502;ZACASNI PRIKLJ.RAZDRTO;0;113;;P; ; ; ;6.503;13;4.397;63;498;134;158;1.240
HC;H4;1500;ZACASNI PRIKLJ. PODNANOS;0;194;;P; ; ; ;7.700;39;5.231;55;550;185;280;1.360
HC;H4;0375;VIPAVA-AJDOVSCINA;0;6.763;;P; ; ; ;9.000;36;6.500;34;650;180;250;1.350
HC;H4;0376;AJDOVSCINA-SELO;0;9.174;635;O;QLD-6; ;Ajdovscina HC;11.428;22;8.877;32;762;248;254;1.233
HC;H4;0378;SELO-VOGRSKO;0;6.726;816;O;QLD-6; ;Selo HC;10.831;22;8.364;59;780;199;178;1.229
HC;H4;0379;VOGRSKO-NOVA GORICA;0;4.776;815;O;QLD-3; ;CP Bazara;2.974;9;1.648;56;264;27;20;950
HC;H4;0380;NOVA GORICA-MP VRTOJBA;0;2.238;671;O;QLD-3; ;MP Vrtojba;6.793;15;4.677;47;590;62;79;1.323
HC;H5;0388;MP SKOFIJE-PLAVJE;0;560;651;O;QLD-6;05 QLD3;MP Skofije;13.280;181;11.988;75;596;80;55;305
HC;H5;0388;PLAVJE-SKOFIJE;560;2.120;860;O;QLD-6; ;Skofije HC;12.363;161;11.131;64;576;75;56;300
HC;H5;0388;SKOFIJE-SERMIN;2120;4.156;;P; ; ; ;20.000;160;18.230;100;950;160;150;250
HC;H5;0456;PRIKLJUCEK PLAVJE;0;100;861;O;QLD-6; ;PR Skofije-KP;477;3;443;1;19;4;4;3
HC;H5;0456;PRIKLJUCEK PLAVJE;100;129;862;O;QLD-6; ;PR Skofije-MP;1.394;23;1.302;12;39;8;2;8
HC;H5;0236;SERMIN-BERTOKI;0;1.129;;P; ; ; ;43.000;330;38.420;250;2.000;450;450;1.100
HC;H5;0237;BERTOKI-KP(SKOCJAN);0;2.548;11;O;QLD-6; ;Bertoki AC;50.341;340;45.121;242;2.546;534;514;1.044
G1;1;0240;MP VIC-DRAVOGRAD;0;3.590;663;O;QLD-6; ;MP Vic;1.541;36;1.178;6;85;18;27;191
G1;1;0241;DRAVOGRAD-RADLJE;0;16.358;60;O;QLD-6; ;Gortina;7.340;59;6.349;57;430;114;115;216
G1;1;0242;RADLJE;0;2.350;;P; ; ; ;8.600;36;7.629;82;408;150;105;190
G1;1;0243;RADLJE-BREZNO;0;9.068;605;O;QLD-3; ;Brezno;4.733;29;4.017;56;306;104;84;137
G1;1;0244;BREZNO-RUTA;0;9.569;;P; ; ; ;5.200;20;4.470;59;286;115;90;160
G1;1;0245;RUTA-SELNICA;0;10.500;600;O;QLD-6 sel; ;Zgornji Boc;4.947;37;4.167;56;329;93;92;173
G1;1;0245;SELNICA-MB(OTOK);10500;20.120;61;O;QLD-6; ;Brestrnica;9.407;58;8.327;83;419;148;159;213
G1;1;0245;MB(OTOK)-MB(KOROSKI MOST);20120;20.688;;P; ; ; ;15.400;35;14.045;120;500;260;270;170
G1;1;0326;MB (KOR. MOST-C. PROLETARSKIH BRIGAD);0;2.014;18;O;QLD-6; ;MB Koroski most;24.486;71;22.789;62;909;206;223;226
G1;1;0364;MB (C. PROLETARSKIH BRIGAD-TRZASKA C.);0;2.227;;P; ; ; ;30.000;80;27.120;160;950;450;290;950
G1;1;0246;MB (TRZASKA C.)-MIKLAVZ;0;3.532;19;O;QLD-6; ;MB Ptujska;30.898;80;27.067;256;1.534;343;407;1.211
G1;1;1400;MB AC-MIKLAVZ;0;3.000;20;O;QLD-5; ;Miklavz sever;22.743;70;19.415;288;1.209;314;302;1.145
G1;1;1400;MIKLAVZ-HAJDINA;3000;17.291;606;O;QLD-6; ;Starse;17.890;44;15.255;193;904;175;195;1.124
G1;2;1290;SL.BISTRICA-PRAGERSKI GRAD;0;3.520;196;O;QLD-6; ;Devina;9.811;36;7.892;38;618;223;327;677
G1;2;1290;PRAGERSKI GRAD-PRAGERSKO;3520;6.500;;P; ; ; ;2.500;3;2.277;5;60;25;20;110
G1;2;1290;PRAGERSKO-SIKOLE;6500;10.164;640;O;QLD-6 sel;;Sikole;1.503;6;1.303;3;81;23;37;50
;;0392;PRAGERSKO-SIKOLE;0;4.960;641;O;QLD-6; ;Sikole 2;6.823;31;5.083;33;553;161;293;669
G1;2;0393;SIKOLE-KIDRICEVO;0;6.850;;P; ; ; ;9.500;35;7.155;50;750;450;260;800
G1;2;0393;KIDRICEVO-HAJDINA;6850;9.924;639;O;QLD-5; ;Zgornja Hajdina;12.822;54;10.474;76;707;406;402;703
G1;2;0247;HAJDINA-PTUJ;0;2.070;637;O;QLD-6; ;Ptuj Zahod;20.360;62;17.151;153;1.072;415;497;1.010
G1;2;0248;PTUJ;0;1.025;;P; ; ; ;28.000;55;24.950;250;1.000;550;295;900
G1;2;0249;PTUJ-SPUHLJA;0;3.020;638;O;QLD-6; ;Ptuj Vzhod;11.100;46;9.279;97;600;172;224;682
G1;2;0250;SPUHLJA-GORISNICA;0;8.030;;P; ; ; ;7.500;35;6.185;60;450;220;150;400
G1;2;0250;GORISNICA-ORMOZ;8030;17.688;62;O;QLD-6; ;Cvetkovci;6.639;36;5.414;46;408;128;138;469
G1;2;0398;ORMOZ Z - ORMOZ V;0;3.020;;P; ; ; ;5.000;40;3.800;40;400;125;135;460
G1;2;1313;ORMOZ-SREDISCE OB DRAVI;0;9.000;355;O;QLD-6; ;Grabe;2.881;21;2.422;15;128;47;55;193
G1;2;1313;SREDISCE OB DRAVI - MP SRED.;9000;11.865;522;O;QLD-3; ;MP Sredisce ob Dravi;1.096;10;694;10;107;40;50;185
G1;3;0314;PESNICA-LENART;0;14.294;84;O;QLD-6; ;Mocna;15.525;43;11.460;115;844;234;383;2.446
G1;3;0315;LENART-GORNJA RADGONA;0;17.558;85;O;QLD-6; ;Ihova;8.593;32;5.137;84;529;154;283;2.374
G1;3;0316;GORNJA RADGONA;0;1.942;;P; ; ; ;12.800;35;9.235;140;530;190;270;2.400
G1;3;0366;GORNJA RADGONA-RADENCI;0;5.640;86;O;QLD-6; ;Sratovci;11.173;44;7.526;113;601;189;275;2.425
G1;3;1164;RADENCI;0;374;;P; ; ; ;8.500;20;5.500;70;330;165;115;2.300
G1;3;1308;RADENCI-VUCJA VAS;0;7.796;352;O;QLD-6; ;Radenci;6.700;37;3.772;45;287;110;149;2.300
G1;3;1397;LIPOVCI-BRATONCI;0;1.485;146;O;QLD-6; ;Lipovci;15.054;32;11.625;120;578;205;192;2.302
G1;3;0320;BRATONCI-BELTINCI;0;2.250;;P; ; ; ;11.000;15;7.720;160;430;270;105;2.300
G1;3;0321;BELTINCI-CRENSOVCI;0;5.800;87;O;QLD-6 sel; ;Odranci;6.970;19;3.976;57;268;93;123;2.434
G1;3;0369;CRENSOVCI;0;420;;P; ; ; ;7.200;25;4.035;80;320;200;130;2.410
G1;3;0322;CRENSOVCI-D.LAKOS;0;14.050;88;O;QLD-6; ;Hotiza;6.879;19;3.813;61;311;123;146;2.406
G1;3;0815;D.LAKOS-RONDO DOLGA VAS;0;4.670;685;O;QLD-6; ;Lendavska obvoznica;4.332;13;1.543;19;146;63;131;2.417
G1;3;1453;DOLGA VAS-MP DOLGA VAS;0;2.520;141;O;QLD-3; ;MP Dolga vas;4.616;15;1.881;10;100;60;120;2.430
G1;4;1257;DRAVOGRAD-OTISKI VRH;0;1.370;480;O;QLD-5; ;Dravograd;12.747;18;11.239;128;717;150;239;256
G1;4;1258;OTISKI VRH-SL.GRADEC;0;9.170;131;O;QLD-6; ;Bukovska vas;10.598;70;9.121;71;589;138;262;347
G1;4;1445;SL.GRADEC;0;1.910;;P; ; ; ;12.200;99;10.674;100;612;245;170;300
G1;4;1259;SL.GRADEC-LUZNIK;0;6.600;329;O;QLD-6; ;Smartno SG;12.075;80;10.594;76;647;194;177;307
G1;4;1259;LUZNIK-ZG.DOLIC;6600;12.897;621;O;QLD-6; ;Mislinja;8.688;65;7.354;70;538;170;184;307
G1;4;1260;ZG.DOLIC-VELENJE;0;11.375;315;O;QLD-6; ;Paka;8.749;66;7.416;71;542;132;222;300
G1;4;1261;VELENJE-CRNOVA;0;7.427;132;O;QLD-6; ;Crnova;16.766;71;14.708;97;937;245;243;465
G1;4;1262;CRNOVA-ARJA VAS;0;7.014;133;O;QLD-6; ;Velika Piresica;13.757;59;11.455;86;805;342;429;581
G1;5;1401;PRIKLJUCEK CELJE ZAHOD-MEDLOG;0;3.613;689;O;QLD-6; ;Medlog;5.642;13;4.988;21;307;115;92;106
G1;5;0370;MEDLOG-CELJE;0;3.242;;P; ; ; ;13.600;126;12.184;40;690;200;205;155
G1;5;0328;CELJE-CE(POLULE);0;2.000;;P; ; ; ;18.300;60;16.345;80;750;390;240;435
G1;5;0328;CE(POLULE)-LASKO;2000;11.000;90;O;QLD-6; ;Kosnica;13.533;65;11.847;52;692;219;237;421
G1;5;0328;LASKO-SMARJETA;11000;17.325;;P; ; ; ;9.250;30;8.200;45;400;190;125;260
G1;5;0329;SMARJETA-RIMSKE TOPLICE;0;1.050;91;O;QLD-6; ;Rimske Toplice;6.368;34;5.355;45;382;138;138;276
G1;5;0330;RIM.TOPLICE-ZIDANI MOST;0;6.750;;P; ; ; ;6.000;30;5.150;45;290;165;120;200
G1;5;0331;ZIDANI MOST-RADECE;0;2.997;92;O;QLD-5; ;Radece;6.611;42;5.563;27;392;166;182;239
G1;5;0360;RADECE;0;520;;P; ; ; ;7.000;25;5.875;40;520;180;120;240
G1;5;0332;RADECE-BOSTANJ;0;11.196;101;O;QLD-3; ;Vrhovo;4.589;45;3.744;30;320;140;105;205
G1;5;0333;BOSTANJ;0;790;;P; ; ; ;5.000;20;4.115;25;280;160;130;270
G1;5;0334;BOSTANJ-IMPOLJCA;0;4.490;;P; ; ; ;4.800;35;3.760;25;380;180;150;270
G1;5;0335;IMPOLJCA-BRESTANICA;0;9.790;630;O;QLD-6 sel; ;Log pri Sevnici;4.753;36;3.858;24;307;102;199;227
G1;5;0361;BRESTANICA-KRSKO;0;3.900;103;O;QLD-6 sel; ;Krsko;8.967;54;7.735;50;463;168;199;298
