Kat. ceste;Stev. ceste;Stev. odseka;Prometni odsek;Stac. zacetka;Stac. konca;Stevno mesto;Ime stevnega mesta;Tip stetja;Vsa vozila (PLDP);Motorji;Osebna vozila;Avtobusi;Lah. tov. < 3,5t;Sr. tov.  3,5-7t;Tez. tov. nad 7t;Tov. s prik.;Vlacilci;NOO;TIP
R3;690;1235;VIDEM - ZG. LESKOVEC;4.500;15.965;521;MP Leskovec;R  09x1;340;0;288;27;17;5;0;3;0;142.833;PLDP
R3;691;6251;ZAVRC - DRENOVEC;0;7.280;753;Goricak;R  09x1;1.830;0;1.672;24;77;31;20;0;6;300.100;PLDP
R3;692;6223;BORL - MP MEJE;0;7.703;520;MP Meje;R  09x1;260;0;243;0;7;10;0;0;0;19.907;PLDP
R3;693;2302;NOVA CERKEV - SOCKA-VITANJE;0;10.320; ;;P;1.150;5;1.060;20;40;20;5;0;0;149.303;PLDP
R3;694;1268;VELENJE - POLZELA;0;12.000;326;Arnace;QLD6;2.882;18;2.667;17;110;26;34;4;6;361.314;PLDP
R3;694;1268;POLZELA - DOBRTESA VAS;12.000;15.392;40;Breg pri Polzeli;QLD;5.935;44;5.376;38;291;101;54;13;18;704.214;PLDP
R3;695;8208;POLZELA;0;724; ;;P;2.500;10;2.175;15;130;70;75;10;15;731.586;PLDP
R3;695;7951;POLZELA - RECICA;0;5.410;36;Podvin pri Polzeli ;R  07x4;900;5;796;5;35;19;25;5;10;276.709;PLDP
R3;695;1458;GORENJE - SOTESKA;0;2.710;578;Gorenje;QLD5;3.446;43;2.986;10;213;60;85;20;29;684.307;PLDP
R3;696;7912;VELENJE - SKALE;0;6.538;31;Velenje;QLD6;4.063;23;3.730;12;180;61;42;9;6;494.691;PLDP
R3;696;7919;SKALE - GRASKA  G.-SMIKLAVZ;0;10.710;32;Plesivec;R  07x4;600;5;559;11;18;3;4;0;0;72.412;PLDP
R3;696;6904;SL.GRADEC - MISL.DOBRAVA;0;10.440;33;Podgorje pri Sl.Gradcu;R  07x4;1.800;25;1.689;5;50;20;7;3;1;120.687;PLDP
R3;697;5514;NAZARJE - GORNJI GRAD;0;13.979;175;Smartno ob Dreti;R  08x4;1.100;23;999;19;32;17;4;2;4;171.450;PLDP
R3;698;6505;MEZICA - REHT;0;2.725;552;MT Mezica;R  09x1;300;24;267;0;6;3;0;0;0;5.972;PLDP
R3;699;1263;DRAVOGRAD - CRNECE;0;2.500; ;;P;450;20;419;2;1;8;0;0;0;24.386;PLDP
R3;699;1263;CRNECE - MP LIBELICE;2.500;8.682;672;MT Libelice;R  09x1;90;10;78;0;2;0;0;0;0;0;PLDP
R3;700;1272;SL.KONJICE - OPLOTNICA;0;6.548;330;Oplotnica 2;R  06x1;1.700;15;1.549;15;65;36;15;3;2;240.876;PLDP
R3;700;1273;OPLOTNICA - LOZNICA;0;9.450;331;Loznica;QLD;4.039;13;3.657;27;203;65;55;7;12;126.410;PLDP
R3;701;1270;RUTA - LOVRENC;0;13.400;328;Puscava;R  06x1;1.800;10;1.553;20;95;65;32;21;4;528.782;PLDP
R3;701;1270;LOVRENC - PESEK;13.400;18.472; ;;P;310;0;303;0;4;3;0;0;0;5.972;PLDP
R3;701;1430;PESEK - ROGLA;0;15.000;327;Pesek;R  06x1;260;1;232;10;15;1;1;0;0;49.270;PLDP
R3;701;1430;ROGLA - ZRECE;15.000;17.700;734;Boharina;QLD5;1.122;15;1.003;17;53;16;15;1;2;160.750;PLDP
R3;701;1430;ZRECE - ZECE;17.700;21.284;711;Zrece;QLD6;8.418;35;7.641;97;423;77;79;18;48;1.380.557;PLDP
R3;702;2703;DRAVOGRAD - TRBONJE;0;7.150;483;Trbonje 1;R  09x1;220;1;185;0;25;4;5;0;0;32.847;PLDP
R3;702;2703;TRBONJE - GORTINA;7.150;7.900;485;Trbonje 3;R  09x1;940;15;831;5;51;25;13;0;0;135.617;PLDP
R3;702;2704;TRBONJE - VUZENICA;0;7.440;484;Trbonje 2;R  09x1;770;15;682;5;36;24;8;0;0;108.743;PLDP
R3;702;2704;VUZENICA - VUHRED;7.440;13.300; ;;P;1.000;15;883;7;40;25;20;5;5;241.125;PLDP
R3;703;6307;MUTA ;0;830; ;;P;2.100;25;1.945;10;65;25;15;5;10;260.036;PLDP
R3;703;6304;MUTA - GORTINA;0;1.610;571;Muta;R  07x1;1.360;20;1.261;15;45;19;0;0;0;101.277;PLDP
R3;703;6303;GORTINA - BISTRISKI JAREK;0;6.330;482;Muta;R  08x4;500;10;453;1;23;6;5;1;1;53.500;PLDP
R3;704;1353;RADLJE - RIBNICA;0;12.300;378;Vuhred;R  09x1;900;5;793;6;54;15;23;3;1;194.592;PLDP
R3;704;1355;RIBNICA - BREZNO;0;10.245;379;Podvelka;R  09x1;1.130;8;990;16;49;29;33;1;4;320.753;PLDP
R3;705;1432;RUSE - PUSCAVA;0;10.100;705;Fala;R  08x4;1.000;9;908;12;44;13;6;3;5;156.271;PLDP
R3;706;6301;OZBALT - ZG. KAPLA;0;14.230;486;Ozbalt;R  08x4;440;4;389;4;27;6;7;1;2;82.366;PLDP
R3;706;8802;HAJDICEV MLIN - GRADISCE;0;2.400; ;;P;120;0;112;0;2;6;0;0;0;11.944;PLDP
R3;707;8801;SP.SELNICA - DUH NA OSTREM VRHU;0;13.285; ;;P;120;0;112;0;2;6;0;0;0;11.944;PLDP
R3;708;1330;ZG.KUNGOTA - PLAC;0;5.480; ;;P;110;0;104;1;3;1;1;0;0;11.198;PLDP
R3;709;8614;MB (MELJSKA CESTA);0;1.020; ;;P;1.000;10;910;20;50;5;5;0;0;119.443;PLDP
R3;709;8615;MALECNIK(most) - MALECNIK;0;750;572;Malecnik;QLTC8;6.650;4;6.305;31;251;17;37;1;4;371.267;PLDP
R3;709;8615;MALECNIK - PERNICA;750;6.750;488;Celestrina;QLTC8;3.728;24;3.494;26;158;9;16;0;1;205.541;PLDP
R3;710;1292;MARIBOR - DVORJANE;0;11.965;342;Dogose;QLD6;10.782;65;9.961;48;538;67;67;18;18;894.824;PLDP
R3;710;1292;DVORJANE - PTUJ;11.965;24.748;438;Vurberk;QLD;2.490;42;2.275;10;115;18;23;3;4;13.935;PLDP
R3;710;0247;PTUJ - HAJDINA;0;2.719;637;Ptuj Zahod;QLD6;15.302;69;13.951;95;765;151;166;45;60;2.273.888;PLDP
R3;710;0352;HAJDINA - TURNISCE;0;3.340; ;;P;2.000;26;1.809;5;60;25;30;15;30;500.166;PLDP
R3;711;9006;FRAM - RACE;0;2.312;421;Race;R  07x4;6.000;45;5.379;8;380;94;62;15;17;728.600;PLDP
R3;711;9014;RACE;0;550; ;;P;1.700;15;1.555;33;49;22;16;5;5;325.232;PLDP
R3;711;9013;RACE - KUNGOTA - KIDRICEVO;0;10.888;311;Brunsvik;R  02x4;1.300;20;1.187;4;50;30;7;1;1;123.922;PLDP
R3;712;1331;ZIHLAVA - JURSINCI;0;10.400; ;;P;600;10;534;4;30;14;4;2;2;89.582;PLDP
R3;712;1331;JURSINCI - GABERNIK;10.400;13.000;764;Gabrnik;R  10x4;2.503;35;2.221;17;130;58;32;5;5;408.842;PLDP
R3;712;1331;GABERNIK - ROGOZNICA(PTUJ);13.000;21.173;363;Pacinje;QLD5;2.768;36;2.434;21;154;48;60;6;9;398.640;PLDP
R3;713;4910;LJUTOMER - DORNAVA;0;24.800;733;Savci;R  09x4;900;14;786;13;41;30;9;2;5;203.052;PLDP
R3;713;4910;DORNAVA - KRIZ.SPUHLJA;24.800;28.500;433;Dornava;QLD5;3.894;37;3.457;30;219;61;76;6;8;500.664;PLDP
R3;713;4910;KRIZ.SPUHLJA - PTUJ;28.500;31.230;425;Rogoznica;R  07x4;7.000;30;6.284;40;370;120;150;2;4;1.191.938;PLDP
R3;714;1293;SV. JURIJ OB SCAVNICI - GRABONOS;0;2.879; ;;P;1.200;10;940;25;70;40;20;30;65;875.912;PLDP
R3;714;2806;GRABONOS - SP. IVANJCI;0;2.170;594;Spodnji Ivanjci - 1;R  09x4;970;15;841;10;56;26;13;5;4;214.748;PLDP
R3;714;2807;SP.IVANJCI - GORNJA RADGONA;0;9.512;595;Spodnji Ivanjci - 2;R  09x4;1.130;21;971;19;62;36;12;6;3;267.750;PLDP
R3;715;5645;M.SOBOTA - GORICA;0;5.800;42;Puconci;R  07x4;2.620;17;2.377;16;137;48;14;4;7;301.344;PLDP
R3;715;5645;GORICA - LEMERJE;5.800;8.500;491;Lemerje 2;R  10x4;2.446;8;2.217;18;114;69;14;2;4;320.504;PLDP
R3;715;5645;LEMERJE - SKAKOVCI;8.500;14.150;490;Lemerje 3;R  10x4;1.114;4;991;4;62;40;9;2;2;166.224;PLDP
R3;716;5637;LEMERJE - GRAD;0;11.210;489;Bodonci;QLD5;866;9;778;13;41;9;13;1;2;119.940;PLDP
R3;716;5640;GRAD;0;1.450; ;;P;850;4;792;10;20;21;2;0;1;100.282;PLDP
R3;716;5630;GRAD - KUZMA;0;4.695;761;Grad;R  10x4;835;8;765;3;35;22;1;0;1;67.684;PLDP
R3;717;1297;CANKOVA;0;822; ;;P;450;4;436;0;10;0;0;0;0;0;PLDP
R3;717;5614;CANKOVA - GERLINCI;0;5.200;758;Korovci;R  10x4;548;2;515;1;17;11;1;1;0;37.326;PLDP
R3;717;5615;KOROVCI ;0;420; ;;P;350;1;349;0;0;0;0;0;0;0;PLDP
R3;717;5616;GERLINCI ;0;355; ;;P;250;1;249;0;0;0;0;0;0;0;PLDP
R3;718;5620;PERTOCA - FIKSINCI;0;4.688;759;Pertoca;R  10x4;374;5;342;3;11;12;1;0;0;41.556;PLDP
R3;718;5619;FIKSINCI ;0;984; ;;P;100;1;96;0;2;1;0;0;0;1.991;PLDP
R3;719;5621;ROGASOVCI - KRAMAROVCI;0;2.953;760;Rogasovci;R  10x4;658;10;595;2;28;19;4;0;0;66.191;PLDP
R3;719;5622;KRAMAROVCI ;0;630; ;;P;100;0;100;0;0;0;0;0;0;0;PLDP
R3;720;5624;SOTINA;0;2.266; ;;P;75;0;75;0;0;0;0;0;0;0;PLDP
R3;721;1317;PETROVCI - KUZMA;0;16.360;356;Dolic;R  09x4;690;13;610;10;34;16;7;0;0;108.991;PLDP
R3;721;1317;KUZMA - MP KUZMA;16.360;19.748; ;;P;1.100;6;1.012;10;35;20;10;3;4;175.431;PLDP
R3;722;1446;MP MARTINJE - MARTINJE;0;310;524;MT Martinje;R  09x4;110;6;96;0;5;2;1;0;0;8.958;PLDP
R3;723;5691;SALOVCI - CEPINCI;0;6.638; ;;P;500;5;441;8;30;9;5;2;0;89.084;PLDP
R3;723;5657;CEPINCI - MEJA MADZARSKA;0;2.524; ;;P;100;0;100;0;0;0;0;0;0;0;PLDP
R3;724;5693;HODOS - DOMANJSEVCI;0;5.055; ;;P;170;1;158;4;4;2;1;0;0;25.879;PLDP
R3;724;5694;DOMANJSEVCI ;0;1.060; ;;P;100;0;95;1;2;1;1;0;0;11.198;PLDP
R3;724;5661;DOMANJSEVCI - BERKOVCI;0;3.770; ;;P;100;0;95;1;2;1;1;0;0;11.198;PLDP
R3;724;4210;BERKOVCI - KOBILJE;0;12.943; ;;P;390;15;329;4;30;8;4;0;0;52.754;PLDP
R3;725;5672;MARTJANCI - SEBEBORCI;0;3.167;43;Sebeborci;R  07x4;1.800;22;1.669;14;55;25;12;1;2;187.376;PLDP
R3;725;5677;SEBEBORCI - TRAKSAROV BREG;0;3.973; ;;P;980;30;892;7;40;7;3;1;0;64.698;PLDP
R3;725;5678;TRAKSAROV BREG -  FOKOVCI;0;440; ;;P;490;3;453;5;21;8;0;0;0;37.077;PLDP
R3;725;5668;FOKOVCI - PROSENJAKOVCI;0;7.693;492;Fokovci;R  07x1;850;10;782;9;38;8;1;1;1;71.417;PLDP
R3;726;1321;RENKOVCI - CRENSOVCI;0;8.219;359;Turnisce;QLD;2.842;38;2.539;22;121;49;55;8;10;448.407;PLDP
R3;726;1322;CRENSOVCI - RAZKRIZJE;0;6.210;360;Sr. Bistrica;QLTC8;1.934;27;1.698;7;124;25;24;6;23;390.179;PLDP
R3;726;1324;STROCJA VAS - PAVLOVCI;0;13.277;140;Miklavz pri Ormozu;QLD3;926;20;818;7;53;12;13;1;2;136.861;PLDP
R3;727;1326;RAZKRIZJE - MEJA RH;0;475; ;;P;450;2;438;0;10;0;0;0;0;0;PLDP
R3;728;1148;SKOFLJICA - IG;0;5.325;161;Ig;R  08x4;1.140;8;866;0;124;32;60;20;30;673.358;PLDP
R3;728;4815;IG - ISKA VAS;0;3.800; ;;P;1.000;1;929;20;45;5;0;0;0;94.559;PLDP
R3;728;4815;ISKA VAS - KRIM;3.800;14.000; ;;P;80;1;70;2;5;2;0;0;0;12.442;PLDP
R3;728;4815;KRIM - RAKITNA;14.000;19.440;158;Rakitna;R  09x4;40;1;36;1;1;1;0;0;0;6.221;PLDP
R3;729;4206;HOTIZA - VELIKA POLANA;0;3.317;47;Velika Polana;R  07x4;880;16;778;10;46;22;5;1;2;129.645;PLDP
R3;729;4207;VELIKA POLANA - LIPA - BELTINCI;0;8.781;46;Lipa;R  07x4;1.700;8;1.576;14;62;15;14;5;6;227.190;PLDP
R3;730;4104;ZICE - SV. ANA-ZG. SCAVNICA;0;5.835;30;Sveta Ana;R  07x4;1.210;6;1.129;15;40;10;7;1;2;136.861;PLDP
R3;730;4105;ZG.SCAVNICA - DRAZEN VRH;0;2.235; ;;P;150;0;141;2;3;2;1;1;0;23.640;PLDP
R3;731;8209;POLZELA - PARIZLJE;0;1.050; ;;P;2.200;20;2.020;30;78;17;20;5;10;353.600;PLDP
R3;731;8209;PARIZLJE-BRASLO.-M.BRASLOVCE;1.050;3.919; ;;P;1.500;15;1.200;5;90;100;50;20;20;717.900;PLDP
R3;732;8215;PONDOR - TABOR;0;2.388; ;;P;460;10;406;14;22;6;2;0;0;81.121;PLDP
R3;732;8259;TABOR - OJSTRISKA VAS-KAPLA;0;1.645; ;;P;300;1;267;2;12;11;5;1;1;67.684;PLDP
R3;733;5831;VAVTA VAS - DOL.TOPLICE;0;4.560;298;Dolenjske toplice;QLD;3.845;24;3.518;36;223;24;16;1;3;22.395;PLDP
R3;733;5831;DOL.TOPLICE - PODTURN;4.560;6.290; ;;P;1.890;8;1.785;8;50;15;7;8;9;204.297;PLDP
R3;734;4123;CERKVENJAK - VITOMARCI;0;5.733; ;;P;150;1;131;1;6;4;3;2;2;52.007;PLDP
R3;734;4121;VITOMARCI - GABRNIK;0;6.397;765;Gradiscak;R  10x4;421;9;361;2;27;15;6;1;0;74.403;PLDP
R3;735;6314;MUTA - VUZENICA;0;445; ;;P;4.310;15;3.885;25;270;55;25;15;20;557.399;PLDP
R3;737;9017;RACE - SIKOLE;0;5.789;399;Podova;QLD6;2.055;23;1.870;15;89;19;28;6;5;315.030;PLDP
R3;738;6727;TRZISCE - HOTEMEZ;0;14.480;788;Sentjanz;R  10x4;796;6;688;1;48;33;19;0;1;170.703;PLDP
R3;739;6219;JANEZOVSKI VRH - DESTRNIK;0;2.210;766;Destrnik;R  10x4;562;12;498;10;29;9;2;1;1;82.614;PLDP
R3;739;6220;DESTRNIK - GOMILCI;0;1.381; ;;P;250;5;230;4;10;1;0;0;0;18.912;PLDP
R3;740;1398;M.SOBOTA(GAJ) - M.SOBOTA;0;2.772;746;Murska Sobota Gaj;QLD6;6.167;34;5.571;56;307;65;62;22;50;1.130.226;PLDP
R3;741;1489;SKOFIJE MP;0;478; ;;P;900;6;866;2;17;1;2;2;4;57.731;PLDP
R3;741;0235;MP SKOFIJE  -  SKOFIJE;0;1.000; ;;P;5.500;10;5.437;3;30;10;5;2;3;88.587;PLDP
R3;741;0235;SKOFIJE - R.SKOFIJE;1.000;2.055;686;Spodnje Skofije;QLD;9.622;55;9.102;25;377;44;15;1;3;38.819;PLDP
R3;741;1487;DEKANI - PRIKLJ. LUKA KOPER;0;1.139; ;;P;1.000;2;988;0;10;0;0;0;0;0;PLDP
R3;742;4806;PODPEC - VNANJE GORICE;0;4.390;691;Notranje Gorice;QLD6;4.438;48;3.963;31;270;48;50;8;20;671.865;PLDP
R3;742;4806;VNANJE GORICE - BREZOVICA;4.390;6.911;562;Vnanje Gorice;R  07x1;8.000;22;7.297;30;463;105;59;10;14;778.865;PLDP
R3;744;2346;STORE - LASKA VAS;0;2.210;786;Kompole;R  10x4;1.996;17;1.809;7;105;40;14;2;2;203.799;PLDP
R3;744;2346;LASKA VAS  -  SVETINA;2.210;8.400; ;;P;700;5;655;10;15;10;5;0;0;87.094;PLDP
R3;744;2346;SVETINA  -  BRSTNIK;8.400;13.600;585;Svetina;R  07x1;280;6;248;4;12;8;1;1;0;44.044;PLDP
R3;744;2346;BRSTNIK  -  LASKO;13.600;16.958;787;Jagoce;R  10x4;779;9;706;0;44;14;6;0;0;57.731;PLDP
R3;745;4116;JANEZOVCI - DOLGE NJIVE;0;9.200;767;Drstelja;R  10x4;840;10;743;14;39;25;7;0;2;156.271;PLDP
R3;745;4118;DOLGE NJIVE - SPODNJI DUPLEK;0;7.520; ;;P;900;10;884;0;6;0;0;0;0;0;PLDP
R3;746;2407;STARI TRG - LOSKI POTOK;0;11.920; ;;P;100;5;92;0;3;0;0;0;0;0;PLDP
R3;747;4120;LENART - SVETA TROJICA;0;3.284;597;Sv.Trojica v Sl.Goricah;R  09x4;1.190;16;1.086;5;49;22;8;2;2;129.645;PLDP
R3;747;2805;SV. TROJICA - SP. IVANJCI;0;9.498;596;Spodnji Ivanjci - 3;R  09x4;800;14;680;12;47;28;12;6;1;209.771;PLDP
R3;748;2412;VELIKE LASCE - M . SLEVICA;0;3.000; ;;P;100;10;85;0;5;0;0;0;0;0;PLDP
R3;748;2412;M. SLEVICA - NOVA VAS;3.000;18.120; ;;P;1.500;15;1.438;2;45;0;0;0;0;8.461;PLDP
R3;749;8616;VOSEK - JUROVSKI DOL;0;8.605; ;;P;700;10;414;20;140;40;16;25;35;617.120;PLDP
R3;749;4109;JUROVSKI DOL - LENART;0;7.164;698;Jurovski Dol;R  09x4;910;23;807;18;33;21;5;1;2;161.496;PLDP
R3;750;7709;SLOVENSKA VAS - SENTRUPERT;0;2.174; ;;P;800;5;741;20;15;10;5;1;3;154.280;PLDP
R3;751;5507;NIZKA - RECICA OB SAVINJI;0;925; ;;P;1.700;10;1.310;50;150;60;50;30;40;1.015.262;PLDP
R3;752;7206;ARCLIN - LJUBECNA;0;4.011;740;Arclin;R  09x4;3.940;68;3.538;4;230;71;19;7;3;315.030;PLDP
R3;752;1403;LJUBECNA - BUKOVZLAK;0;1.887;694;Ljubecna;QLD6;3.496;14;2.847;4;324;79;107;44;77;1.459.439;PLDP
R3;752;7208;BUKOVZLAK - TEHARJE;0;2.101; ;;P;2.100;10;2.043;2;20;10;10;5;0;109.240;PLDP
R3;753;1544;VOLCE - SOLARJI;0;9.250; ;;P;100;4;92;0;4;0;0;0;0;2.840.703;PLDP
RT;901;1001;RATECE - PLANICA;0;2.000;779;Planica;R  10x4;802;10;721;7;32;28;3;0;1;106.503;PLDP
RT;902;1019;STRMEC - MANGART;0;11.710;537;Mangart;R  07x1;40;28;12;0;0;0;0;0;0;0;PLDP
RT;903;1021;IDRSKO - LIVEK;0;6.960;39;Livek;R  05x1;150;2;142;0;4;0;2;0;0;9.954;PLDP
RT;904;1093;JEZERO - ZLATOROG;0;4.200;240;Bohinjsko jezero;R  08x4;1.500;49;1.300;52;81;10;6;1;1;282.183;PLDP
RT;904;1093;ZLATOROG - SAVICA;4.200;8.200; ;;P;270;3;259;6;1;1;0;0;0;27.372;PLDP
RT;905;1095;GORJE - KRNICA;0;2.160; ;;P;2.050;11;1.926;27;49;29;5;1;2;215.494;PLDP
RT;905;1096;KRNICA - ZATRNIK;0;4.000;236;Krnica;R  10x4;1.067;18;1.006;3;23;9;4;3;1;75.398;PLDP
RT;905;1096;ZATRNIK - MRZLI STUDENEC;4.000;9.181;5;Mrzli studenec 1;R  07x1;650;25;573;10;25;7;2;2;6;115.959;PLDP
RT;905;1097;MRZLI STUDENEC - JEREKA;0;16.392;7;Mrzli studenec 2;R  07x1;150;6;118;4;9;4;1;3;5;79.628;PLDP
