Kat. ceste;Stev. ceste;Stev. odseka;Prometni odsek;Stac. zacetka;Stac. konca;Stevno mesto;Ime stevnega mesta;Tip stetja;Vsa vozila (PLDP);Motorji;Osebna vozila;Avtobusi;Lah. tov. < 3,5t;Sr. tov.  3,5-7t;Tez. tov. nad 7t;Tov. s prik.;Vlacilci;NOO;TIP
AC;A1;0036;FRAM - SL.BISTRICA-SEVER;0;6.785;2005;Polskava AC;QLTC8;35.477;68;25.439;237;3.881;686;316;726;4.124;4.362;PLDP
AC;A1;0036;SL.BISTRICA - SEVER-JUG;6.785;9.733;2006;Sl.Bistrica AC;QLD;37.400;90;26.320;275;4.475;835;445;765;4.195;4.567;PLDP
AC;A1;0135;PRIKLJ. SL. BISTRICA J. - MB;0;400;856;Priklj. Sl.Bistrica-MB;QLD;8.700;20;7.120;55;775;245;150;95;240;433;PLDP
AC;A1;0135;PRIKLJ. SL. BISTRICA J - CE;400;1.638;857;Prikl. Sl.Bistrica-CE;QLD;4.000;15;3.305;15;420;50;30;35;130;168;PLDP
AC;A1;0037;SL.BISTRICA - SL.KONJICE;0;9.119;838;Preloge AC;QLTC8;32.700;85;22.505;235;4.120;640;325;705;4.085;4.302;PLDP
AC;A1;0136;PRIKLJ. SL. KONJICE - MB;0;900;844;CP Sl.Konjice-MB;QLD3;4.700;15;3.810;15;485;165;85;45;80;190;PLDP
AC;A1;0136;PRIKLJ. SL. KONJICE - CE;900;1.790;845;CP Sl.Konjice-CE;QLD3;3.700;10;3.040;10;295;145;45;60;95;190;PLDP
AC;A1;0038;SL.KONJICE - DRAMLJE;0;10.886;896;Pletovarje AC;QLTC8;31.700;80;21.735;230;3.930;620;285;720;4.100;4.303;PLDP
AC;A1;0137;DRAMLJE - MB;0;600;846;Dramlje-MB;QLD;1.750;5;1.365;5;230;40;25;20;60;88;PLDP
AC;A1;0137;DRAMLJE - CE;600;1.115;847;Dramlje-CE;QLD;4.370;10;3.597;8;420;85;60;50;140;204;PLDP
AC;A1;0039;DRAMLJE - LJUBECNA;0;6.436;2004;Zepina AC;QLD;34.320;85;23.967;233;4.120;665;320;750;4.180;4.419;PLDP
AC;A1;0039;LJUBECNA - CELJE;6.436;8.437;;;P;35.600;80;25.130;250;4.000;750;410;730;4.250;4.528;PLDP
AC;A1;0040;CELJE - CELJE ZAHOD;0;5.261;648;Lopata AC;QLTC8;37.500;70;26.545;300;4.090;900;545;750;4.300;4.711;PLDP
AC;A1;0040;CELJE ZAHOD - ARJA VAS;5.261;7.510;;;P;41.900;60;30.980;250;4.200;790;490;780;4.350;4.688;PLDP
AC;A1;0041;ARJA VAS - SEMPETER;0;7.511;;;P;35.900;55;25.355;230;4.100;750;400;760;4.250;4.534;PLDP
AC;A1;0041;SEMPETER - SENTRUPERT;7.511;9.652;;;P;32.700;50;22.480;220;4.000;690;350;760;4.150;4.412;PLDP
AC;A1;0042;SENTRUPERT - VRANSKO;0;7.899;839;Vransko AC;QLTC8;35.170;50;25.045;220;4.090;560;260;745;4.200;4.369;PLDP
AC;A1;0043;VRANSKO - TROJANE;0;9.940;836;Jasovnik AC;QLTC8;33.870;55;23.950;210;3.820;650;275;750;4.160;4.366;PLDP
AC;A1;0067;TROJANE  -  BLAGOVICA;0;8.683;2001;Sentozbolt AC;QLD*;36.254;67;26.225;226;4.107;571;245;695;4.118;4.266;PLDP
AC;A1;0142;PRIKLJ.BLAGOVICA - CE;0;200;842;CP Blagovica-CE;QLD6;240;2;195;2;20;8;6;2;5;12;PLDP
AC;A1;0142;PRIKLJ. BLAGOVICA - LJ;200;529;843;CP Blagovica-LJ;QLD6;1.900;5;1.625;5;90;20;20;40;95;125;PLDP
AC;A1;0044;BLAGOVICA - LUKOVICA;0;8.821;834;Kompolje AC;QLTC8;37.914;70;27.655;229;4.177;583;259;733;4.208;4.379;PLDP
AC;A1;0044;LUKOVICA - KRTINA;8.821;12.465;;;P;38.980;80;28.655;230;4.200;590;270;740;4.215;4.397;PLDP
AC;A1;0169;PRIKLJ. LUKOVICA ;0;2.279;831;CP Lukovica-LJ;QLD6;1.900;10;1.732;2;115;6;10;5;20;27;PLDP
AC;A1;0143;PRIKLJ. KRTINA;0;340;851;Priklj. Krtina-CE;QLTC8;1.144;2;884;4;138;24;8;16;68;80;PLDP
AC;A1;0143;PRIKLJ. KRTINA;340;761;835;Priklj. Krtina-LJ;QLTC8;4.874;19;4.384;3;323;21;14;14;96;101;PLDP
AC;A1;0045;KRTINA - DOMZALE;0;3.485;;;P;42.700;95;32.108;230;4.400;590;300;735;4.242;4.425;PLDP
AC;A1;0046;DOMZALE - SENTJAKOB;0;5.402;830;Psata AC;QLTC8;51.260;75;40.105;220;4.790;735;275;760;4.300;4.519;PLDP
AC;A1;0047;SENTJAKOB - SNEBERJE;0;1.159;;;P;64.200;100;52.320;220;5.400;790;340;780;4.250;4.534;PLDP
AC;A1;0047;SNEBERJE - LJ(ZADOBRAVA);1.159;2.866;;;P;65.800;120;53.685;225;5.600;810;360;760;4.240;4.527;PLDP
AC;A1;0048;LJ (ZADOBROVA - IND. CONA MOSTE);0;536;;;P;77.500;140;66.660;230;5.900;830;430;610;2.700;3.209;PLDP
AC;A1;0048;LJ (IND. CONA MOSTE - ZALOSKA);536;1.330;;;P;76.400;145;66.010;220;5.700;825;450;550;2.500;2.999;PLDP
AC;A1;0049;LJ (ZALOSKA - LITIJSKA);0;1.277;;;P;64.200;140;54.200;170;5.600;830;500;520;2.240;2.751;PLDP
AC;A1;0050;LJ (LITIJSKA - MALENCE);0;3.979;180;V Obvoznica;QLTC8;58.900;150;49.271;162;5.377;830;526;480;2.104;2.614;PLDP
AC;A1;0019;LJ. (MALENCE - DOLENJSKA C.);0;456;;;P;60.600;155;50.325;250;4.800;680;490;750;3.150;3.671;PLDP
AC;A1;0018;LJ (DOLENJSKA  -  PERUZIJEVA);0;2.098;;;P;56.500;120;46.630;200;5.000;600;430;670;2.850;3.287;PLDP
AC;A1;0018;LJ (PERUZIJEVA - BARJANSKA);2.098;3.943;178;J Obvoznica;QLTC8;62.970;95;51.885;310;5.670;860;370;760;3.020;3.629;PLDP
AC;A1;0017;LJ (BARJANSKA  -  VIC);0;2.758;;;P;61.850;100;51.100;320;5.250;800;370;810;3.100;3.722;PLDP
AC;A1;0016;LJ (VIC  -  KOZARJE);0;794;;;P;68.600;215;57.615;350;5.300;790;350;720;3.260;3.789;PLDP
AC;A1;0051;LJ(KOZARJE) - BREZOVICA;0;2.408;;;P;69.200;220;56.350;450;4.800;760;340;950;5.330;5.686;PLDP
AC;A1;0052;BREZOVICA - VRHNIKA;0;12.424;854;Drenov gric AC;QLTC8;57.475;219;43.952;510;5.736;657;292;896;5.213;5.544;PLDP
AC;A1;0150;PRIKLJ. VRHNIKA - LJ;0;1.120;858;CP Vrhnika - LJ;QLD3;10.500;40;9.155;45;645;185;185;80;165;348;PLDP
AC;A1;0150;PRIKLJ. VRHNIKA - KP;1.120;1.381;859;CP Vrhnika - KP;QLD3;2.650;15;2.291;15;145;45;45;35;60;115;PLDP
AC;A1;0053;VRHNIKA - LOGATEC;0;8.279;2103;Verd AC;QLD3;49.625;194;37.087;480;5.236;517;152;851;5.108;5.311;PLDP
AC;A1;0151;PRIKLJ. LOGATEC;0;2.480;805;CP Logatec;QLD3;8.380;60;6.975;10;730;245;80;90;190;333;PLDP
AC;A1;0054;LOGATEC - UNEC;0;10.422;2104;Lom AC;QLD;44.883;150;32.494;437;4.811;582;279;884;5.246;5.482;PLDP
AC;A1;0152;PRIKLJ. UNEC - LJ;0;404;824;Priklj. Unec-LJ;QLD;4.450;10;3.935;35;300;55;25;35;55;122;PLDP
AC;A1;0152;PRIKLJ. UNEC - KP;404;788;825;Priklj. Unec-KP;QLD;1.980;5;1.580;5;175;35;20;30;130;149;PLDP
AC;A1;0055;UNEC - POSTOJNA;0;11.375;822;Ravbarkomanda AC;QLTC8;42.413;145;30.139;407;4.686;562;274;879;5.321;5.509;PLDP
AC;A1;0153;PRIKLJ. POSTOJNA - LJ;0;900;826;Prikj. Postojna-LJ;QLD;8.670;60;7.075;95;840;155;85;80;280;431;PLDP
AC;A1;0153;PRIKLJ. POSTOJNA - KP;900;1.178;827;Priklj. Postojna-KP;QLD;3.580;15;2.950;45;360;45;20;30;115;168;PLDP
AC;A1;0056;POSTOJNA - RAZDRTO;0;9.581;2105;Studenec AC;QLTC8;37.323;100;26.014;357;4.206;452;209;829;5.156;5.247;PLDP
AC;A1;0056;RAZDRTO - NANOS;9.581;11.182;2106;Razdrto AC;QLTC8;37.623;99;26.320;356;4.233;448;192;826;5.149;5.231;PLDP
AC;A1;0197;PRIKLJ. RAZDRTO - LJ;0;250;828;Priklj. Razdrto-LJ;QLTC8;662;5;510;2;77;10;24;8;26;40;PLDP
AC;A1;0197;PRIKLJ. RAZDRTO - KP;250;698;829;Priklj. Razdrto-KP;QLTC8;962;4;816;1;104;6;7;5;19;24;PLDP
AC;A1;0154;RAZCEP NANOS;0;370;894;Razcep Nanos- LJ;QLTC8;9.900;15;6.285;55;1.160;190;65;230;1.900;1.822;PLDP
AC;A1;0154;RAZCEP NANOS;370;1.664;895;Razcep Nanos- KP;QLTC8;1.770;5;1.455;15;185;25;10;10;65;82;PLDP
AC;A1;0057;NANOS  -  SENOZECE;0;5.458;2108;Senozece AC;QLD;29.493;89;21.490;316;3.258;283;137;606;3.314;3.490;PLDP
AC;A1;0155;PRIKLJ. SENOZECE ;0;1.780;818;CP Senozece;QLD6;1.540;2;1.188;30;130;25;25;30;110;149;PLDP
AC;A1;0058;SENOZECE  -   GABRK;0;4.384;812;Cebulovica AC;QLTC8;29.000;110;21.050;315;3.190;300;140;595;3.300;3.476;PLDP
AC;A1;0059;GABRK  -  DIVACA;0;2.873;2109;Divaca AC;QLD*;19.659;77;16.167;97;1.770;165;85;285;1.013;1.186;PLDP
AC;A1;0157;PRIKLJ. DIVACA;0;540;808;Priklj. Divaca - LJ;QLTC8;1.156;3;897;7;169;19;8;8;45;56;PLDP
AC;A1;0157;PRIKLJ. DIVACA;540;2.079;809;Priklj. Divaca - KP;QLTC8;1.747;5;1.422;7;167;35;32;11;68;90;PLDP
AC;A1;0060;DIVACA - KOZINA;0;7.151;2101;Kozina AC;QLD*;20.250;79;16.692;97;1.768;181;109;288;1.036;1.220;PLDP
AC;A1;0158;PRIKLJ. KOZINA - LJ;0;700;821;Priklj. Kozina-LJ;QLD*;2.570;8;2.027;15;290;40;25;35;130;163;PLDP
AC;A1;0158;PRIKLJ. KOZINA - KP;700;2.195;823;Priklj. Kozina-KP;QLD*;3.090;8;2.592;10;250;30;15;25;160;169;PLDP
AC;A1;0061;KOZINA - KASTELEC;0;8.598;893;Ravne AC;QLTC8;20.770;79;17.257;92;1.728;171;99;278;1.066;1.226;PLDP
AC;A1;0061;KASTELEC - CRNI KAL;8.598;11.818;;;P;21.100;80;17.500;100;1.650;210;170;300;1.090;1.305;PLDP
AC;A1;0062;CRNI KAL  -  RAZCEP SERMIN;0;6.662;803;Dekani AC;QLTC8;21.320;88;17.625;103;1.687;214;222;279;1.102;1.319;PLDP
AC;A1;0062;RAZCEP SERMIN  -  H5;6.662;7.116;;;P;20.100;85;16.426;100;1.680;210;220;279;1.100;1.313;PLDP
AC;A2;0001;MP KARAVANKE - HRUSICA;0;5.361;673;MT Karavanke;QLTC8;8.460;35;6.445;65;580;115;105;235;880;1.009;PLDP
AC;A2;0002;HRUSICA - LIPCE;0;7.154;;;P;13.620;80;10.830;140;1.160;150;110;250;900;1.102;PLDP
AC;A2;0003;LIPCE - LESCE;0;7.950;646;Lipce AC;QLTC8;19.008;83;15.568;173;1.679;217;126;277;885;1.160;PLDP
AC;A2;0103; PRIKLJ. LESCE - JESENICE;0;545;810;Priklj. Lesce-Jesenice;QLTC8;4.589;26;4.011;31;377;52;28;14;50;98;PLDP
AC;A2;0103;PRIKLJ. LESCE - KRANJ;545;1.133;811;Priklj. Lesce-Kranj;QLTC8;10.317;43;9.012;68;843;93;77;31;150;247;PLDP
AC;A2;0004;LESCE - RADOVLJICA;0;3.780;2201;Lesce AC;QLTC8;24.736;100;20.569;210;2.145;258;175;294;985;1.309;PLDP
AC;A2;0004;RADOVLJICA - BREZJE;3.780;6.713;;;P;29.600;90;25.395;210;2.200;260;165;290;990;1.307;PLDP
AC;A2;0005;BREZJE - PODTABOR;0;5.002;;;P;31.000;80;26.620;240;2.300;290;200;280;990;1.341;PLDP
AC;A2;0006;PODTABOR - NAKLO;0;3.567;;;P;33.700;80;29.140;240;2.500;300;210;240;990;1.316;PLDP
AC;A2;0006;NAKLO - KRANJ Z;3.567;7.313;647;Naklo AC;QLTC8;36.300;80;31.610;250;2.570;315;230;245;1.000;1.346;PLDP
AC;A2;0007;KRANJ Z - KRANJ V;0;5.674;;;P;35.750;100;30.970;210;2.700;325;220;245;980;1.302;PLDP
AC;A2;0008;KRANJ V  -  BRNIK;0;3.900;;;P;36.100;110;31.280;200;2.900;290;160;260;900;1.211;PLDP
AC;A2;0009;BRNIK  -  VODICE;0;5.246;850;Voglje AC;QLTC8;40.368;132;34.797;213;3.652;284;143;269;878;1.202;PLDP
AC;A2;0010;VODICE  - LJ( SMARTNO);0;6.968;853;Povodje AC;QLTC8;46.010;145;39.610;245;4.040;450;205;305;1.010;1.430;PLDP
AC;A2;0011;LJ(SMARTNO  -   BROD);0;2.374;;;P;49.600;150;43.100;240;4.050;510;220;310;1.020;1.462;PLDP
AC;A2;0012;LJ(BROD - SENTVID);0;510;;;P;48.100;160;41.490;240;4.050;530;270;330;1.030;1.510;PLDP
AC;A2;0013;LJ(SENTVID -PODUTIK);0;3.057;832;Kamna Gorica AC;QLTC8;45.728;171;38.790;195;4.112;559;320;379;1.202;1.681;PLDP
AC;A2;0013;LJ(PODUTIK-KOSEZE);3.057;3.459;;;P;48.400;180;41.330;195;4.200;570;325;390;1.210;1.701;PLDP
AC;A2;0014;LJ(KOSEZE  -  BRDO);0;1.761;;;P;74.500;240;62.400;300;6.100;1.050;420;660;3.330;3.864;PLDP
AC;A2;0015;LJ (BRDO  -  KOZARJE);0;2.392;855;Bokalce AC;QLTC8;70.100;240;58.105;300;6.040;975;440;660;3.340;3.857;PLDP
AC;A2;0020;LJ(MALENCE)  -  SMARJE-SAP;0;6.038;645;Smarje Sap AC;QLTC8;47.248;99;40.172;285;3.785;510;255;495;1.647;2.155;PLDP
AC;A2;0407;PRIKLJ. SMARJE - SAP NM;0;926;876;Priklj. Smarje Sap-NM;QLTC10;2.600;11;2.224;7;250;40;27;17;24;59;PLDP
AC;A2;0021;SMARJE SAP - CIKAVA;0;1.779;2303;Cikava AC;QLTC8;49.848;110;42.396;292;4.035;550;282;512;1.671;2.215;PLDP
AC;A2;0021;CIKAVA - GROSUPLJE;1.779;3.873;;;P;39.800;90;32.740;260;3.800;540;370;490;1.510;2.074;PLDP
AC;A2;0022;GROSUPLJE - VISNJA GORA;0;6.740;;;P;35.500;80;29.635;255;3.000;340;210;420;1.560;1.938;PLDP
AC;A2;0022;VISNJA GORA - IVANCNA GORICA;6.740;13.061;601;Visnja Gora AC;QLTC8;34.210;75;28.590;250;2.710;400;210;435;1.540;1.949;PLDP
AC;A2;0023;IVANCNA GORICA - BIC;0;6.889;870;Dob AC;QLTC8;26.236;53;21.612;224;2.304;225;110;352;1.356;1.629;PLDP
AC;A2;0072;BIC - TREBNJE Z;0;7.403;;;P;25.700;55;21.435;210;1.800;270;120;350;1.460;1.718;PLDP
AC;A2;0072;TREBNJE Z - TREBNJE V;7.403;14.383;;;P;20.000;50;15.865;195;1.750;250;150;340;1.400;1.656;PLDP
AC;A2;0024;TREBNJE V - PRIKLJ. MIRNA PEC;0;4.557;;;P;24.100;55;19.715;190;1.950;275;160;345;1.410;1.676;PLDP
AC;A2;0024;PRIKLJ. MIRNA PEC  -  NM PRIKLJ. Z;4.557;10.845;806;Zagorica AC;QLTC8;23.650;35;19.185;195;2.010;280;180;345;1.420;1.696;PLDP
AC;A2;0024;NM PRIKLJ. Z - NM PRIKLJ. V;10.845;13.168;;;P;20.300;30;16.140;130;1.900;250;160;290;1.400;1.574;PLDP
AC;A2;0025;NM PRIKLJ.V -  LESNICA (KRONOVO);0;6.338;;;P;22.000;45;17.805;280;1.800;300;140;280;1.350;1.639;PLDP
AC;A2;0026;KRONOVO - DOBRUSKA VAS;0;6.040;602;Draga AC;QLTC8;20.042;42;16.108;218;1.704;232;138;262;1.338;1.551;PLDP
AC;A2;0027;DOBRUSKA VAS  -  SMEDNIK;0;5.896;;;P;18.300;40;14.575;200;1.600;220;120;255;1.290;1.484;PLDP
AC;A2;0027;SMEDNIK   -  DRNOVO;5.896;13.654;875;Drnovo AC;QLTC8;17.366;37;13.925;198;1.449;154;99;245;1.259;1.423;PLDP
AC;A2;0418;PRIKLJ. DRNOVO - NM;0;2.300;873;Priklj. Drnovo-NM;QLTC8;4.514;10;3.813;8;415;71;47;42;108;163;PLDP
AC;A2;0418;PRIKLJ. DRNOVO - CATEZ;2.300;2.844;874;Priklj. Drnovo-Catez;QLTC8;1.744;5;1.443;8;140;17;8;24;99;112;PLDP
AC;A2;0028;DRNOVO  -  BREZICE;0;11.717;2302;Brezice AC;QLTC8;14.596;34;11.566;196;1.169;102;61;225;1.243;1.364;PLDP
AC;A2;0029;BREZICE - PRIKLJ. OBREZJE;0;7.008;512;Catez AC;QLTC8;13.502;32;10.536;198;1.030;116;48;224;1.318;1.424;PLDP
AC;A2;0029;PRIKLJ. OBREZJE  - OBREZJE TERMINAL;7.008;7.971;;;P;12.500;45;9.790;180;740;90;95;260;1.300;1.434;PLDP
AC;A2;0029;OBREZJE TERMINAL - MP OBREZJE;7.971;8.534;511;MP Obrezje;QLD6;10.430;45;7.800;175;705;55;90;280;1.280;1.419;PLDP
AC;A3;0068;GABRK - SEZANA V;0;7.977;813;Dane AC;QLTC8;12.750;25;7.922;207;1.452;167;70;353;2.554;2.545;PLDP
AC;A3;0069;SEZANA V  -  SEZANA Z;0;2.698;;;P;10.400;30;5.930;200;1.150;140;60;340;2.550;2.515;PLDP
AC;A3;0070;SEZANA Z  -  FERNETICI;0;950;863;Sezana AC;QLTC8;10.143;28;6.011;192;1.121;132;52;307;2.300;2.278;PLDP
AC;A3;0070;FERNETICI - MP FERNETICI;950;1.571;653;MT Fernetici;QLD6;19.590;155;14.230;210;1.520;185;85;425;2.780;2.796;PLDP
AC;A3;0486;PRIKLJ. FERNETICI;0;643;864;Priklj. Fernetici;QLD6;9.772;143;8.901;24;434;47;33;39;151;194;PLDP
AC;A4;0091;SLIVNICA - LETALISCE MB;0;2.365;;;P;18.900;50;15.590;145;1.560;190;90;190;1.085;1.210;PLDP
AC;A4;0091;LETALISCE MB - MARJETA;2.365;6.724;;;P;18.600;50;15.360;140;1.530;170;80;190;1.080;1.193;PLDP
AC;A4;0091;MARJETA - ZLATOLICJE;6.724;11.493;890;Prepolje AC;QLTC8;17.570;45;14.415;140;1.500;155;65;180;1.070;1.167;PLDP
AC;A4;0091;ZLATOLICJE - HAJDINA;11.493;15.560;;;P;17.100;45;14.045;130;1.450;130;60;175;1.065;1.143;PLDP
AC;A4;0092;HAJDINA - DRAZENCI;0;4.510;;;P;15.800;50;13.010;125;1.250;115;60;170;1.020;1.095;PLDP
AC;A4;0093;DRAZENCI ;0;680;;;P;11.500;40;9.195;110;1.000;100;55;120;880;926;PLDP
AC;A4;0094;GRUSKOVJE - R HRVASKA;0;921;;;P;9.300;35;7.400;120;700;60;25;90;870;879;PLDP
AC;A5;0806;DRAGUCOVA - PERNICA;0;6.174;877;Dragucova AC;QLTC8;23.226;40;15.915;183;2.630;415;202;521;3.320;3.396;PLDP
AC;A5;0806;PERNICA - LENART;6.174;11.326;2007;Mocna AC;QLD*;22.636;40;15.370;182;2.600;410;204;517;3.313;3.386;PLDP
AC;A5;0463;PRIKLJ.PERNICA - MB;0;220;878;PR Pernica - MB;QLD*;1.200;3;1.060;2;95;15;10;5;10;21;PLDP
AC;A5;0463;PRIKLJ.PERNICA - MS;220;440;879;PR Pernica - MS;QLD*;610;3;515;1;65;10;12;1;3;11;PLDP
AC;A5;0807;LENART - SV.TROJICA;0;5.018;;;P;17.700;40;10.880;130;2.450;360;140;480;3.220;3.208;PLDP
AC;A5;0808;SV. TROJICA - PRIKLJ. CERKVENJAK;0;4.560;;;P;16.530;40;9.970;130;2.350;320;100;460;3.160;3.118;PLDP
AC;A5;0808;PRIKLJ. CERKVENJAK - SV. JURIJ OB SCAV.;4.560;12.520;;;P;15.560;30;9.250;140;2.200;280;80;440;3.140;3.074;PLDP
AC;A5;0809;SV.JURIJ OB SCAVNICI - VUCJA VAS;0;8.499;2011;Dragotinci AC;QLTC10;15.068;32;9.021;129;2.015;249;77;429;3.116;3.028;PLDP
AC;A5;0174;PRIKLJ. VUCJA VAS - MB;0;400;881;Priklj. Vucja vas-MB;QLD*;1.632;3;1.366;4;188;9;17;14;31;47;PLDP
AC;A5;0174;PRIKLJ. VUCJA VAS  - MS;400;836;882;priklj. Vucja vas-MS;QLD*;1.550;4;1.113;10;101;63;112;40;107;183;PLDP
AC;A5;0810;VUCJA VAS - MURSKA SOBOTA;0;6.577;841;Vucja vas AC;QLTC8;14.986;33;8.768;135;1.928;303;172;455;3.192;3.163;PLDP
AC;A5;0175;PRIKLJ. MURSKA SOBOTA - MB;0;2.417;887;Priklj. MS-MB;QLTC8;3.919;7;3.227;15;411;83;91;30;55;135;PLDP
AC;A5;0175;PRIKLJ. MURSKA SOBOTA - LENDAVA;2.417;2.808;888;Priklj. MS-Lendava;QLTC8;1.570;4;1.237;4;124;33;59;21;88;121;PLDP
AC;A5;0811;MURSKA SOBOTA - LIPOVCI;0;3.798;2009;Rakican AC;QLTC8;12.637;30;6.778;124;1.641;253;140;446;3.225;3.149;PLDP
AC;A5;0812;LIPOVCI - GANCANI;0;4.290;;;P;11.000;25;5.355;125;1.550;245;130;400;3.170;3.063;PLDP
AC;A5;0812;GANCANI - TURNISCE;4.290;9.535;;;P;11.700;20;6.015;130;1.600;235;120;410;3.170;3.068;PLDP
AC;A5;0813;TURNISCE - DOLGA VAS;0;9.628;;;P;11.230;25;5.630;130;1.550;220;95;420;3.160;3.054;PLDP
AC;A5;0814;DOLGA VAS - LENDAVA;0;3.964;884;Lendava AC;QLTC8;9.556;18;5.290;129;1.405;189;77;245;2.203;2.132;PLDP
AC;A5;0185;PRIKLJ. LENDAVA - MS;0;286;885;Priklj. Lendava-MS;QLTC8;3.060;7;2.268;15;246;62;50;61;351;376;PLDP
AC;A5;0185;PRIKLJ. LENDAVA - PINCE;286;680;886;Priklj. Lendava-Pince;QLTC8;279;1;144;3;57;7;4;8;55;56;PLDP
AC;A5;0816;LENDAVA - PINCE;0;8.432;2010;Pince AC;QLTC8;6.775;12;3.166;117;1.216;134;31;192;1.907;1.812;PLDP
AC;A5;0816;PINCE - MP PINCE;8.432;8.709;;;P;6.450;10;2.955;100;1.150;110;30;190;1.905;1.790;PLDP
HC;H2;0032;PESNICA - PRIKLJ. PESNICA;0;209;;;P;18.700;45;16.625;95;1.200;180;140;95;320;502;PLDP
HC;H2;0032; PRIKLJ. PESNICA - MARIBOR;209;4.516;16;Meljska HC;QLTC8;18.390;45;16.355;90;1.230;175;110;85;300;462;PLDP
HC;H2;0033;MB(MELJSKA) - POBREZJE;0;1.534;;;P;23.200;70;20.955;70;1.130;270;270;90;345;573;PLDP
HC;H2;0033;POBREZJE - MB(TEZNO);1.534;2.684;15;Maribor HC;QLTC8;26.025;67;23.534;70;1.224;317;300;88;425;660;PLDP
HC;H3;0085;LJ(ZADOBROVA  - LESKOVSKOVA C.);0;920;179;SV Obvoznica;QLTC8;64.236;132;54.438;194;4.958;762;454;472;2.826;3.162;PLDP
HC;H3;0085;LJ(LESKOSKOVA C. - SMARTINSKA);920;1.511;891;S obvoznica BTC HC;QLTC8;47.524;100;39.246;158;3.964;616;372;432;2.636;2.880;PLDP
HC;H3;0086;LJ(SMARTINSKA - TOMACEVO);0;2.084;;;P;66.200;120;56.645;175;4.900;760;410;460;2.730;3.046;PLDP
HC;H3;0088;LJ(TOMACEVO  -  DUNAJSKA);0;1.238;;;P;69.000;180;59.415;165;4.750;730;460;530;2.770;3.136;PLDP
HC;H3;0089;LJ (DUNAJSKA - SAVLJE);0;948;;;P;67.500;170;57.760;160;4.700;890;490;500;2.830;3.215;PLDP
HC;H3;0089;LJ(SAVLJE - IND. CONA SISKA);948;2.188;174;S Obvoznica;QLTC8;63.842;160;54.062;168;4.966;706;398;544;2.838;3.174;PLDP
HC;H3;0089;LJ(IND. CONA SISKA - CELOVSKA);2.188;2.654;;;P;70.000;160;60.545;165;4.650;710;420;540;2.810;3.156;PLDP
HC;H3;0090;LJ(CELOVSKA  -  VODNIKOVA);0;666;;;P;61.000;150;51.840;130;4.500;720;420;440;2.800;3.046;PLDP
HC;H3;0090;LJ(VODNIKOVA  -  PODUTIK);666;1.477;199;Dravlje HC;QLTC8;56.070;156;46.990;120;4.444;718;410;436;2.796;3.029;PLDP
HC;H3;0090;LJ(PODUTIK - KOSEZE);1.477;2.735;;;P;54.100;160;45.080;120;4.400;740;380;430;2.790;3.015;PLDP
