Kat. ceste;Stev. ceste;Stev. odseka;Prometni odsek;Stac. zacetka;Stac. konca;Stevno mesto;Ime stevnega mesta;Tip stetja;Vsa vozila (PLDP);Motorji;Osebna vozila;Avtobusi;Lah. tov. < 3,5t;Sr. tov.  3,5-7t;Tez. tov. nad 7t;Tov. s prik.;Vlacilci;Dnevni NOO;TIP;
R1;208;1149;RIZANA - KORTINE;0;1.950;771;Kortine;R 10x4;1.800;30;1.630;18;50;45;20;1;6;31;PLDP;
R1;209;1088;LESCE - BLED;0;3.604;109;Bled;QLTC8;19.232;195;17.419;195;1.174;112;82;20;35;181;PLDP;
R1;209;1089;BLED - PRISTAVA;0;2.200;190;Bled jezero;QLD5;6.864;141;6.081;106;340;76;76;11;33;126;PLDP;
R1;209;1089;PRISTAVA - SOTESKA;2.200;10.530;110;Bohinjska Bela;QLD6;3.943;85;3.394;48;324;28;31;17;16;62;PLDP;
R1;209;1090;SOTESKA - BITNJE;0;8.510; ; ;P;3.700;70;3.300;50;200;25;30;10;15;57;PLDP;
R1;209;1091;BITNJE - BOH.BISTRICA;0;1.340; ; ;P;3.250;55;2.917;60;160;20;20;7;11;51;PLDP;
R1;209;1092;BOH.BISTRICA - JEZERO;0;6.200;255;Ribcev Laz;QLD3;2.707;25;2.437;64;143;15;11;3;9;43;PLDP;
R1;210;1105;MP ZG.JEZERSKO - ZG.JEZERSKO;0;6.850;661;MT Jezersko;QLD3;228;13;187;2;12;7;6;1;0;6;PLDP;
R1;210;1105;ZG.JEZERSKO - SP.JEZERSKO;6.850;10.345; ; ;P;800;25;732;10;15;10;5;1;2;11;PLDP;
R1;210;1106;SP. JEZERSKO - PREDDVOR;0;15.585;242;Kokra;QLD5;1.060;72;900;12;15;23;32;2;4;29;PLDP;
R1;210;1107;PREDDVOR - KR(PRIMSKOVO);0;8.440;249;Visoko;QLD3;5.371;35;4.902;37;299;33;37;14;14;58;PLDP;
R1;210;1108;KR(PRIMSKOVO - LABORE);0;2.600;244;KR Primskovo 2;QLTC8;18.326;81;16.477;28;1.242;167;108;66;157;239;PLDP;
R1;210;1109;KRANJ - SKOFJA LOKA;0;7.770;111;Dorfarje;QLTC8;12.823;96;11.255;76;930;148;134;74;110;268;DIST;
R1;210;1077;SKOFJA LOKA;0;930;107;Skofja Loka;QLTC8;23.567;143;21.089;237;1.534;232;194;76;62;330;PLDP;
R1;210;1110;SK.LOKA - GORENJA VAS;0;16.372;112;Zminec;QLD6;6.983;65;6.184;39;476;65;102;26;26;113;PLDP;
R1;210;1111;GORENJA VAS - TREBIJA;0;4.877;408;Hotavlje;QLD;3.759;63;3.206;37;278;59;95;11;10;88;PLDP;
R1;210;1112;TREBIJA - SOVODENJ;0;5.880;409;Trebija;QLD3;1.318;23;1.142;7;76;23;32;7;8;33;PLDP;
R1;210;1113;SOVODENJ - CERKNO;0;11.884; ; ;P;1.050;20;895;5;65;25;25;7;8;29;PLDP;
R1;210;1114;CERKNO - ZELIN;0;4.200;102;Cerkno;QLD;2.656;28;2.331;53;165;29;30;8;12;56;PLDP;
R1;210;1078;SKOFJA LOKA - JEPRCA;0;6.170;106;Godesic;QLD;12.543;82;10.858;71;969;178;126;102;157;306;WIM;
R1;211;0211;KR(LABORE) - JEPRCA;0;8.150;625;Meja pri Kranju;QLD6;7.494;65;6.675;118;443;72;55;24;42;150;DIST;
R1;211;0212;JEPRCA - MEDVODE;0;3.650;52;Medvode;QLTC10;15.513;113;13.382;177;1.169;242;116;98;216;378;PLDP;
R1;211;0212;MEDVODE - STANEZICE;3.650;8.000;643;Medno;QLTC8;21.655;145;18.991;243;1.448;283;144;132;269;433;WIM;
R1;211;0212;STANEZICE  - LJ( SENTVID);8.000;8.814; ; ;P;23.000;140;20.275;300;1.300;400;180;135;270;551;PLDP;
R1;212;1115;PRIKLJUCEK UNEC-UNEC;0;781; ; ;P;9.100;60;7.885;30;600;155;105;90;175;262;PLDP;
R1;212;1116;UNEC - RAKEK;0;2.160;909;Rakek 2;QLTC10;7.191;20;6.118;35;582;114;69;75;178;230;DIST;
R1;212;1117;RAKEK - CERKNICA;0;3.980;245;Rakek;QLD;8.617;83;7.440;51;575;105;98;87;178;240;DIST;
R1;212;1118;CERKNICA - BL.POLICA;0;10.851;246;Grahovo;QLD6;4.883;47;4.231;29;300;51;68;61;96;140;WIM;
R1;212;1119;BL.POLICA - SODRAZICA;0;17.183;247;Nova vas;QLD6;2.679;52;2.288;11;165;28;36;36;63;81;DIST;
R1;212;1120;SODRAZICA - ZLEBIC;0;5.770;248;Zamostec;QLTC10;2.504;43;2.072;9;200;46;35;30;69;92;PLDP;
R1;213;1365;BLOSKA POLICA - PUDOB;0;8.200;386;Stari trg;QLD6;3.140;33;2.848;32;117;20;25;31;34;71;PLDP;
R1;213;1366;PUDOB - BABNO POLJE;0;10.357;384;MP Babno Polje;QLD5;498;14;446;10;2;7;4;6;9;17;PLDP;
R1;214;1156;KOCEVJE - STARI LOG;0;11.670; ; ;P;1.000;45;810;5;70;20;20;15;15;35;PLDP;
R1;214;1157;STARI LOG - DVOR;0;14.405;268;Smuka;QLD6;1.199;48;987;3;91;14;17;21;18;37;PLDP;
R1;215;1491;PRIKLJ. TREBNJE V - GRM;0;615; ; ;P;4.000;15;3.485;20;250;70;65;35;60;114;PLDP;
R1;215;1490;GRM - TREBNJE;0;2.828; ; ;P;5.000;30;4.390;25;300;90;70;40;55;123;PLDP;
R1;215;1506;TREBNJE(ODRGA - KAMNA GORICA);0;360; ; ;P;7.000;90;6.120;30;400;130;80;40;110;173;PLDP;
R1;215;1456;TREBNJE ;0;1.450; ; ;P;5.000;85;3.920;50;550;180;110;35;70;178;PLDP;
R1;215;1162;TREBNJE - MIRNA;0;6.290;903;Dol pri Trebnjem;PRAZNO;5.900;75;5.110;20;450;80;60;30;75;120;PLDP;
R1;215;1162;MIRNA - MOKRONOG;6.290;14.042;270;Bistrica;QLD6;4.439;30;3.874;18;300;45;79;34;59;114;PLDP;
R1;215;1163;MOKRONOG - BOSTANJ;0;18.421;448;Jelovec;QLD6;2.426;26;2.009;9;191;38;67;32;54;99;PLDP;
R1;216;1367;IVANCNA GORICA - KRKA;0;6.805;387;Mrzlo Polje;QLD6;6.695;36;6.034;30;389;54;70;35;47;110;PLDP;
R1;216;1175;KRKA - ZUZEMBERK;0;13.435;277;Zagradec;QLD6;2.920;33;2.562;18;174;29;38;29;37;74;PLDP;
R1;216;1158;ZUZEMBERK - DVOR;0;4.270;278;Mackovec pri Dvoru;QLD5;3.003;45;2.576;35;161;64;52;31;39;97;PLDP;
R1;216;1176;DVOR - SOTESKA;0;5.550;163;Dvor;QLD5;4.129;45;3.587;46;199;64;90;49;49;139;PLDP;
R1;216;1177;SOTESKA - CRMOSNJICE;0;14.355;279;Podturn;QLD6;3.076;29;2.673;13;222;32;36;32;39;74;PLDP;
R1;216;1178;CRMOSNJICE - RUCETNA VAS;0;9.600;737;Srednja vas;R 09x4;2.600;20;2.180;15;230;25;50;35;45;86;PLDP;
R1;216;1178;RUCETNA VAS - CRNOMELJ;9.600;15.306;280;Lokve;QLD6;6.015;34;5.427;20;353;42;60;33;46;96;PLDP;
R1;217;1208;LIVOLD - BREZOVICA;0;16.230;466;Rajndol;QLD5;649;10;559;3;33;22;14;3;5;18;PLDP;
R1;217;1209;BREZOVICA - DOBLICE;0;17.000;299;Brezovica pri Predgradu;R 09x1;60;5;40;3;10;2;0;0;0;2;PLDP;
R1;217;1209;DOBLICE - KANIZARICA;17.000;19.930;300;Blatnik;QLD3;1.460;1;1.363;5;70;9;7;4;1;11;PLDP;
R1;218;1211;METLIKA - PODZEMELJ;0;5.460;450;Podzemelj 3;R 09x4;3.600;30;3.291;25;134;65;20;15;20;56;PLDP;
R1;218;1212;PODZEMELJ - CRNOMELJ;0;8.950;302;Podzemelj;QLD6;3.296;24;2.978;18;170;28;40;16;22;57;PLDP;
R1;218;1152;CRNOMELJ ;0;730; ; ;P;10.900;40;10.163;40;400;155;50;25;27;106;PLDP;
R1;218;1213;CRNOMELJ - KANIZARICA;0;2.215;308;Kanizarica;QLD6;6.258;38;5.708;25;329;52;59;18;29;80;PLDP;
R1;218;1214;KANIZARICA - VINICA;0;15.535;303;Dragatus;QLD5;2.611;24;2.342;25;113;45;45;8;9;53;PLDP;
R1;218;1153;VINICA ;0;160; ; ;P;1.900;25;1.693;30;110;25;10;4;3;27;PLDP;
R1;218;1215;VINICA - MOST CEZ KOLPO;0;850;154;MP Vinica;QLD3;964;18;906;2;33;1;2;2;0;3;PLDP;
R1;219;1236;SL.BISTRICA - POLJCANE;0;8.496;125;Zg.Breznica;QLD;5.183;39;4.466;27;266;103;125;65;92;193;PLDP;
R1;219;1410;POLJCANE ;0;700; ; ;P;6.200;35;5.330;35;300;185;170;60;85;228;PLDP;
R1;219;1237;POLJCANE - PODPLAT;0;9.189;126;Podplat;QLD6;4.242;33;3.540;15;299;65;144;65;81;183;PLDP;
R1;219;1239;MESTINJE - GOLOBINJEK;0;14.779;128;Podcetrtek;QLD6;5.227;41;4.544;22;329;68;90;51;82;151;PLDP;
R1;219;1240;GOLOBINJEK - BISTRICA;0;8.996;412;Lastnic;QLD5;2.167;26;1.763;23;154;66;39;37;59;102;PLDP;
R1;219;1421;BISTRICA OB SOTLI;0;720; ; ;P;3.700;25;3.220;45;200;80;40;35;55;111;PLDP;
R1;219;1241;BISTRICA - BIZELJSKO;0;6.805;413;Bizeljsko;QLD6;1.882;25;1.537;9;157;33;41;32;48;81;PLDP;
R1;219;1242;BIZELJSKO - BREZICE;0;16.000;129;Bukosek;QLD6;3.119;22;2.793;7;170;25;33;30;39;68;PLDP;
R1;219;1242;BREZICE - CATEZ;16.000;17.570;366;Brezice;QLTC10;11.691;73;10.460;74;738;122;89;49;86;185;PLDP;
R1;219;1480;CATEZ OB SAVI ;0;1.188; ; ;P;5.000;70;4.220;65;380;100;70;25;70;142;PLDP;
R1;220;1334;KRSKO - SP.POHANCA;0;7.200;367;Dolenja vas;QLD6;5.755;39;5.208;42;294;39;72;28;33;100;PLDP;
R1;220;1334;SP.POHANCA - BREZICE;7.200;12.715;738;Spodnja Pohanca;QLD6;4.763;3;4.384;25;227;31;48;16;29;69;PLDP;
R1;221;1227;TROJANE - IZLAKE;0;6.652;314;Izlake;QLD6;6.091;45;5.379;47;414;37;53;36;80;105;WIM;
R1;221;1218;IZLAKE - ZAGORJE;0;6.474;306;Kisovec;QLD;8.388;48;7.527;65;476;63;62;50;97;139;DIST;
R1;221;1219;ZAGORJE - BEVSKO;0;5.358;307;Bevsko;QLD6;3.359;23;3.087;48;163;14;13;9;2;37;PLDP;
R1;221;1220;BEVSKO - TRBOVLJE;0;3.123;582;Trbovlje;QLD6;11.717;80;10.869;121;463;64;61;28;31;132;PLDP;
R1;221;1221;TRBOVLJE-BOBEN - HRASTNIK;0;8.815;309;Hrastnik;R 08x4;500;35;438;2;20;3;2;0;0;2;PLDP;
R1;221;1222;HRASTNIK - SMARJETA;0;9.650;310;Marno;QLD6;4.554;32;3.915;35;266;61;107;26;112;141;DIST;
R1;222;1228;ZAGORJE - MOST CEZ SAVO;0;1.885;583;Zagorje-most;QLD6;7.591;48;6.790;87;394;75;75;32;90;166;PLDP;
R1;223;1229;BEVSKO - MOST CEZ SAVO;0;1.220;127;Trbovlje 2;QLTC10;9.182;6;8.372;77;527;78;67;16;39;116;PLDP;
R1;224;1230;HRASTNIK - MOST CEZ SAVO;0;1.500;584;Hrastnik 2;QLTC10;7.356;10;6.571;59;426;81;93;19;97;160;PLDP;
R1;225;1140;MENGES - DUPLICA;0;3.805;259;Smarca;QLTC10;10.223;61;9.217;21;671;98;69;27;59;123;DIST;
R1;225;1359;DUPLICA - KAMNIK;0;3.793;362;Kamnik;QLTC10;16.272;129;14.571;36;1.076;159;137;36;128;222;WIM;
R1;225;1424;KAMNIK - MEKINJE;0;700; ; ;P;7.200;60;6.405;30;350;110;100;35;110;175;PLDP;
R1;225;1083;KAMNIK (MEKINJE) - SP.  STRANJE;0;2.000;231;Kamnik Fuzine;QLD6;5.383;73;4.685;36;300;65;84;32;108;145;DIST;
R1;225;1083;SP.  STRANJE - STAHOVICA;2.000;4.270; ; ;P;4.200;65;3.640;35;210;110;75;30;35;115;PLDP;
R1;225;1084;STAHOVICA - CRNIVEC;0;10.615;233;Crna;R 08x4;2.100;35;1.775;15;125;100;30;10;10;54;PLDP;
R1;225;1085;CRNIVEC - GORNJI GRAD;0;12.200;237;Tirosek;QLD6;830;24;699;8;62;8;16;7;6;21;PLDP;
R1;225;1085;GORNJI GRAD - RADMIRJE;12.200;17.571;234;Gornji Grad;QLD3;1.986;23;1.749;11;122;25;36;10;10;40;PLDP;
R1;225;1248;RADMIRJE - MOZIRJE;0;8.731;232;Nizka;QLD6;5.304;61;4.679;39;326;56;74;32;37;109;DIST;
R1;225;1248;MOZIRJE ;8.731;11.302;139;Prihova;QLTC10;9.239;21;8.139;59;637;126;97;83;77;203;DIST;
R1;225;1247;MOZIRJE - SOTESKA;0;2.339;577;Ljubija;R 07x1;9.000;70;7.885;55;600;100;100;90;100;203;WIM;
R1;225;1246;SOTESKA - LETUS;0;3.300;34;Letus 2;QLD6;5.358;56;4.585;52;373;66;93;66;67;165;PLDP;
R1;225;1246;LETUS - M.BRASLOVCE;3.300;6.050;138;Letus;QLD6;7.668;75;6.634;49;495;81;141;80;113;228;PLDP;
R1;225;1246;M.BRASLOVCE - PARIZLJE;6.050;8.390; ; ;P;7.400;70;6.440;30;430;100;145;75;110;221;PLDP;
R1;225;1246;PARIZLJE - SENTRUPERT;8.390;12.200;37;Orla vas;QLD;8.685;61;7.545;34;619;109;111;82;124;221;PLDP;
R1;227;1264;RAVNE - KOTLJE;0;3.600;319;Brdinje;QLD3;6.475;58;5.949;21;345;40;53;4;5;49;PLDP;
R1;227;1423;KOTLJE - STARI TRG;0;8.430;921;Stari Trg pri SG;QLTC10;5.947;39;5.460;16;330;36;58;4;4;48;PLDP;
R1;227;1423;STARI TRG - SLOVENJ GRADEC;8.430;11.154;;;P;9.000;60;8.000;30;750;50;70;15;25;83;PLDP;
R1;228;1291;SPUHLJA - BORL;0;8.500;341;Stojnci;QLTC10;4.201;32;3.623;25;237;39;29;59;157;184;WIM;
R1;228;1291;BORL - MP ZAVRC;8.500;13.900;340;MP Zavrc;QLD6;1.615;8;1.290;13;69;10;21;47;157;146;PLDP;
R1;229;0248;PTUJ (BUDINA-CENTER);0;1.088; ; ;P;19.000;60;16.940;180;1.300;200;110;90;120;303;PLDP;
R1;229;1417;PTUJ - ROGOZNICA;0;2.080; ; ;P;11.900;55;11.120;90;400;45;80;40;70;156;PLDP;
R1;229;1286;ROGOZNICA - JANEZOVCI;0;4.830;;;P;4.500;30;4.053;15;250;40;57;20;35;77;PLDP;
R1;229;1286;JANEZOVCI - GOMILCI;4.830;7.360;;;P;3.500;30;3.099;15;210;35;55;20;36;76;PLDP;
R1;229;1286;GOMILCI - SENARSKA;7.360;16.918;338;Gocova;QLD6;3.136;28;2.761;10;206;33;52;17;29;66;PLDP;
R1;230;0327;MP G.RADGONA - G.RADGONA;0;989;665;MT Gornja Radgona;QLTC8;6.181;52;5.679;5;257;38;22;22;106;101;PLDP;
R1;230;0366;GORNJA RADGONA - RADENCI;0;5.680;86;Sratovci;QLD6;6.558;48;5.719;59;352;77;111;58;134;164;DIST;
R1;230;1164;RADENCI ;0;453; ; ;P;5.600;40;4.955;45;250;80;75;55;100;170;PLDP;
R1;230;1308;RADENCI - VUCJA VAS;0;7.803;352;Radenci;QLD6;3.484;32;2.997;15;190;42;60;47;101;137;PLDP;
R1;230;1399;VUCJA VAS - KRIZEVCI;0;4.527;576;Iljasevci;QLD6;3.974;31;3.356;20;264;45;76;59;123;169;PLDP;
R1;230;1415;KRIZEVCI ;0;800; ; ;P;6.100;50;5.410;40;310;70;50;45;125;162;PLDP;
R1;230;1309;KRIZEVCI - LJUTOMER;0;7.300;353;Norsinci;QLTC8;5.907;58;5.096;32;375;103;78;40;125;141;WIM;
R1;230;1310;LJUTOMER - PAVLOVCI;0;13.910;354;Ivanjkovci;QLD6;2.352;27;1.947;14;149;31;52;41;91;85;DIST;
R1;230;1311;PAVLOVCI - ORMOZ;0;1.860;575;Pavlovci;QLTC10;3.843;12;3.416;18;223;56;38;22;58;88;PLDP;
R1;230;1312;ORMOZ ;0;1.500; ; ;P;6.000;20;5.640;25;230;50;20;5;10;40;PLDP;
R1;230;0251;ORMOZ - MP ORMOZ;0;760;156;MP Ormoz;QLD3;1.014;2;923;5;82;1;1;0;0;3;PLDP;
R1;231;1325;GIBINA - RAZKRIZJE;0;2.930;431;MP Gibina;QLD5;468;6;419;1;22;10;9;0;1;8;PLDP;
R1;231;1323;RAZKRIZJE - STROCJA VAS;0;3.830; ; ;P;2.450;10;2.273;10;100;25;20;6;6;27;PLDP;
R1;231;1327;STROCJA VAS - LJUTOMER;0;2.500;636;Strocja vas;QLD5;3.446;41;3.155;9;119;75;25;11;11;45;PLDP;
R1;232;1314;MP HODOS - HODOS;0;1.500;430;MT Hodos;QLD5;244;7;194;5;10;8;12;3;5;15;PLDP;
R1;232;1314;HODOS - SALOVCI;1.500;5.000; ; ;P;950;90;776;7;35;10;20;4;8;22;PLDP;
R1;232;1314;SALOVCI - PETROVCI;5.000;10.458;487;Peskovci;QLD5;1.130;11;1.012;10;41;14;27;5;10;30;PLDP;
R1;232;1315;PETROVCI - MACKOVCI;0;6.500; ; ;P;2.900;20;2.550;20;120;80;85;10;15;83;PLDP;
R1;232;1315;MACKOVCI - MARTJANCI;6.500;17.700;137;Vaneca;QLD6;3.792;26;3.367;20;211;41;96;14;17;84;PLDP;
R1;232;1316;MARTJANCI - M.SOBOTA;0;2.470;499;Murska Sobota sever;QLD6;11.468;58;10.590;60;467;95;125;22;51;205;WIM;
R1;232;1470;MURSKA SOBOTA ;0;1.000; ; ;P;15.000;60;13.865;125;450;200;210;25;65;254;PLDP;
R1;232;1406;M.SOBOTA - LIPOVCI;0;4.067;148;MS-Baksa;QLD5;11.420;68;10.433;126;443;112;126;33;79;209;PLDP;
R1;234;1476;DRAMLJE - DOLE;0;2.750;316;Dole;QLD6;6.321;13;5.305;13;501;112;169;104;104;242;PLDP;
R1;234;1280;DOLE - SENTJUR;0;3.445;690;Lokarje;QLD6;9.791;37;8.613;26;655;106;145;71;138;200;WIM;
R1;235;0317;RADENCI - PETANJCI;0;2.047;446;Petanjci;QLD6;4.581;40;4.032;49;267;57;65;29;42;109;PLDP;
R1;235;0318;PETANJCI - M.SOBOTA(GAJ);0;7.473;623;Tropovci;QLD5;5.206;45;4.596;56;295;74;95;16;29;114;PLDP;
R1;235;1396;M.SOBOTA(GAJ) - PRIK.M.S.;0;2.858;479;MS Krog;QLD6;3.374;11;2.968;9;223;39;56;23;45;82;PLDP;
R2;401;1020;ZAGA - UCJA;0;7.445;551;MT Ucja;R 08x1;150;25;110;0;15;0;0;0;0;0;PLDP;
R2;402;1010;SOLKAN - MOST CEZ SOCO;0;141; ; ;P;7.800;90;7.240;45;240;60;40;30;55;104;PLDP;
R2;402;1426;SOLKAN MOST - GONJACE;0;10.396;219;Podsabotin;QLD5;2.994;32;2.715;12;152;36;36;3;8;37;PLDP;
R2;402;1465;GONJACE - DOBROVO;0;4.553;755;Smartno v Brdih;QLD;2.183;14;1.962;10;146;21;20;3;7;25;PLDP;
R2;402;1045;DOBROVO - NEBLO;0;2.700; ; ;P;4.300;65;3.933;10;240;30;20;1;1;22;PLDP;
R2;402;1045;NEBLO - MP NEBLO;2.700;4.820;550;MT Neblo;QLD5;4.598;62;4.211;2;273;26;20;2;2;19;PLDP;
R2;403;1071;BACA - KNEZA;0;6.153;108;Baca;QLD3;1.223;9;1.087;3;76;15;24;6;3;22;PLDP;
R2;403;1072;KNEZA - PODBRDO;0;15.734; ; ;P;1.000;30;887;10;40;10;20;2;1;18;PLDP;
R2;403;1073;PODBRDO - PETROVO BRDO;0;4.400;538;Petrovo brdo 1;R 07x1;500;40;424;3;20;9;4;0;0;5;PLDP;
R2;403;1074;PETROVO BRDO - PODROST;0;8.100;539;Petrovo brdo 2;R 07x1;350;40;247;3;50;6;4;0;0;4;PLDP;
R2;403;1075;PODROST - ZALI LOG;0;5.000;542;Zali Log;R 07x1;800;48;656;14;55;10;7;7;3;18;PLDP;
R2;403;1075;ZALI LOG - CESNJICA;5.000;10.061;189;Zelezniki;QLD6;1.933;36;1.716;19;108;14;29;7;4;32;PLDP;
R2;403;1076;CESNJICA - SKOFJA LOKA;0;15.700;618;Bukovica;QLD6;5.132;48;4.527;40;324;57;88;25;23;102;PLDP;
R2;404;1379;PODGRAD - IL.BISTRICA;0;11.000;397;Recica;QLD;3.361;24;2.861;16;189;35;42;34;160;156;PLDP;
R2;404;1380;IL.BISTRICA - PIVKA;0;16.942;398;Knezak;QLD3;3.908;39;3.549;29;182;50;40;5;14;54;PLDP;
R2;405;6845;DIVACA - FAMLJE;0;5.552;59;Vremski Britof 1;R 11x4;2.200;30;1.924;8;115;45;32;11;35;57;PLDP;
R2;405;1022;FAMLJE - RIBNICA;0;11.967;210;Buje;QLD;1.193;13;991;4;84;20;30;17;34;53;PLDP;
R2;406;1405;DEKANI  -  R.SKOFIJE;0;1.085; ; ;P;5.100;95;4.906;2;30;50;15;1;1;20;PLDP;
R2;406;1407;R.SKOFIJE - KRIZ.MORETINI;0;850; ; ;P;5.200;80;4.754;30;260;45;20;8;3;39;PLDP;
R2;406;1407;KRIZ.MORETINI - ANKARAN;850;5.130;403;Ankaran;QLD6;8.812;128;8.184;15;424;31;13;12;5;30;PLDP;
R2;406;1407;ANKARAN - MP LAZARET;5.130;8.188;650;MT Lazaret;QLD5;1.589;87;1.444;18;21;14;3;0;2;13;PLDP;
R2;407;1144;GORENJA VAS - LUCINE;0;9.000;263;Todraz;R 08x4;900;10;760;7;56;15;45;3;4;33;PLDP;
R2;407;1144;LUCINE - LJUBLJANICA;9.000;13.926; ; ;P;250;5;223;5;10;2;5;0;0;5;PLDP;
R2;407;1145;LJUBLJANICA - VRZDENEC;0;3.800; ; ;P;200;5;178;3;8;4;2;0;0;3;PLDP;
R2;407;1145;VRZDENEC - HORJUL;3.800;6.800; ; ;P;1.450;30;1.297;10;70;25;15;1;2;19;PLDP;
R2;407;1145;HORJUL - VRHNIKA;6.800;14.867;264;Horjul;QLD5;1.987;47;1.694;5;147;28;55;4;7;42;PLDP;
R2;408;1374;LOGATEC - ROVTE;0;10.500;393;Logatec;QLD6;2.214;7;1.908;14;154;29;55;33;14;69;PLDP;
R2;408;1374;ROVTE -  ZIRI;10.500;21.351;370;Zavratec;QLD5;728;20;587;8;44;29;26;7;7;31;PLDP;
R2;408;1375;ZIRI - TREBIJA;0;7.350;394;Ziri;QLD5;3.392;61;2.956;28;219;66;46;8;8;58;PLDP;
R2;409;0358;LJ(VIC) - AC BREZOVICA;0;2.741;165;Gorjanc;QLTC8;10.993;122;9.842;193;676;72;43;18;27;98;DIST;
R2;409;0300;AC BREZOVICA - BREZOVICA;0;1.400;267;Brezovica;QLTC8;20.841;194;18.344;187;1.403;291;165;81;176;245;DIST;
R2;409;0300;BREZOVICA - VRHNIKA;1.400;13.161;611;Drenov Gric;QLD6;7.220;107;6.058;118;463;121;168;75;110;161;WIM;
R2;409;0301;VRHNIKA - LOGATEC;0;9.525;153;Zapolje;QLD6;5.932;153;4.853;98;424;106;155;74;69;230;PLDP;
R2;409;0302;LOGATEC (TRZASKA C.) ;0;900; ; ;P;8.000;150;6.790;110;500;110;170;90;80;260;PLDP;
R2;409;0303;KALCE - PLANINA;0;8.337;736;Grcarevec;R 09x4;2.100;170;1.685;40;90;70;10;10;25;58;PLDP;
R2;409;0304;PLANINA - RAVBARKOMANDA;0;7.230;612;Ravbarkomanda;QLD6;1.943;167;1.571;28;92;30;29;12;14;49;PLDP;
R2;409;0305;RAVBARKOMANDA - PO(R913);0;3.000; ; ;P;5.300;140;4.828;45;145;90;20;15;17;67;PLDP;
R2;409;0305;PO(R913) - POSTOJNA;3.000;4.360; ; ;P;11.500;150;10.695;50;350;100;70;40;45;129;PLDP;
R2;409;0306;POSTOJNA - RAZDRTO;0;10.980;76;Postojna;QLTC10;5.229;179;4.344;42;244;92;82;43;203;231;PLDP;
R2;409;0307;RAZDRTO - SENOZECE;0;6.530;22;Senozece;R 08x1;2.850;110;2.290;45;110;95;90;40;70;152;PLDP;
R2;409;0308;SENOZECE - DIVACA;0;8.140;77;Divaca;QLD6;1.714;130;1.304;20;95;37;54;21;53;89;PLDP;
R2;409;0309;DIVACA - MATAVUN;0;1.940;684;Skocjan;QLD;2.512;165;2.019;28;164;65;50;8;13;63;PLDP;
R2;409;0310;MATAVUN - KOZINA;0;7.275;78;Kacice;R 10x4;1.550;140;1.185;25;100;60;20;10;10;45;PLDP;
R2;409;0311;KOZINA  -  KASTELEC;0;8.960;614;Petrinje;QLD6;1.691;115;1.292;25;90;55;67;13;34;85;PLDP;
R2;409;0312;KASTELEC - CRNI KAL;0;3.902; ; ;P;1.050;100;695;25;85;60;50;10;25;70;PLDP;
R2;409;1435;KORTINE  -  RIZANA;0;1.353; ; ;P;1.550;120;1.155;25;180;25;30;5;10;40;PLDP;
R2;409;0313;RIZANA - DEKANI;0;5.910;79;Dekani;QLD;3.966;196;3.484;26;191;29;30;3;7;38;PLDP;
R2;409;1438;DEKANI - PRIKLJ. SRMIN;0;324; ; ;P;5.000;190;4.510;40;180;40;25;5;10;47;PLDP;
R2;410;1133;BISTRICA - TRZIC;0;320;555;Trzic;QLTC10;11.486;12;10.583;52;675;75;53;15;21;86;PLDP;
R2;410;1134;TRZIC - GOLNIK;0;6.500;556;Senicno;QLD3;2.341;34;2.143;13;120;14;14;2;1;17;PLDP;
R2;410;1134;GOLNIK - KOKRICA;6.500;13.671;258;Tenetise;QLD3;4.401;37;4.050;24;236;22;25;5;2;31;PLDP;
R2;410;1135;KOKRICA - KRANJ;0;2.234;913;Kokrica;QLTC8;12.141;94;11.216;71;619;63;52;5;21;85;PLDP;
R2;411;1471;KRANJ Z  -  POLICA;0;733; ; ;P;13.800;100;12.585;75;530;250;110;60;90;231;PLDP;
R2;411;1428;POLICA - NAKLO(MARINSEK);0;1.960;51;Naklo;QLD6;7.784;98;6.952;128;457;51;62;16;20;118;PLDP;
R2;411;1428;NAKLO(MARINSEK) - PRIKLJ. NAKLO;1.960;4.420;;;P;5.000;100;4.680;35;90;60;20;10;5;46;PLDP;
R2;411;1428;PRIKLJ. NAKLO - PODTABOR;4.420;7.202;708;Podbrezje;QLD5;3.168;103;2.892;32;40;85;7;8;1;40;PLDP;
R2;411;1528;PODTABOR - GOBOVCE;0;1.487; ; ;P;2.900;100;2.380;30;180;30;130;20;30;115;PLDP;
R2;411;1429;GOBOVCE - CRNIVEC;0;5.142;707;Dobro Polje;QLD6;2.594;97;2.275;27;143;20;21;5;6;33;PLDP;
R2;412;1454;POLICA - KR(KIDRICEVA);0;2.035;718;KR Zlato polje;QLTC10;17.702;140;15.681;182;1.143;207;165;59;125;316;PLDP;
R2;412;0359;KRANJ(KIDRICEVA  -  ISKRA);0;1.559;717;KR Sejem;QLTC8;17.540;108;15.837;44;976;184;215;53;123;273;PLDP;
R2;412;0210;KR(ISKRA - LABORE);0;1.450;716;KR Labore;QLTC10;17.004;126;14.992;257;1.040;232;137;68;152;362;PLDP;
R2;413;4704;MEDVODE - ZBILJE;0;1.166; ; ;P;5.300;80;4.470;140;410;80;80;15;25;141;PLDP;
R2;413;1079;ZBILJE - VODICE;0;7.386;228;Valburga;QLD5;4.562;71;3.941;14;349;75;78;13;21;81;PLDP;
