Kat. ceste;Stev. ceste;Stev. odseka;Prometni odsek;Stac. zacetka;Stac. konca;Stevno mesto;Ime stevnega mesta;Tip   stetja;Vsa vozila (PLDP);Motorji;Osebna vozila;Avtobusi;Lah. tov.  < 3,5t;Sr. tov.  3,5-7t;Tez. tov. nad 7t;Tov. s prik.;Vlacilci;Dnevni NOO;Tip
AC;A5;0809;SV.JURIJ OB SCAVNICI - VUCJA VAS;0;8.499;2011;Dragotinci AC;QLTC8;18.717;15;11.604;135;2.427;260;130;513;3.633;3.541;PLDP
AC;A5;0174;PRIKLJ. VUCJA VAS - MB;0;400;881;Priklj. Vucja vas-MB;QLTC10;2.199;5;1.781;6;249;31;19;25;83;107;PLDP
AC;A5;0174;PRIKLJ. VUCJA VAS  - MS;400;836;882;Priklj. Vucja vas-MS;QLTC10;1.728;5;1.428;5;153;23;19;15;80;93;PLDP
AC;A5;0810;VUCJA VAS - MURSKA SOBOTA;0;6.577;841;Vucja vas AC;QLTC8;18.246;15;11.251;134;2.331;252;130;503;3.630;3.527;PLDP
AC;A5;0175;PRIKLJ. MURSKA SOBOTA - MB;0;2.417;887;Priklj. MS-MB;QLTC8;5.127;12;4.278;17;559;71;63;36;91;158;PLDP
AC;A5;0175;PRIKLJ. MURSKA SOBOTA - LENDAVA;2.417;2.808;888;Priklj. MS-Lendava;QLTC8;1.806;4;1.495;2;131;14;18;25;117;126;PLDP
AC;A5;0811;MURSKA SOBOTA - LIPOVCI;0;3.798;2009;Rakican AC;QLTC8;14.925;7;8.468;119;1.903;195;85;492;3.656;3.495;PLDP
AC;A5;0812;LIPOVCI - GANCANI;0;4.290;;;P;14.000;10;7.665;125;1.800;230;110;460;3.600;3.448;PLDP
AC;A5;0812;GANCANI - TURNISCE;4.290;9.535;;;P;13.800;10;7.540;130;1.750;210;100;450;3.610;3.441;PLDP
AC;A5;0813;TURNISCE - DOLGA VAS;0;9.628;;;P;13.600;10;7.380;130;1.730;200;90;440;3.620;3.435;PLDP
AC;A5;0814;DOLGA VAS - LENDAVA;0;3.964;884;Lendava AC;QLTC8;11.410;10;6.760;126;1.629;152;56;246;2.431;2.299;PLDP
AC;A5;0185;PRIKLJ. LENDAVA - MS;0;286;885;Priklj. Lendava-MS;QLTC8;3.963;10;3.261;17;341;46;35;37;216;241;PLDP
AC;A5;0185;PRIKLJ. LENDAVA - PINCE;286;680;886;Priklj. Lendava-Pince;QLTC8;301;1;183;3;49;6;3;4;52;50;PLDP
AC;A5;0816;LENDAVA - PINCE;0;8.432;2010;Pince AC;QLTC8;7.684;8;3.643;113;1.325;113;31;211;2.240;2.088;PLDP
AC;A5;0816;PINCE - MP PINCE;8.432;8.709;;;P;7.300;5;3.365;100;1.250;110;30;210;2.230;2.069;PLDP
HC;H2;0032;PESNICA - PRIKLJ. PESNICA;0;209;;;P;22.800;40;20.495;130;1.400;175;180;80;300;514;PLDP
HC;H2;0032;PRIKLJ. PESNICA - MARIBOR;209;4.516;16;Meljska HC;QLTC8;22.225;39;19.910;138;1.471;167;113;75;312;500;PLDP
HC;H2;0033;MB(MELJSKA) - POBREZJE;0;1.534;;;P;27.000;50;24.225;60;1.600;310;245;70;440;633;PLDP
HC;H2;0033;POBREZJE - MB(TEZNO);1.534;2.684;15;Maribor HC;QLTC8;29.479;55;26.467;57;1.801;287;296;63;453;647;PLDP
HC;H3;0085;LJ (ZADOBROVA  - LESKOVSKOVA C.);0;920;179;SV Obvoznica;QLTC8;72.858;174;62.408;290;6.028;664;496;438;2.360;2.830;PLDP
HC;H3;0085;LJ (LESKOSKOVA C. - SMARTINSKA);920;1.511;891;S obvoznica BTC HC;QLTC8;54.700;140;45.700;260;5.000;560;430;400;2.210;2.602;PLDP
HC;H3;0086;LJ (SMARTINSKA - TOMACEVO);0;2.084;;;P;72.900;150;62.370;250;6.100;670;460;440;2.460;2.873;PLDP
HC;H3;0088;LJ (TOMACEVO  -  DUNAJSKA);0;1.238;;;P;74.700;160;64.590;220;5.700;630;490;500;2.410;2.858;PLDP
HC;H3;0089;LJ (DUNAJSKA - SAVLJE);0;948;;;P;73.900;170;63.870;200;5.600;660;520;480;2.400;2.839;PLDP
HC;H3;0089;LJ (SAVLJE - IND. CONA SISKA);948;2.188;174;S Obvoznica;QLTC8;71.184;178;60.714;190;6.152;620;420;518;2.392;2.810;PLDP
HC;H3;0089;LJ (IND. CONA SISKA - CELOVSKA);2.188;2.654;;;P;76.600;180;66.375;185;5.900;640;480;480;2.360;2.777;PLDP
HC;H3;0090;LJ (CELOVSKA  -  VODNIKOVA);0;666;;;P;67.800;90;58.020;140;5.700;650;450;410;2.340;2.666;PLDP
HC;H3;0090;LJ (VODNIKOVA  -  PODUTIK);666;1.477;199;Dravlje HC;QLTC8;63.084;70;53.678;132;5.548;638;432;410;2.176;2.518;PLDP
HC;H3;0090;LJ (PODUTIK - KOSEZE);1.477;2.735;1010;R Koseze (LJsev-Brdo);QLTC8;48.143;50;40.631;112;4.254;511;336;329;1.920;2.160;PLDP
HC;H4;0374;NANOS - (RAZDRTO) - PODNANOS - VIPAVA;0;12.450;2110;Nanos HC;QLTC8;15.985;38;10.249;96;1.798;263;120;442;2.979;2.930;PLDP
HC;H4;0375;VIPAVA - AJDOVSCINA;0;6.763;865;Dolga Poljana HC;QLTC8;17.099;38;11.340;84;1.845;271;126;418;2.977;2.905;PLDP
HC;H4;0376;AJDOVSCINA - SELO;0;9.174;635;Ajdovscina HC;QLTC8;18.015;25;12.160;73;2.007;230;141;362;3.017;2.878;PLDP
HC;H4;0443;PRIKLJ. SELO - AJDOVSCINA;0;150;866;Priklj. Selo-Ajdovscina;QLTC8;1.800;3;1.587;1;128;19;21;7;34;47;PLDP
HC;H4;0443;PRIKLJ.SELO - VRTOJBA;150;322;867;Priklj. Selo-Vrtojba;QLTC8;2.000;2;1.717;3;183;27;31;8;29;51;PLDP
HC;H4;0378;SELO  -  VOGRSKO;0;6.726;816;Selo HC;QLTC8;18.215;24;12.290;75;2.062;238;151;363;3.012;2.882;PLDP
HC;H4;0379;VOGRSKO - SEMPETER;0;4.776;815;Bazara HC;QLTC8;13.400;19;8.751;65;1.370;140;75;330;2.650;2.501;PLDP
HC;H4;0380;SEMPETER - VRTOJBA;0;1.625;880;Sempeter HC;QLTC8;10.363;21;5.960;63;1.090;111;65;331;2.722;2.545;PLDP
HC;H4;0380;VRTOJBA - MP VRTOJBA;1.625;2.238;671;MT Vrtojba;QLTC8;12.303;44;7.540;64;1.041;125;88;323;3.078;2.837;PLDP
HC;H5;0388;MP SKOFIJE  -  PLAVJE;0;552;651;MT Skofije;QLTC8;16.863;171;14.486;94;961;94;48;105;904;921;PLDP
HC;H5;0388;PLAVJE - SKOFIJE;552;2.129;860;Skofije HC;QLTC8;13.593;86;11.445;72;866;78;45;102;899;893;PLDP
HC;H5;0388;SKOFIJE - PRIKLJ. SERMIN;2.129;2.962;;;P;17.400;90;15.215;75;875;85;50;105;905;906;PLDP
HC;H5;0388;PRIKLJ. SERMIN - SERMIN (A1);2.962;4.156;;;P;21.800;90;19.590;80;880;90;55;105;910;917;PLDP
HC;H5;0456;PRIKLJUCEK PLAVJE - KP;0;100;861;PR Skofije-KP;QLTC8;630;3;565;1;46;3;4;1;7;10;PLDP
HC;H5;0456;PRIKLJUCEK PLAVJE - MP;100;146;862;PR Skofije-MP;QLTC8;3.900;88;3.606;23;141;19;7;4;12;37;PLDP
HC;H5;0236;SERMIN - BERTOKI;0;1.129;;;P;46.700;210;40.020;230;3.500;220;220;450;1.850;2.153;PLDP
HC;H5;0237;BERTOKI - KP(SKOCJAN);0;2.548;11;Bertoki HC;QLTC8;45.760;332;40.974;250;3.302;238;198;78;388;697;PLDP
HC;H6;0238;KOPER (SLAVCEK - SEMEDELA);0;1.120;;;P;42.000;360;38.615;190;2.400;140;160;35;100;346;PLDP
HC;H6;0389;KOPER (SEMEDELA) - IZOLA;0;4.116;;;P;28.500;370;25.590;160;2.000;130;150;20;80;289;PLDP
HC;H7;0815;A5 - DOLGA VAS;0;1.502;;;P;5.500;30;3.095;20;300;40;45;290;1.680;1.619;PLDP
HC;H7;0817;DOLGA VAS - RONDO DOLGA VAS;0;2.024;;;P;4.360;30;2.005;20;280;35;40;280;1.670;1.599;PLDP
G1;1;0240;MP VIC - DRAVOGRAD;0;3.590;663;MT Vic;QLTC10;2.924;87;2.158;6;253;32;16;58;314;280;PLDP
G1;1;0241;DRAVOGRAD - RADLJE;0;16.005;60;Gortina;QLTC10;8.073;107;6.680;47;722;114;98;63;242;440;WIM
G1;1;0242;RADLJE ;0;2.686;923;Radeljska obvoznica;QLTC10;6.061;75;4.988;14;544;97;93;51;199;350;DIST
G1;1;0243;RADLJE - BREZNO;0;9.127;605;Brezno;QLTC10;4.814;69;3.910;39;460;76;50;40;170;296;DIST
G1;1;0244;BREZNO - RUTA;0;9.569;573;Ozbalt;QLTC8;4.536;69;3.649;40;437;79;48;41;173;250;DIST
G1;1;0245;RUTA - SELNICA;0;10.500;600;Zgornji Boc;QLTC10;4.985;69;4.023;42;495;61;74;38;183;266;WIM
G1;1;0245;SELNICA - MB(OTOK);10.500;19.220;61;Brestrnica;QLTC8;9.036;92;7.772;79;652;115;96;42;188;326;DIST
G1;1;0245;MB (OTOK) - MB (KOROSKI MOST);19.220;20.688;900;MB Kamnica;QLTC10;14.487;109;12.880;90;952;111;113;43;189;343;DIST
G1;1;0326;MB (KOR. MOST - C. PROLE. BRIGAD);0;2.014;18;MB Koroski most;QLTC8;24.894;133;22.814;103;1.318;157;111;53;205;333;PLDP
G1;1;0364;MB (C. PROLE. BRIGAD  -  TRZASKA C.);0;2.227;;;P;27.300;130;24.920;110;1.500;230;110;80;220;384;PLDP
G1;1;0246;MB (TRZASKA) - MIKLAVZ;0;3.532;19;MB Ptujska;QLTC10;21.560;105;19.030;181;1.461;233;122;87;341;521;PLDP
G1;2;1290;SL.BISTRICA - PRAGERSKO;0;3.925;196;Devina;QLTC8;8.873;62;7.352;24;729;180;149;81;296;444;WIM
G1;2;0392;PRAGERSKO - SIKOLE;0;5.323;641;Sikole 2;QLTC10;5.452;61;4.224;21;542;159;99;76;270;385;DIST
G1;2;0393;SIKOLE - KIDRICEVO;0;6.850;426;Sikole 3;QLTC8;6.479;67;5.159;21;589;163;134;67;279;405;DIST
G1;2;0393;KIDRICEVO - HAJDINA;6.850;7.950;792;Njiverce;QLTC8;11.752;81;10.021;47;852;189;183;78;301;481;DIST
G1;2;0395;PTUJ(TURNISCE - BUDINA);0;1.642;670;Ptuj jezero;QLTC10;16.060;62;13.361;48;1.295;291;164;198;641;765;PLDP
G1;2;0249;PTUJ - SPUHLJA;0;2.226;638;Ptuj Vzhod;QLTC10;15.267;87;13.039;97;1.099;201;97;151;496;897;WIM
G1;2;0250;SPUHLJA - GORISNICA;0;8.030;424;Borovci;QLTC10;8.597;55;7.421;33;608;107;75;70;228;429;DIST
G1;2;0250;GORISNICA - ORMOZ;8.030;17.688;62;Cvetkovci;QLTC10;6.115;52;5.127;30;481;88;63;62;212;275;WIM
G1;2;0398;ORMOZ Z  -  ORMOZ V;0;3.020;574;Ormoz;QLTC10;3.872;35;3.109;10;312;78;56;61;211;255;DIST
G1;2;1313;ORMOZ - SREDISCE OB DRAVI;0;9.000;355;Grabe;QLTC10;2.787;30;2.257;13;165;50;34;47;191;213;DIST
G1;2;1313;SREDISCE OB DRAVI  -  MP SRED.;9.000;11.855;522;MP Sredisce ob Dravi;QLTC10;1.034;10;684;10;69;36;14;44;167;178;DIST
G1;4;1257;DRAVOGRAD - OTISKI VRH;0;1.448;480;Dravograd;QLTC8;13.910;132;11.949;129;1.020;153;126;87;314;423;DIST
G1;4;1258;OTISKI VRH - SL.GRADEC;0;9.170;131;Bukovska vas;QLTC8;10.561;98;8.751;70;900;154;149;96;343;426;WIM
G1;4;1445;SL.GRADEC ;0;1.910;;;P;13.000;125;11.055;75;1.000;180;140;95;330;451;PLDP
G1;4;1259;SL.GRADEC - LUZNIK;0;6.600;329;Smartno SG;QLTC10;12.736;115;10.777;74;1.051;173;129;94;323;410;DIST
G1;4;1259;LUZNIK - GORNJI DOLIC;6.600;12.897;621;Mislinja;QLTC10;9.772;91;8.260;54;788;122;114;76;267;332;DIST
G1;4;1260;GORNJI DOLIC - VELENJE;0;11.476;315;Paka pri Velenju;QLTC8;9.565;97;8.013;61;769;127;111;83;304;387;WIM
G1;4;1261;VELENJE - CRNOVA;0;7.427;132;Crnova;QLTC10;18.042;132;15.657;81;1.353;201;108;137;373;556;WIM
G1;4;1262;CRNOVA - ARJA VAS;0;7.014;133;Velika Piresica;QLTC8;14.714;96;12.364;68;1.196;206;198;140;446;778;WIM
G1;5;1401;PRIKLJ. CELJE Z - MEDLOG;0;3.613;689;Medlog;QLTC10;6.975;17;6.093;17;553;71;51;38;135;169;DIST
G1;5;0370;MEDLOG - CELJE;0;3.242;417;Celje Lava;QLTC10;13.360;108;11.805;27;842;185;150;68;175;295;DIST
G1;5;0328;CELJE - CE(POLULE);0;2.000;;;P;19.450;110;17.490;80;1.000;190;150;100;330;465;PLDP
G1;5;0328;CE (POLULE) - LASKO;2.000;11.000;90;Kosnica;QLTC8;14.569;113;12.555;79;1.054;202;156;92;318;445;WIM
G1;5;0328;LASKO - SMARJETA;11.000;17.325;580;Strmca;QLTC10;9.563;99;8.018;77;765;149;120;70;265;363;DIST
G1;5;0329;SMARJETA - RIMSKE TOPLICE;0;1.050;91;Rimske Toplice;QLTC10;7.048;72;5.714;72;634;147;90;70;249;259;WIM
G1;5;0330;RIM.TOPLICE - ZIDANI MOST;0;6.750;739;Zidani Most;QLTC10;5.388;67;4.245;54;511;114;93;59;245;238;DIST
G1;5;0331;ZIDANI MOST - RADECE;0;2.997;92;Radece;QLTC10;6.739;84;5.590;22;582;129;56;63;213;419;DIST
G1;5;0360;RADECE ;0;520;;;P;7.550;75;6.350;40;620;110;70;65;220;283;PLDP
G1;5;0332;RADECE - BOSTANJ;0;11.249;101;Vrhovo;QLTC10;5.407;72;4.422;28;452;106;62;58;207;407;DIST
G1;5;0333;BOSTANJ;0;790;581;Bostanj;QLTC8;10.614;111;9.002;52;841;158;121;94;235;563;DIST
G1;5;0334;BOSTANJ - IMPOLJCA;0;4.490;932;Log pri Sevnici;QLTC10;6.250;66;5.122;35;567;112;82;78;188;431;DIST
G1;5;0335;IMPOLJCA - BRESTANICA;0;9.790;630;Impoljca;QLTC10;4.986;58;4.064;20;442;88;65;67;182;377;WIM
G1;5;0361;BRESTANICA - KRSKO;0;3.900;103;Krsko;QLTC10;7.678;63;6.677;40;594;79;69;41;115;292;DIST
G1;5;0336;KRSKO - LESKOVEC;0;2.620;95;Zadovinek;QLTC10;12.460;70;10.813;40;877;133;146;97;284;618;DIST
G1;5;0336;LESKOVEC - DRNOVO;2.620;4.925;931;Leskovec pri Krskem;QLTC10;10.834;57;9.210;37;878;134;139;90;289;385;PLDP
G1;6;0338;POSTOJNA - PIVKA;0;10.260;82;Prestranek;QLTC8;13.050;96;11.506;51;771;115;123;58;330;497;WIM
G1;6;0339;PIVKA - RIBNICA;0;9.945;615;Mala Pristava;QLTC10;3.722;63;2.916;84;351;55;30;44;179;299;DIST
G1;6;0340;RIBNICA - PREM;0;4.215;474;Dolnja Bitnja;QLTC10;4.351;71;3.442;47;426;56;30;44;235;251;PLDP
G1;6;0341;PREM - IL.BISTRICA;0;6.227;516;Topolc;MWTC1;5.023;82;3.830;87;445;50;122;32;375;403;PLDP
G1;6;1377;ILIRSKA BISTRICA (NIKOLA TESLA);0;2.495;926;Obvoznica Ilirska Bistrica;QLTC10;5.040;68;4.070;45;461;58;57;51;230;264;PLDP
G1;6;0343;IL.BISTRICA - DOLNJI ZEMON;0;2.800;83;Koseze;QLTC10;8.303;124;7.158;54;673;54;31;31;178;207;PLDP
G1;6;0343;DOLNJI ZEMON  -  MP JELSANE;2.800;9.961;504;MP Jelsane;QLTC8;6.100;117;5.135;66;547;39;18;33;145;182;PLDP
G1;7;0356;MP STAROD - PODGRAD;0;6.561;503;MP Starod;QLTC8;4.687;96;3.415;76;425;44;16;59;556;494;PLDP
G1;7;0355;PODGRAD - OBROV;0;5.900;526;Male Loce;QLTC10;6.864;119;5.303;82;582;64;29;69;616;557;PLDP
G1;7;0354;OBROV - KOZINA;0;14.500;604;Gradisce;QLTC10;7.138;90;5.497;47;638;68;70;81;647;587;PLDP
G1;7;0353;KOZINA - MP KOZINA;0;3.340;652;MT Kozina;QLTC8;6.033;161;5.270;66;472;28;7;5;24;70;PLDP
G1;8;0213;LJ(SENTVID  -  OBVOZNICA);0;2.900;725;LJ Celovska Dravlje;QLTC8;39.968;193;35.758;582;2.670;242;160;94;269;728;PLDP
G1;9;0351;PODLEHNIK-GRUSKOVJE;0;5.704;;;P;10.454;35;7.972;155;986;56;70;112;1.068;963;PLDP
G1;11;1062;KOPER - SMARJE;0;6.000;149;Koper;QLTC8;16.857;259;14.704;63;1.396;99;70;30;236;446;WIM
G1;11;1062;SMARJE - DRAGONJA;6.000;13.650;150;Pesjanci;QLTC10;11.375;198;9.694;68;1.049;73;40;29;224;403;DIST
G1;11;1062;DRAGONJA - MP DRAGONJA;13.650;14.724;14;MP Dragonja;QLTC44;9.379;160;8.314;50;616;56;25;25;133;263;DIST
G1;11;1475;SLAVCEK -  KOPER;0;700;;;P;35.300;220;32.750;190;1.700;130;90;60;160;341;PLDP
G1;11;1475;KOPER - SKOCJANSKI ZATOK;700;1.770;;;P;15.700;80;13.535;200;1.500;85;80;60;160;330;PLDP
G1;11;1475;SKOCJANSKI ZATOK - LUKA KOPER;1.770;2.424;;;P;5.500;30;3.290;0;150;20;20;340;1.650;1.407;PLDP
G2;101;0232;MP LJUBELJ - BISTRICA(TRZIC);0;12.500;660;MT Ljubelj;QLD5;2.598;97;2.279;15;167;23;15;1;1;23;DIST
G2;101;0231;BISTRICA(TRZIC) - ZVIRCE;0;3.280;3;Kovor;QLTC8;10.298;90;9.137;18;851;70;66;17;49;107;DIST
G2;101;0230;ZVIRCE - PODTABOR;0;1.228;554;Zvirce;MWTC1;10.456;21;8.992;39;1.072;105;170;9;48;105;WIM
G2;102;1031;MP ROBIC - ROBIC;0;4.800;655;MT Robic;QLD5;1.071;63;895;4;56;14;17;13;9;29;PLDP
G2;102;1031;ROBIC - STARO SELO;4.800;5.602;914;Staro selo;QLTC10;2.052;71;1.777;3;145;13;18;12;13;31;PLDP
G2;102;1030;STARO SELO - KOBARID;0;3.320;212;Kobarid;MWTC1;1.917;59;1.679;14;127;12;8;8;10;28;PLDP
G2;102;1005;KOBARID - IDRSKO;0;2.200;679;Idrsko;QLTC10;4.542;205;3.784;18;390;54;47;18;26;77;PLDP
G2;102;1006;IDRSKO - PERSETI;0;11.715;97;Perseti;QLTC8;4.870;194;4.059;18;414;58;68;20;39;98;PLDP
G2;102;1040;PERSETI - MOST NA SOCI;0;7.334;405;Prapetno;QLTC10;4.355;112;3.728;25;336;57;59;17;21;83;PLDP
G2;102;1039;MOST NA SOCI - BACA;0;2.205;533;Most na Soci;MWTC1;4.700;119;4.087;46;331;44;49;5;19;77;PLDP
G2;102;1038;BACA - DOL. TREBUSA;0;8.550;104;Slap ob Idrijci;QLTC10;2.397;86;1.970;19;199;29;53;14;27;71;PLDP
G2;102;1037;DOL TREBUSA - ZELIN;0;13.118;406;Stopnik;QLTC10;1.736;80;1.343;20;186;33;38;14;22;63;PLDP
G2;102;1036;ZELIN - SP. IDRIJA(MAROF);0;11.300;447;Otalez;QLTC10;2.533;73;2.140;31;186;45;26;11;21;64;PLDP
G2;102;1035;SP. IDRIJA;0;1.900;;;P;5.600;70;5.120;55;200;65;30;20;40;104;PLDP
G2;102;1034;SP. IDRIJA - GODOVIC;0;13.277;617;Idrija;QLTC8;4.033;98;3.363;64;343;62;41;20;42;127;WIM
G2;102;1033;GODOVIC - KALCE;0;11.233;100;Hotedrsica;QLTC10;4.058;89;3.330;32;361;69;49;36;92;187;WIM
G2;102;1460;KALCE - LOGATEC;0;3.490;74;Kalce;QLTC10;6.445;256;5.249;64;542;106;72;49;107;260;DIST
G2;102;1461;LOGATEC - PRIKLJ. LOGATEC;0;1.672;395;Logatec 2;QLTC10;10.735;56;9.044;21;1.016;136;105;89;268;346;PLDP
G2;103;1007;PERSETI - USNIK;0;4.015;546;Volce;MWTC1;4.153;167;3.502;33;306;66;45;10;24;80;PLDP
G2;103;1008;USNIK - KANAL;0;12.580;616;Doblar;QLTC10;3.796;139;3.144;22;334;63;32;14;48;87;PLDP
G2;103;1008;KANAL - PLAVE;12.580;20.070;754;Deskle;QLTC10;6.388;148;5.334;23;451;74;42;28;288;273;PLDP
G2;103;1009;PLAVE - SOLKAN;0;10.070;99;Solkan;QLTC10;7.151;154;6.050;29;480;78;44;29;287;278;PLDP
G2;103;1390;SOLKAN-NOVA GORICA (KROMBERK);0;1.972;693;Solkan 3;QLTC8;8.509;161;7.119;24;662;104;115;37;287;677;WIM
G2;103;1486;KROMBERK  -  ROZNA DOLINA;0;2.589;222;Panovec;QLTC8;23.714;211;21.417;135;1.386;138;119;27;281;385;PLDP
G2;103;1447;NG(R. DOLINA)  -  SEMPETER;0;2.315;227;Sempeter RD;QLTC10;11.032;98;9.699;19;729;76;80;30;301;300;PLDP
G2;104;1136;KRANJ - LETALISCE BRNIK;0;6.000;200;KR Primskovo 1;QLTC8;26.101;120;23.147;95;2.017;238;164;77;243;504;DIST
G2;104;1136;LETALISCE BRNIK - SP.BRNIK;6.000;8.453;627;Brnik;QLTC8;10.459;111;8.532;74;1.049;172;159;60;302;499;DIST
G2;104;1137;SP.BRNIK - MOSTE;0;5.953;781;Komenda;QLTC10;9.817;100;7.985;53;962;207;130;68;312;494;WIM
G2;104;1138;MOSTE - MENGES;0;3.900;115;Topole;QLTC10;10.956;71;9.024;54;1.131;170;136;55;315;397;PLDP
G2;104;1388;MENGES (KAMNISKA C. - KOLODVORSKA C.) ;0;802;;;P;9.500;70;8.060;15;800;120;95;50;290;321;PLDP
G2;104;1139;MENGES (KOLODVORSKA C.) - LOKA;0;1.975;918;Menges;QLTC8;11.723;69;10.110;19;926;135;114;50;300;343;PLDP
G2;104;1139;LOKA - TRZIN;1.975;4.530;116;Loka;QLTC8;17.212;107;14.893;64;1.329;196;152;67;404;487;PLDP
G2;104;1496;MENGES (SLOVENSKA C.) ;0;1.548;;;P;9.400;40;8.295;40;700;90;75;40;120;193;PLDP
G2;104;0295;TRZIN - LJ(CRNUCE);0;3.687;73;Trzin;QLTC8;34.520;213;30.299;179;2.637;353;247;103;489;790;WIM
G2;104;0087;LJ (CRNUCE - BRNCICEVA);0;890;172;S Vpadnica;QLTC8;34.132;163;29.922;62;2.786;352;247;94;506;723;DIST
G2;104;0087;LJ (BRNCICEVA - TOMACEVO);890;2.870;;;P;42.500;165;37.750;65;2.800;480;460;130;650;1.053;WIM
G2;105;0254;NOVO MESTO (AC - LOCNA);0;910;;;P;16.000;75;13.265;70;1.400;260;230;230;470;702;PLDP
G2;105;0257;NOVO MESTO (LOCNA - KRKA);0;1.070;193;NM Locna;QLTC10;20.700;72;18.245;69;1.348;179;119;219;449;779;DIST
G2;105;1511;NOVO MESTO (KRKA) ;0;940;118;NM Obvoznica;QLTC8;18.965;64;16.475;80;1.269;217;158;240;462;852;DIST
G2;105;0255;NOVO MESTO (KRKA - REVOZ);0;1.805;177;NM Zabja vas;QLTC8;13.502;71;11.293;101;1.017;205;150;236;429;825;DIST
G2;105;0256;NOVO MESTO (REVOZ) - METLIKA;0;26.301;607;Gorjanci;QLTC10;5.675;53;4.767;58;465;62;50;56;164;290;WIM
G2;105;0258;METLIKA - MP METLIKA;0;1.480;155;MP Metlika;QLTC8;3.304;25;2.818;39;192;25;14;57;134;216;DIST
G2;106;0215;LJ (RUDNIK) - SKOFLJICA;0;4.555;6;Skofljica;QLTC8;17.132;140;14.899;169;1.318;180;175;80;171;494;WIM
G2;106;0260;SKOFLJICA;0;520;;;P;15.200;110;13.495;130;950;150;140;75;150;335;PLDP
G2;106;0261;SKOFLJICA - RASICA;0;16.290;117;Zelimlje;QLTC10;8.798;88;7.488;69;755;98;100;58;142;344;WIM
G2;106;0262;RASICA - ZLEBIC;0;12.425;410;Zlebic;QLTC10;7.218;88;6.112;59;626;89;82;50;112;236;DIST
G2;106;0263;ZLEBIC - BREG;0;2.300;;;P;6.500;90;5.380;60;630;90;80;55;115;214;PLDP
G2;106;0263;BREG - HROVACA;2.300;4.500;;;P;9.900;110;8.695;60;680;100;65;60;130;224;PLDP
G2;106;0263;HROVACA - DOLENJA VAS;4.500;9.490;751;Gorica vas;QLTC10;8.963;116;7.762;57;679;99;57;56;137;250;DIST
G2;106;0263;DOLENJA VAS - KOCEVJE;9.490;18.779;619;Stara Cerkev;QLTC10;6.349;72;5.462;53;467;60;76;45;114;218;WIM
G2;106;0264;KOCEVJE ;0;1.900;;;P;8.000;95;7.160;50;420;55;70;40;110;180;PLDP
G2;106;0264;KOCEVJE - LIVOLD;1.900;6.269;744;Kocevje;QLTC10;5.082;91;4.486;13;316;44;65;24;43;95;PLDP
G2;106;0265;LIVOLD - STALCERJI;0;6.200;119;Stalcerji;QLTC10;2.135;74;1.828;9;141;16;28;15;24;49;PLDP
G2;106;0265;STALCERJI - FARA;6.200;21.580;750;Banja Loka;MWTC1;1.974;146;1.567;9;149;13;38;12;40;62;PLDP
G2;106;0266;FARA - PETRINA;0;2.450;742;Petrina 1;QLTC10;996;71;809;2;77;5;4;5;23;24;PLDP
G2;106;0266;PETRINA - MP PETRINA;2.450;2.560;507;MP Petrina;R 09 QLD3;690;65;590;3;25;5;2;0;0;4;PLDP
G2;106;0216;SKOFLJICA - SMARJE SAP;0;2.461;26;Skofljica 2;QLTC10;5.469;45;4.686;10;527;63;70;23;45;102;PLDP
G2;107;1274;CELJE - STORE;0;4.500;420;Celje Teharje;QLTC8;16.236;92;14.357;75;1.039;176;163;54;280;388;DIST
G2;107;1274;STORE -  SENTJUR;4.500;10.902;134;Sentjur;QLTC10;11.047;77;9.854;64;646;122;88;42;154;240;WIM
G2;107;1275;SENTJUR - SMARJE PRI JELSAH;0;11.300;622;Stopce;QLTC10;9.520;32;8.316;40;648;118;86;62;218;389;WIM
G2;107;1275;SMARJE PRI JELSAH - MESTINJE;11.300;14.255;188;Mestinje;QLTC10;9.008;59;7.767;47;647;137;86;61;204;386;DIST
G2;107;1238;MESTINJE - PODPLAT;0;2.060;756;Podplat 3;QLTC10;9.396;80;7.996;38;704;171;106;77;224;437;DIST
G2;107;1276;PODPLAT - TEKACEVO;0;2.450;136;Podplat 2;QLTC8;9.367;67;8.070;44;693;133;115;50;195;382;DIST
G2;107;1276;TEKACEVO  -  KOTEC;2.450;10.600;687;Cerovec;QLTC10;4.437;39;3.802;8;274;72;54;38;150;251;WIM
G2;107;1276;KOTEC - ROGATEC;10.600;12.530;696;Brezovec;QLTC10;5.910;48;5.212;33;314;57;53;35;158;270;DIST
G2;107;1277;ROGATEC;0;2.000;;;P;3.100;40;2.555;50;190;50;30;35;150;153;WIM
G2;107;1277;ROGATEC - MP DOBOVEC;2.000;7.777;337;MP Dobovec;QLTC8;1.419;10;1.106;11;75;22;17;29;149;202;DIST
G2;108;1180;CRNUCE - SENTJAKOB;0;3.580;120;Sentjakob;QLTC10;9.933;66;8.174;34;1.138;194;118;54;155;442;DIST
G2;108;1181;SENTJAKOB - DOLSKO;0;7.000;114;Dol;QLTC8;13.056;88;11.564;52;975;118;97;40;122;358;DIST
G2;108;1181;DOLSKO - RIBCE;7.000;14.870;121;Senozeti;QLTC10;8.808;73;7.722;26;661;97;78;38;113;297;WIM
