Kat. ceste;Stev. ceste;Stev. odseka;Prometni odsek;Stac. zacetka;Stac. konca;Stevno mesto;Ime stevnega mesta;Tip   stetja;Vsa vozila (PLDP);Motorji;Osebna vozila;Avtobusi;Lah. tov < 3,5t;Sr. tov  3,5-7t;Tez. tov. nad 7t;Tov. s prik.;Vlacilci;Dnevni NOO;Tip
R3;752;1403;LJUBECNA - BUKOVZLAK;0;1.887;694;Ljubecna;QLD*;4.313;21;3.550;9;392;76;114;43;108;170;PLDP
R3;752;7208;BUKOVZLAK - TEHARJE;0;2.101;;;P;2.100;10;2.038;2;20;10;15;5;0;13;PLDP
R3;753;1544;VOLCE - SOLARJI;0;9.103;12;Orehovje;R 11x4;135;4;121;1;6;1;1;1;0;2;PLDP
RT;901;1001;RATECE - PLANICA;0;2.000;779;Planica;R 10x4;800;10;719;7;32;28;3;0;1;11;PLDP
RT;902;1019;STRMEC - MANGART;0;11.710;537;Mangart;R 07x1;50;28;22;0;0;0;0;0;0;0;PLDP
RT;903;1021;IDRSKO - LIVEK;0;6.960;39;Livek;R 11x4;170;8;154;0;6;1;1;0;0;1;PLDP
RT;904;1093;JEZERO - ZLATOROG;0;4.200;240;Bohinjsko jezero;R 08x4;1.500;49;1.300;52;81;10;6;1;1;28;PLDP
RT;904;1093;ZLATOROG - SAVICA;4.200;8.090;;;P;270;3;259;6;1;1;0;0;0;3;PLDP
RT;905;1095;GORJE - KRNICA;0;2.160;;;P;2.050;11;1.926;27;49;29;5;1;2;22;PLDP
RT;905;1096;KRNICA - ZATRNIK;0;4.000;236;Krnica;R 10x4;1.240;18;1.179;3;23;9;4;3;1;8;PLDP
RT;905;1096;ZATRNIK - MRZLI STUDENEC;4.000;9.181;5;Mrzli studenec 1;R 11x4;620;22;540;8;34;6;3;4;3;10;PLDP
RT;905;1097;MRZLI STUDENEC - JEREKA;0;16.392;7;Mrzli studenec 2;R 11x4;140;6;124;0;6;1;1;2;0;2;PLDP
RT;906;1100;MRZLI STUD. - RUDNO POLJE;0;6.100;8;Mrzli studenec 3;R 11x4;590;23;512;9;31;5;2;5;3;11;PLDP
RT;907;1101;KRNICA - ZG.RADOVNA;0;11.756;4;Fuzine;R 07x1;300;5;280;0;7;6;2;0;0;2;PLDP
RT;907;1102;ZG.RADOVNA - DOVJE;0;6.400;774;Mojstrana;R 10x4;400;2;385;0;6;4;2;1;0;2;PLDP
RT;908;1383;KRAJE - MOJSTRANA;0;2.000;;;P;1.100;10;974;40;40;30;6;0;0;26;PLDP
RT;908;1383;MOJSTRANA - VRATA;2.000;11.600;775;Mojstrana - Vrata;R 10x4;210;6;192;0;6;5;1;0;0;2;PLDP
RT;909;1125;BOH.BISTRICA - VRESJE;0;8.260;253;Nemski Rovt;R 08x4;660;30;586;1;29;2;1;4;7;8;PLDP
RT;909;1128;VRESJE - SORICA;0;9.342;;;P;150;2;139;2;5;2;0;0;0;1;PLDP
RT;909;1129;SORICA - PETROVO BRDO;0;4.250;540;Petrovo brdo 3;R 07x1;200;46;141;0;10;0;3;0;0;2;PLDP
RT;910;1130;SORICA - PODROST;0;5.339;541;Spodnja Sorica;R 07x1;430;50;343;13;11;8;0;2;3;10;PLDP
RT;911;1123;RUDNO - ROVTARICA;0;11.510;545;Rudno 3;R 07x1;350;2;314;0;21;3;3;3;4;6;PLDP
RT;911;1124;ROVTARICA - VRESJE;0;7.789;;;P;15;0;13;0;2;0;0;0;0;0;PLDP
RT;912;7302;ZALI LOG - DAVCA;0;7.856;;;P;410;15;384;3;3;3;2;0;0;3;PLDP
RT;912;7350;DAVCA - NOVAKI;0;3.065;;;P;520;10;489;4;10;4;3;0;0;4;PLDP
RT;912;3105;NOVAKI - CERKNO;0;10.153;;;P;720;15;674;6;15;6;4;0;0;6;PLDP
RT;913;6105;POSTOJNA - MOTEL ERAZEM;0;6.130;701;Veliki Otok;QLD6;2.070;22;1.868;16;122;9;11;15;7;28;PLDP
RT;913;6101;ERAZEM - VRHI;0;865;;;P;300;6;276;4;8;2;0;2;2;5;PLDP
RT;913;6110;VRHI - BUKOVJE;0;1.940;;;P;200;4;184;3;5;2;0;1;1;3;PLDP
RT;913;6109;BUKOVJE - PREDJAMA;0;1.397;;;P;150;3;138;3;4;1;0;1;0;2;PLDP
RT;914;1372;POSTOJNA - RAKOV.SKOC.;0;4.081;;;P;1.500;21;1.226;44;119;68;12;4;6;45;PLDP
RT;914;2402;RAKOV SKOCJAN - PODSKRAJNIK;0;7.085;152;Zelse;R 09x4;160;6;138;1;8;5;1;1;0;3;PLDP
RT;915;0363;IL.BISTRICA (DO PODGRAJSKE UL.);0;182;;;P;10.000;110;9.070;75;520;80;35;30;80;134;PLDP
RT;915;1376;IL.BISTRICA - GRDA DRAGA;0;21.260;519;Ilirska Bistrica;R 11x4;700;10;567;1;49;19;44;8;2;32;PLDP
RT;915;2427;GRDA DRAGA -  PUDOB;0;28.100;498;Kozarisce;R 08x1;70;6;59;0;0;0;0;2;3;3;PLDP
RT;916;3653;DRAGARJI - MEDVEDJEK-DRAGA;0;17.209;;;P;30;1;26;1;2;0;0;0;0;0;PLDP
RT;917;3602;KOCEVJE - ZELJNE;0;2.923;;;P;820;2;764;2;30;10;10;1;1;9;PLDP
RT;917;3621;ZELJNE - ROG-BAZA-PODTURN;0;28.884;467;Zeljne;R 09x1;360;3;331;0;18;5;0;3;0;3;PLDP
RT;918;3652;KOT - GRGELJ;0;12.314;588;Dol pri Pregradu;R 08x1;200;10;178;1;11;0;0;0;0;0;PLDP
RT;918;3617;GRGELJ - FARA;0;11.100;749;Fara;R 09x1;80;6;70;0;4;0;0;0;0;0;PLDP
RT;919;1341;PODZEMELJ - DOLENJCI;0;9.450;372;Krasinec;R 09x4;940;5;880;5;31;15;2;1;1;7;PLDP
RT;919;1466;ZUNICI - VINICA;0;10.340;373;Vinica 1;R 09x4;620;10;549;10;27;22;1;0;1;10;PLDP
RT;919;1343;VINICA - STARI TRG;0;20.220;374;Vinica 2;R 05x1;200;5;184;5;6;0;0;0;0;2;PLDP
