Kat. ceste;Štev. ceste;Štev. odseka;Prometni odsek;Stac. začetka;Stac. konca;Števno mesto;Ime števnega mesta;Tip   štetja;Vsa vozila (PLDP);Motorji;Osebna vozila;Avtobusi;Lah. tov.  < 3,5t;Sr. tov.  3,5-7t;Tež. tov. nad 7t;Tov. s prik.;Vlačilci;Dnevni NOO;Tip
R2;433;1287;SENARSKA - LENART;0;4.014;442;Lenart vzhod;QLD5;3.744;43;3.429;27;162;35;32;6;10;44;PLDP
R2;433;1288;LENART - KRIŽ. SV.ANA;0;4.700;339;Žerjavci;QLD5;3.981;29;3.617;25;136;76;67;16;15;79;PLDP
R2;433;1288;KRIŽ. SV.ANA - ZG.ŠČAVNICA;4.700;11.200;28;Zgornja Ščavnica 1;R 11x4;1.550;11;1.455;6;45;10;8;10;5;18;PLDP
R2;433;1288;ZG.ŠČAVNICA - TRATE;11.200;15.950;29;Zgornja Ščavnica 2;R 11x4;1.800;10;1.696;6;55;15;5;8;5;16;PLDP
R2;433;1289;TRATE - MOST ČEZ MURO;0;2.040;27;Trate;R 11x4;2.000;14;1.876;17;65;12;3;6;7;19;PLDP
R2;433;1289;MOST ČEZ MURO - MP TRATE;2.040;2.120;144;MT Trate;QLTC10;3.220;15;3.131;0;74;0;0;0;0;0;PLDP
R2;434;1352;RADLJE - RADELJSKI PRELAZ;0;6.160;668;MT Radelj;QLD5;1.014;42;793;5;64;21;33;21;35;58;PLDP
R2;435;1431;MARIBOR - RUŠE;0;9.119;706;Laznica;QLTC8;9.499;73;8.622;44;544;72;68;20;56;181;WIM
R2;435;1439;RUŠE - SELNICA;0;3.198;710;Selnica;QLD;3.856;39;3.347;24;246;55;100;8;37;157;DIST
R2;436;0440;DOLJNA POČEHOVA ;0;931;;;P;6.150;75;5.535;30;360;50;50;20;30;79;PLDP
R2;436;1328;POČEHOVA - ZG.KUNGOTA;0;6.870;429;Zgornja Kungota;QLTC10;4.305;57;3.909;30;249;23;26;5;6;37;PLDP
R2;436;1329;ZG.KUNGOTA - JURIJ;0;5.565;553;MT Jurij;QLTC10;613;24;548;1;30;3;3;1;3;5;PLDP
R2;437;0267;ŠENTILJ;0;1.620;664;MT Šentilj SC;QLTC8;4.850;51;4.380;7;287;20;7;13;85;72;PLDP
R2;437;0268;ŠENTILJ - PESNICA;0;7.730;628;Ranca;QLD*;3.766;54;3.347;26;237;33;30;8;31;127;WIM
R2;437;0268;PESNICA - RONDO POČEHOVA;7.730;10.432;;;P;7.150;55;6.270;70;450;135;75;35;60;154;PLDP
R2;438;1306;ŠENTILJ - TRATE;0;13.409;350;Selnica ob Muri;QLD6;2.106;26;1.820;23;117;11;15;24;70;78;PLDP
R2;438;1307;TRATE - GORNJA RADGONA;0;15.579;361;Apače;QLD*;2.762;25;2.506;15;150;17;23;10;16;38;PLDP
R2;439;1299;KOBILJE - DOBROVNIK;0;7.730;493;Kobilje;R 07x1;820;5;728;10;55;15;5;1;1;11;PLDP
R2;439;1300;DOBROVNIK - RENKOVCI;0;4.230;45;Dobrovnik;R 11x4;1.190;10;1.017;13;80;25;35;5;5;34;PLDP
R2;439;1301;RENKOVCI - BELTINCI;0;6.502;346;Renkovci;QLD5;1.792;20;1.602;11;85;27;33;5;9;35;PLDP
R2;439;1302;BRATONCI - DOKLEŽOVJE;0;3.800;53;Bratonci;R 07x4;2.450;35;2.115;15;140;70;35;15;25;63;PLDP
R2;439;1302;DOKLEŽOVJE - KRIŽEVCI;3.800;9.490;347;Dokležovje;QLD*;4.484;44;4.007;25;270;46;50;14;28;71;WIM
R2;439;1303;KRIŽEVCI - ŽIHLAVA;0;11.630;357;Berkovci;R 09x4;1.050;25;860;5;80;10;45;10;15;42;PLDP
R2;439;1304;ŽIHLAVA - VIDEM;0;2.950;587;Jamna;QLD*;2.329;25;2.019;14;168;24;39;18;22;55;DIST
R2;439;1305;SV. JURIJ OB ŠČAVNICI - CERKVENJAK;0;6.986;349;Kraljevci;QLD5;652;11;560;15;35;13;13;3;2;19;PLDP
R2;439;1525;CERKVENJAK - PRIKLJ.CERKVENJAK;0;1.880;;;P;1.520;10;1.367;15;80;20;25;2;1;25;PLDP
R2;439;1525;PRIKLJ. CERKVENJAK - SENARSKA;1.880;6.735;;;P;920;7;811;5;60;15;20;1;1;16;PLDP
R2;440;1294;PETANJCI - GEDEROVCI;0;3.301;443;Sodišinci;QLTC10;1.460;18;1.248;7;100;22;20;11;34;46;PLDP
R2;440;1295;GEDEROVCI - SKAKOVCI;0;3.370;444;Krajna;R 10x4;2.800;20;2.480;20;150;55;30;15;30;63;PLDP
R2;440;1295;SKAKOVCI - CANKOVA;3.370;6.080;;;P;2.650;25;2.335;20;145;50;20;20;35;63;PLDP
R2;440;1296;CANKOVA - VEČESLAVCI;0;8.500;344;Cankova;QLD5;3.759;31;3.364;25;144;49;67;29;50;103;PLDP
R2;440;1296;VEČESLAVCI - SOTINA;8.500;15.200;681;Sveti Jurij;QLD*;2.600;23;2.287;18;140;14;38;25;55;79;PLDP
R2;440;1296;SOTINA - MP KUZMA;15.200;16.025;666;MT Kuzma;QLD5;1.100;12;958;7;49;9;15;19;31;44;PLDP
R2;441;1298;MURSKA SOBOTA ;0;1.000;;;P;11.400;60;10.895;55;280;45;30;15;20;69;PLDP
R2;441;1298;MURSKA SOBOTA - VEŠČICA;1.000;4.000;345;Černelavci;QLD*;8.937;51;8.440;34;344;27;18;8;15;43;PLDP
R2;441;1298;VEŠČICA - GEDEROVCI;4.000;10.200;334;Gederovci;QLD*;5.314;38;4.853;21;251;24;29;18;80;89;DIST
R2;441;1298;GEDEROVCI - MP GEDEROVCI;10.200;10.931;142;MT Gederovci;QLD*;3.765;32;3.446;5;182;12;12;13;63;58;WIM
R2;442;1318;MARTJANCI - MORAVSKE TOPLICE;0;3.970;44;Martjanci;QLTC10;5.520;49;5.054;27;289;36;44;6;15;54;PLDP
R2;442;1318;MORAVSKE TOPLICE - DOBROVNIK;3.970;13.712;494;Filovci;QLD6;1.693;28;1.505;18;85;17;24;7;9;33;PLDP
R2;442;1319;DOBROVNIK - RONDO DOLGA VAS;0;10.402;358;Mostje;QLTC10;2.113;26;1.924;14;100;10;21;4;14;30;PLDP
R2;443;1397;LIPOVCI - BRATONCI;0;1.348;146;Lipovci;QLTC10;11.795;63;10.567;74;643;108;99;62;179;253;PLDP
R2;443;0320;BRATONCI - BELTINCI;0;2.261;;;P;7.350;35;6.300;50;430;380;80;30;45;184;PLDP
R2;443;0321;BELTINCI - ČRENŠOVCI;0;5.820;87;Odranci;QLD*;4.009;32;3.623;33;210;26;38;16;31;68;PLDP
R2;443;0369;ČRENŠOVCI ;0;409;;;P;3.800;30;3.405;35;190;45;50;15;30;77;PLDP
R2;443;0322;ČRENŠOVCI - DOL.LAKOŠ;0;14.052;88;Hotiza;QLD*;2.957;26;2.665;34;153;20;27;6;26;52;PLDP
R2;443;1488;DOL. LAKOŠ - LENDAVA;0;1.365;907;Lendava;QLD*;3.110;16;2.851;22;168;19;20;4;10;32;PLDP
R2;443;1320;LENDAVA - DOLINA;0;6.240;;;P;2.250;15;2.078;5;110;20;15;2;5;18;PLDP
R2;443;1320;DOLINA - MP PINCE;6.240;6.495;675;MT Pince;QLD5;479;12;427;4;21;5;7;0;3;8;PLDP
R2;444;0344;RAZDRTO - MANČE;0;13.470;644;Podgrič;QLD6;748;41;462;19;49;26;69;28;54;99;PLDP
R2;444;0345;MANČE - VIPAVA;0;1.429;735;Gradišče pri Vipavi;QLD*;3.783;76;3.181;32;257;57;83;33;64;127;PLDP
R2;444;1473;VIPAVA ;0;1.400;;;P;5.300;80;4.715;35;280;60;80;15;35;98;PLDP
R2;444;1473;VIPAVA - AJDOVŠČINA;1.400;7.040;624;Log pri Vipavi;QLD;5.766;79;5.171;38;317;57;85;5;14;76;WIM
R2;444;0387;AJDOVŠČINA  (OBVOZNICA) ;0;1.960;917;Ajdovščina;QLTC10;4.800;37;3.916;9;388;68;64;57;261;248;PLDP
R2;444;0346;AJDOVŠČINA - SELO;0;8.550;688;Ajdovščina 2;QLD*;7.518;109;6.805;48;431;41;46;11;27;75;PLDP
R2;444;0347;SELO - TRI HIŠE;0;8.600;81;Ozeljan;QLD*;5.362;73;4.867;35;298;36;30;8;15;51;PLDP
R2;444;0347;TRI HIŠE - AJŠEVICA;8.600;10.600;699;Tri hiše;QLTC10;10.270;114;8.914;52;785;146;71;45;143;204;PLDP
R2;444;0347;AJŠEVICA  -  NOVA GORICA;10.600;15.350;558;Rožna dolina;QLD*;3.350;43;2.933;25;215;38;30;20;46;74;PLDP
R2;444;0365;NOVA GORICA;0;690;;;P;10.000;180;9.310;70;300;45;20;25;50;96;PLDP
R2;444;0348;N.GORICA - ROŽNA DOLINA;0;130;654;MT Rožna Dolina;QLD;9.914;187;9.406;4;295;16;5;0;1;8;PLDP
R2;445;0349;SENOŽEČE - ŠTORJE;0;8.700;25;Senadolice;QLD6;1.716;31;1.473;11;123;24;29;8;17;40;PLDP
R2;445;0349;ŠTORJE - SEŽANA;8.700;14.185;613;Štorje;QLD*;2.593;29;2.307;17;166;25;28;6;15;39;PLDP
R2;445;0350;SEŽANA - FERNETIČI;0;1.800;782;Sežana 3 ;QLTC10;10.730;143;9.836;27;568;68;34;8;46;76;PLDP
R2;445;0350;FERNETIČI - MP FERNETIČI;1.800;2.928;;;P;10.300;145;9.378;27;460;35;30;45;180;174;PLDP
R2;446;1016;SEŽANA - DIVAČA;0;9.645;206;Sežana;QLD*;3.367;73;3.034;10;183;31;21;4;11;30;PLDP
R2;447;0286;MEDLOG - PETROVČE;0;3.306;69;Drešinja vas;QLTC10;14.801;157;13.414;116;814;114;89;31;66;177;PLDP
R2;447;0287;PETROVČE - ŽALEC;0;1.519;;;P;13.800;155;12.430;90;800;170;65;30;60;161;PLDP
R2;447;0367;ŽALEC - VRBENSKO POLJE;0;2.220;904;Žalec TUŠ;QLTC10;12.188;151;11.011;62;721;102;69;24;48;126;PLDP
R2;447;0367;VRBENSKO POLJE - ŠEMPETER;2.220;5.980;609;Šempeter;QLTC10;14.002;166;12.704;95;800;111;61;21;44;134;PLDP
R2;447;0288;ŠEMPETER - LATKOVA VAS;0;591;;;P;8.650;155;7.520;90;610;135;55;25;60;146;PLDP
R2;447;0289;LATKOVA VAS - ŠENTRUPERT;0;1.420;;;P;7.500;150;6.260;80;620;210;55;45;80;182;PLDP
R2;447;0290;ŠENTRUPERT - VRANSKO;0;9.000;64;Tabor;QLTC10;4.801;147;3.863;40;338;208;70;41;94;189;WIM
R2;447;0290;VRANSKO - LOČICA;9.000;11.905;915;Vransko;QLTC8;4.139;148;3.331;34;369;115;47;21;74;128;DIST
R2;447;0291;LOČICA - TROJANE;0;6.066;71;Trojane 2;QLTC10;2.519;116;1.959;23;222;89;32;18;60;106;DIST
R2;447;0292;TROJANE - LUKOVICA;0;15.000;72;Trojane;QLTC10;2.541;110;1.902;47;211;131;36;23;81;149;DIST
R2;447;0292;LUKOVICA  -  ŽELODNIK;15.000;21.857;332;Šentvid;QLTC10;5.729;110;4.748;53;427;174;96;36;85;148;WIM
R2;447;0293;ŽELODNIK - DOMŽALE;0;4.285;610;Želodnik;QLTC10;9.721;133;8.123;90;770;252;141;60;152;238;DIST
R2;447;0294;DOMŽALE - STOB;0;1.560;916;Domžale;QLTC10;11.425;99;10.087;27;876;137;73;35;91;154;PLDP
R2;447;0294;STOB - TRZIN;1.560;2.603;54;Depala vas;QLTC10;16.794;130;14.900;118;1.272;162;80;37;95;205;PLDP
R2;448;1196;IVANČNA GORICA - GRM;0;5.789;289;Ivančna Gorica;QLTC10;6.950;56;5.950;26;446;143;106;66;157;247;WIM
R2;448;1197;GRM - PLUSKA;0;8.298;564;Medvedjek;R 11x4;1.500;30;1.255;5;100;50;15;10;35;48;PLDP
R2;448;1160;PLUSKA - PRIKLJ. TREBNJE Z;0;1.126;;;P;1.200;30;945;10;100;50;10;10;45;54;PLDP
R2;448;0220;PRIKLJ. TREBNJE Z - TREBNJE;0;4.005;55;Trebnje 2;QLTC8;5.998;44;5.085;28;520;85;57;49;130;169;PLDP
R2;448;0221;GRM - ŠENTJURIJ;0;5.318;634;Trebnje;QLD5;1.879;28;1.616;11;138;40;31;6;9;38;PLDP
R2;448;1510;ŠENTJURIJ - PRIKLJ. NM ZAHOD;0;5.756;147;Karteljevo;R 11x4;1.600;25;1.460;5;30;30;30;10;10;36;PLDP
R2;448;0222;PRIKLJ. NM ZAHOD - LOČNA;0;2.325;;;P;1.000;10;964;2;8;5;5;2;4;8;PLDP
R2;448;1512;NOVO MESTO (LOČNA - MAČKOVEC);0;935;566;Mačkovec 2;QLTC10;7.601;45;6.947;35;419;63;34;26;32;81;PLDP
R2;448;0223;MAČKOVEC - LEŠNICA;0;880;922;Mačkovec;QLTC10;9.868;68;9.171;52;472;40;36;14;15;66;PLDP
R2;448;0223;LEŠNICA - OTOČEC;880;3.878;400;Otočec;QLTC10;9.013;63;8.380;33;435;46;27;14;15;55;PLDP
R2;448;0224;OTOČEC - KRONOVO;0;2.115;919;Gorenje Kronovo;QLD*;6.347;52;5.827;29;346;31;31;12;19;53;PLDP
R2;448;1513;KRONOVO - DOLENJE KRONOVO;0;715;;;P;7.200;55;6.675;30;330;40;35;15;20;60;PLDP
R2;448;1514;DOLENJE KRONOVO - GOR. GOMILA;0;2.750;799;Draga;QLD6;3.041;34;2.780;14;157;16;23;9;8;31;PLDP
R2;448;1514;GOR.GOMILA - DOBRAVA;2.750;5.374;;;P;950;20;822;10;60;15;10;8;5;20;PLDP
R2;449;0314;PESNICA - LENART;0;12.900;84;Močna;QLD5;3.923;64;3.531;30;161;69;53;8;7;62;WIM
R2;449;1543;PRIKLJ. LENART - LENART;0;1.442;793;Lenart;QLTC10;11.747;84;10.415;84;755;150;70;56;133;219;PLDP
R2;449;0315;LENART - GORNJA RADGONA;0;17.556;85;Ihova;QLTC10;3.900;48;3.160;54;289;102;51;48;148;298;WIM
R2;449;0316;GORNJA RADGONA;0;1.941;794;Podgrad pri Gornji Radgoni;QLTC8;7.322;79;6.324;71;447;117;75;52;157;222;PLDP
R2;450;1404;HOČE - PRIKLJ.  ROGOZA;0;1.570;905;Rogoza;QLTC10;8.062;55;6.782;36;650;125;88;61;265;288;PLDP
R2;450;1404;PRIKLJ.  ROGOZA - LETALIŠČE MARIBOR;1.570;4.460;;;P;1.150;25;916;25;150;30;2;1;1;19;PLDP
R2;451;1448;ARJA VAS - ŽALEC;0;2.090;70;Žalec;QLD;7.786;59;6.707;35;605;127;93;48;112;166;WIM
R2;452;0368;HRUŠICA - PLAVŽ;0;2.450;530;Jesenice zahod;QLD;7.364;131;6.386;194;414;61;59;24;95;260;DIST
R2;452;0368;PLAVŽ - JESENICE;2.450;4.250;;;P;12.200;150;11.015;190;550;100;65;30;100;215;PLDP
R2;452;0368;JESENICE - JAVORNIK;4.250;6.400;531;SL Javornik;QLTC10;15.460;153;13.935;184;800;138;70;38;142;128;WIM
R2;452;0206;JAVORNIK - ŽIROVNICA;0;5.013;603;Moste pri Žirovnici;QLD;6.580;120;5.863;84;346;42;38;7;80;59;DIST
R2;452;0207;ŽIROVNICA - LESCE;0;4.957;557;Vrba ;QLD;7.383;114;6.647;66;381;44;39;7;85;58;DIST
R2;452;0208;LESCE - RADOVLJICA;0;2.820;632;Radovljica;QLTC10;7.732;136;6.881;18;550;69;44;9;25;135;WIM
R2;452;0208;RADOVLJICA - PODVIN;2.820;5.400;697;Radovljica 2;QLD5;3.373;96;2.947;97;183;25;20;2;3;124;DIST
R2;452;0208;PODVIN - ČRNIVEC;5.400;7.423;773;Podvin;R 10x4;3.650;90;3.290;85;130;30;15;5;5;56;PLDP
R2;454;1400;MB AC - MIKLAVŽ;0;3.000;20;Miklavž sever;QLTC8;12.650;95;11.534;94;738;93;50;13;33;112;PLDP
R2;454;1400;MIKLAVŽ - HAJDINA;3.000;17.670;606;Starše;QLD*;4.975;47;4.514;63;241;47;34;9;20;71;PLDP
R2;454;1519;ZLATOLIČJE – PRIKLJ. ZLATOLIČJE ;0;1.560;;;P;1.000;2;889;4;35;25;30;5;10;31;PLDP
R2;454;1495;HAJDINA  (Mariborska c.- Gomile) ;0;2.060;639;Zgornja Hajdina;QLTC10;8.962;69;7.950;39;592;96;53;36;127;164;PLDP
R3;601;7507;BORJANA - PODBELA;0;2.800;;;P;180;4;167;2;5;1;1;0;0;2;PLDP
R3;601;7507;PODBELA - ROBIDIŠČE;2.800;9.735;;;P;60;2;55;0;3;0;0;0;0;0;PLDP
R3;602;1032;STARO SELO - BREGINJ-MOST;0;15.901;93;Staro selo - Breginj;R 08x1;955;5;860;8;45;20;15;1;1;16;PLDP
R3;603;1041;MOST NA SOČI - UŠNIK;0;4.271;532;Kozaršče;QLD5;1.052;37;896;4;49;27;26;4;9;28;PLDP
R3;604;5701;ROČINJ - LIG;0;9.995;528;Ročinj;R 11x4;230;5;198;0;20;5;1;1;0;2;PLDP
R3;605;5702;KAMBREŠKO - SOLARJI;0;10.770;529;Kambreško;R 11x4;110;3;96;0;10;1;0;0;0;0;PLDP
R3;605;5702;SOLARJI - LIVEK;10.770;19.538;;;P;60;5;52;0;3;0;0;0;0;0;PLDP
R3;605;1545;SOLARJI-MEJA ITALIJA;0;324;;;P;40;2;36;0;2;0;0;0;0;0;PLDP
R3;606;5703;KANAL-LIG-MIŠČEK-NEBLO;0;35.376;455;Kanal;R 11x4;330;7;301;2;16;3;1;0;0;2;PLDP
R3;607;5723;PREVAL - GRGAR-ČEPOVAN;0;14.133;98;Grgar;R 08x1;780;10;703;4;45;16;2;0;0;6;PLDP
R3;608;1067;SOLKAN - GRGAR;0;3.000;599;Solkan 2;QLD5;3.744;46;3.384;11;190;53;49;4;7;47;PLDP
R3;608;1067;GRGAR - LOKVE;3.000;19.400;225;Solkan - Lokve;R 11x4;1.350;45;1.162;8;85;30;15;5;0;20;PLDP
R3;608;1065;LOKVE - ČEPOVAN;0;5.440;224;Lokve;R 08x4;190;15;155;0;13;3;1;1;2;3;PLDP
R3;608;1068;ČEPOVAN - DOL.TREBUŠA;0;10.870;449;Dolenja Trebuša 2;R 08x4;310;20;261;0;22;5;1;1;0;2;PLDP
R3;609;2117;AJDOVŠČINA - PREDMEJA;0;12.996;456;Lokavec;R 06x1;660;20;594;2;30;10;4;0;0;5;PLDP
R3;609;1064;PREDMEJA - LOKVE;0;11.575;;;P;120;15;91;1;4;9;0;0;0;2;PLDP
R3;609;1066;ČEPOVAN - MOST NA SOČI;0;13.220;534;Lazi;R 11x4;190;7;171;0;7;2;3;0;0;2;PLDP
R3;610;1370;D.TREBUŠA - SP.IDRIJA;0;21.990;390;Dolenja Trebuša;R 08x4;140;3;126;0;9;1;1;0;0;1;PLDP
R3;610;1371;PEČNIK(MAROF) - ŽIRI;0;10.546;;;P;1.000;8;938;9;24;8;8;3;2;13;PLDP
R3;611;1024;DORNBERK - SELO;0;5.150;208;Batuje;QLD5;1.921;23;1.701;11;114;31;30;4;7;33;PLDP
R3;612;1042;PLAVE - GONJAČE;0;6.190;213;Plave;R 09x1;840;25;687;8;50;10;60;0;0;35;PLDP
R3;613;1437;AJŠEVICA - KROMBERK;0;3.100;209;Kromberk;QLTC10;12.808;104;11.445;37;880;139;72;31;100;161;PLDP
R3;613;1437;KROMBERK - NOVA GORICA;3.100;3.960;;;P;18.100;110;16.195;70;880;455;140;130;120;347;PLDP
R3;614;1046;PRIKLJ. ŠEMPETER - ŠEMPETER (POLJE);0;1.086;;;P;3.500;60;3.050;5;200;30;85;10;60;94;PLDP
R3;614;5733;ŠEMPETER (POLJE) - VRTOJBA;0;860;;;P;4.000;50;3.510;5;250;35;80;15;55;93;PLDP
R3;614;1550;VRTOJBA -  D.VRTOJBA;0;1.300;;;P;7.800;70;6.957;8;550;60;75;15;65;103;PLDP
R3;614;1550;D.VRTOJBA -  GORNJI MIREN;1.300;3.064;908;Vrtojba;QLD*;6.387;64;5.711;8;406;55;70;14;59;95;PLDP
R3;614;1408;GORNJI MIREN - MIREN;0;551;470;Miren;QLD5;6.073;78;5.531;20;268;52;85;17;22;86;PLDP
R3;614;1047;MIREN - OPATJE SELO;0;7.771;559;Miren-3;R 11x4;1.400;45;1.155;18;100;35;40;5;2;39;PLDP
R3;614;1048;OPATJE SELO - KOMEN;0;14.885;215;Kostanjevica;QLD5;465;14;401;3;27;9;7;2;2;9;PLDP
R3;614;1049;KOMEN - KOBJEGLAVA;0;4.540;216;Tomačevica;QLD5;826;23;693;5;55;19;24;2;5;22;PLDP
R3;614;1049;KOBJEGLAVA - ŠTANJEL;4.540;8.700;23;Kobjeglava;R 07x4;1.200;30;1.014;7;70;40;35;2;2;31;PLDP
R3;614;1050;ŠTANJEL - MANČE;0;11.750;217;Manče;QLD5;1.042;26;904;6;44;25;33;2;2;27;PLDP
R3;615;5736;TRI HIŠE - PRIKLJ. VOGRSKO;0;2.850;252;Vogrsko;QLTC10;5.876;41;4.877;18;560;120;84;40;136;274;WIM
R3;615;5736;PRIKLJ.  VOGRSKO - VOLČJA DRAGA;2.850;6.257;473;Vogrsko 2;QLD*;3.053;30;2.608;6;259;38;68;14;30;72;PLDP
R3;615;5740;VOLČJA DRAGA - RENČE;0;3.200;472;Bukovica;QLD5;2.157;33;1.892;10;92;59;39;14;18;56;PLDP
R3;615;5740;RENČE - GORNJI MIREN;3.200;5.754;560;Bilje;R 11x4;3.900;50;3.460;19;195;100;48;15;13;70;PLDP
R3;616;1056;GORJANSKO - KLARIČI;0;10.090;422;Brestovica;R 09x4;260;15;214;0;20;10;1;0;0;3;PLDP
R3;617;1054;KOMEN - GORJANSKO;0;3.163;218;Komen;QLD6;1.808;50;1.643;4;93;7;8;1;2;9;PLDP
R3;617;1055;GORJANSKO - ŽEKENC;0;2.969;783;Gorjansko;R 10x4;1.150;40;1.014;1;70;20;4;1;0;7;PLDP
R3;618;6807;BRANIK - KOMEN;0;7.725;457;Branik 1;R 09x4;820;21;731;2;40;20;4;1;1;8;PLDP
R3;618;6805;KOMEN  - KRAJNA VAS;0;8.130;458;Volčji Grad;R 09x4;850;20;742;1;58;22;5;1;1;9;PLDP
R3;618;6804;KRAJNA VAS - DUTOVLJE;0;2.320;791;Krajna vas;R 10x4;1.450;27;1.250;9;90;53;18;1;2;25;PLDP
R3;619;1025;DUTOVLJE - REPENTABOR;0;5.422;419;Dol pri Vogljah;QLD5;1.773;35;1.604;5;74;30;19;2;4;21;PLDP
R3;620;6831;ŠTORJE - ŠTANJEL;0;11.249;453;Kazlje;QLD5;739;19;621;4;51;22;17;3;2;18;PLDP
R3;621;1412;KALCE - PODKRAJ;0;15.000;497;Hrušica;QLD5;546;23;458;3;27;17;14;3;1;14;PLDP
R3;621;1412;PODKRAJ - COL;15.000;19.927;;;P;750;15;567;5;100;45;10;3;5;21;PLDP
R3;622;6848;GORIČE - KOŠANA;0;9.432;80;Vremski Britof 2;R 11x4;600;9;492;1;45;18;13;3;19;24;PLDP
R3;622;6848;KOŠANA - KAL;9.432;16.252;21;Neverke;R 11x4;1.315;12;1.126;2;94;38;21;6;16;33;PLDP
R3;623;3718;KASTELEC - PODGORJE;0;10.978;505;Podgorje;R 08x1;430;5;398;4;14;5;3;0;1;5;PLDP
R3;624;3721;LOKA - PODPEČ-RAKITOVEC;0;15.513;501;Rakitovec;R 10x4;120;9;94;4;5;8;0;0;0;3;PLDP
R3;625;1061;BERTOKI - SV. ANTON;0;6.900;221;Vrtine;QLTC10;5.591;71;5.198;11;276;17;16;1;1;17;PLDP
R3;625;1061;SV. ANTON - GRAČIŠČE;6.900;14.206;772;Sv. Anton;R 10x4;1.700;50;1.538;6;90;10;5;1;0;8;PLDP
R3;626;3726;GRAČIŠČE - BREZOVICA;0;8.517;732;Brezovica;R 08x1;150;4;143;0;2;1;0;0;0;0;PLDP
R3;627;3716;ČRNI KAL  -  OSP;0;4.220;770;Gabrovica;QLD5;842;25;725;2;39;28;20;2;1;18;PLDP
R3;628;1427;SEČOVLJE - DRAGONJA;0;3.006;702;Dragonja;QLD5;2.292;44;2.018;22;114;57;28;4;5;40;PLDP
R3;629;1381;VALETA;0;793;;;P;11.100;140;10.387;60;390;70;40;3;10;68;PLDP
R3;629;1479;VALETA - BELI KRIŽ-PIRAN;0;1.625;192;Beli križ;QLD;5.662;137;5.043;51;319;67;36;2;7;59;PLDP
R3;630;1069;PREM - ČELJE;0;5.930;226;Prem;R 11x4;270;9;228;1;29;3;0;0;0;1;PLDP
R3;630;1069;ČELJE - PREGARJE;5.930;11.840;592;Pregarje-3;R 11x4;170;2;147;0;21;0;0;0;0;0;PLDP
R3;630;1069;PREGARJE - OBROV;11.840;18.596;590;Pregarje-1;R 11x4;380;13;345;0;19;0;3;0;0;2;PLDP
R3;630;1070;OBROV - GOLAC;0;8.650;527;Golac;R 07x1;170;2;137;1;13;1;6;4;6;10;PLDP
R3;631;3223;STAROD - MEJA RH;0;3.130;790;Starod;R 10x4;25;0;22;0;0;2;1;0;0;1;PLDP
R3;632;1378;IL.BISTRICA - ZABIČE;0;9.570;396;Vrbovo;QLD6;2.101;18;1.927;3;124;10;10;6;3;14;PLDP
R3;632;1378;ZABIČE - NOVOKRAČINE;9.570;17.660;789;Novokračine;R 10x4;280;6;258;3;10;3;0;0;0;2;PLDP
R3;632;3224;JELŠANE - NOVOKRAČINE;0;3.441;523;Novokračine;R 07x1;400;5;368;5;12;9;0;0;1;5;PLDP
R3;633;1099;BITNJE - JEREKA;0;1.934;239;Jereka;R 11x4;1.700;30;1.516;15;82;36;18;3;0;24;PLDP
R3;633;1098;JEREKA - JEZERO;0;6.800;9;Srednja vas v Bohinju;QLD6;1.229;23;1.086;13;80;11;10;3;3;16;PLDP
R3;634;1104;JAVORNIK - GORJE;0;8.264;241;Kočna;QLD5;2.482;54;2.238;16;97;34;27;5;11;37;WIM
R3;634;1094;GORJE - BLED;0;3.430;235;Spodnje Gorje;QLD5;4.560;76;4.088;65;207;62;50;7;5;73;PLDP
R3;635;1121;LESCE - K.GORICA-LIPNICA;0;9.966;250;Kamna Gorica;QLD5;1.991;42;1.769;20;89;37;29;3;2;34;PLDP
R3;635;1122;LIPNICA - KROPA;0;2.000;251;Kamna Gorica 2;R 10x4;1.200;15;1.078;28;50;15;10;2;2;22;PLDP
R3;635;1122;KROPA - RUDNO;2.000;15.217;544;Rudno 2;R 10x4;800;25;706;5;40;5;17;1;1;13;PLDP
R3;635;1127;RUDNO - ČEŠNJICA;0;2.270;543;Rudno 1;R 07x1;1.100;20;985;5;55;8;20;2;5;18;PLDP
R3;636;1126;LIPNICA - OVSIŠE;0;4.500;254;Kamna Gorica 3;R 10x4;1.800;14;1.576;15;67;32;51;21;24;66;PLDP
R3;636;1126;OVSIŠE - GOBOVCE;4.500;5.944;547;Gobovce;R 10x4;2.600;8;2.057;10;190;70;150;60;55;165;PLDP
R3;636;1529;PODTABOR - ZVIRČE;0;2.571;549;Podtabor-2;QLD*;2.111;56;1.601;8;170;51;137;20;68;137;PLDP
R3;638;1131;ŽIROVNICA - BEGUNJE;0;6.290;256;Zabreznica;QLD6;3.039;40;2.810;28;131;11;13;3;3;24;PLDP
R3;638;1132;BEGUNJE - BISTRICA(TRŽIČ);0;10.420;257;Begunje 2;R 10x4;960;25;839;11;60;15;10;0;0;13;PLDP
R3;639;1141;LJ(ŠENTVID - ŠMARTNO);0;3.000;325;LJ Tacen;QLTC10;11.733;127;10.634;135;728;54;28;14;13;99;PLDP
R3;639;1141;LJ(ŠMARTNO) - VODICE;3.000;10.800;260;Povodje;QLTC10;2.945;73;2.627;20;181;11;14;5;14;30;PLDP
R3;639;1142;VODICE ;0;4.000;464;Vodice;QLD*;4.087;40;3.552;29;337;52;41;12;24;66;PLDP
