Kat. ceste;Štev. ceste;Štev. odseka;Prometni odsek;Stac. začetka;Stac. konca;Števno mesto;Ime števnega mesta;Tip štetja;Leto roč.  štetja;Vsa vozila (PLDP);Motorji;Osebna vozila;Avtobusi;Lah. tov. < 3,5t;Sr. tov.  3,5-7t;Tež. tov. nad 7t;Tov. s prik.;Vlačilci
R3;685;7495;TEKAČEVO-ROGAŠKA SLATINA;0;4.114;;;P;;6.200;28;5.703;47;216;100;56;20;30
R3;685;7450;RODNE-MP RAJNKOVEC;0;1.733;517;MP Rajnkovec;ROČNO;05x4;700;6;679;6;8;1;0;0;0
R3;686;1278;TEPANJE-ŽIČE;0;3.750;568;Draža vas;ROČNO;07x1;2.970;4;2.687;24;138;58;29;12;18
R3;686;1279;ŽIČE-KARTUZIJA;0;6.900;;;P;;70;1;63;4;2;0;0;0;0
R3;686;1279;KARTUZIJA-DRAMLJE;6.900;14.224;;;P;;55;1;49;3;2;0;0;0;0
R3;687;7207;DOLE-PONIKVA-LOČE;0;14.140;135;Hotunje;QLD;;1.537;6;1.451;3;20;29;21;3;4
R3;688;1231;SLOV.KONJICE-ŽIČE;0;4.840;567;Slovenske Konjice;ROČNO;07x1;3.800;4;3.574;15;120;63;14;3;7
R3;688;1418;ŽIČE;0;670;;;P;;3.400;5;3.070;15;155;62;62;11;20
R3;688;1232;ŽIČE-MLAČE;0;2.900;317;Žiče;QLD-3;;4.261;27;3.807;20;222;69;73;24;19
R3;688;1232;MLAČE-POLJČANE;2.900;9.184;667;Čadramska vas;QLD-6;;2.982;28;2.658;22;162;44;48;10;10
R3;688;1233;POLJČANE-MAJŠPERK;0;16.270;318;Modraže;QLD;;1.162;23;1.012;10;52;18;33;8;6
R3;689;6252;PODLEHNIK-KOZMINCI;0;3.563;;;P;;500;4;445;7;24;17;1;1;1
R3;689;6260;KOZMINCI-ROGATEC;0;15.471;481;Čermožiše;QLD-5;;495;9;416;7;28;24;4;4;3
R3;690;1234;MAJŠPERK-JUROVCI;0;12.605;145;Stogovci;ROČNO;05x4;550;6;487;9;25;11;11;0;1
R3;690;1235;TRŽEC-VIDEM;0;4.500;;;P;;1.000;9;803;24;150;14;0;0;0
R3;690;1235;VIDEM-ZG. LESKOVEC;4.500;15.965;521;MP Leskovec;ROČNO;04x1;320;2;276;15;25;2;0;0;0
R3;691;6251;ZAVRČ-DRENOVEC;0;7.280;;;P;;100;0;93;2;4;1;0;0;0
R3;692;6223;BORL-MP MEJE;0;7.703;520;MP Meje;ROČNO;04x1;210;0;200;3;6;1;0;0;0
R3;693;2302;NOVA CERKEV-SOCKA-VITANJE;0;10.320;;;P;;1.100;5;1.003;12;48;25;7;0;0
R3;694;1268;VELENJE-POLZELA;0;12.000;326;Založe;ROČNO;08x4;2.835;23;2.527;11;134;63;48;12;17
R3;694;1268;POLZELA-DOBRTEŠA VAS;12.000;15.392;40;Polzela;ROČNO;07x4;5.190;26;4.660;33;277;80;45;30;39
R3;695;8208;POLZELA;0;724;;;P;;2.200;9;1.954;12;91;83;35;7;9
R3;695;7951;POLZELA-REČICA;0;5.410;36;Podvin pri Polzeli;ROČNO;07x4;720;3;610;0;32;19;21;15;20
R3;695;1458;GORENJE-SOTESKA;0;2.710;578;Gorenje;ROČNO;07x1;4.470;10;3.828;15;361;91;50;50;65
R3;696;7912;VELENJE-ŠKALE;0;6.538;31;Škale;ROČNO;07x4;2.850;33;2.589;16;145;41;20;3;3
R3;696;7919;ŠKALE-GRAŠKA  G.-ŠMIKLAVŽ;0;10.710;32;Plešivec;ROČNO;07x4;500;8;458;11;18;1;4;0;0
R3;696;6904;SL.GRADEC-MISL.DOBRAVA;0;10.440;33;Podgorje pri Slov. Gradcu;ROČNO;07x4;1.960;23;1.802;10;87;26;7;2;3
R3;697;5514;NAZARJE-GORNJI GRAD;0;13.979;175;Šmartno ob Dreti;ROČNO;08x4;1.097;15;1.004;19;32;17;4;2;4
R3;698;6505;MEŽICA-REHT;0;2.725;552;MP Mežica;ROČNO;05x1;220;10;207;0;3;0;0;0;0
R3;699;1263;DRAVOGRAD-ČRNEČE;0;2.500;;;P;;420;20;389;2;1;8;0;0;0
R3;699;1263;ČRNEČE-MP LIBELIČE;2.500;8.682;672;MP Libeliče;ROČNO;05x1;60;2;57;0;0;1;0;0;0
R3;700;1272;SL.KONJICE-OPLOTNICA;0;6.548;330;Oplotnica 2;ROČNO;06x1;2.200;15;2.048;30;55;30;15;2;5
R3;700;1273;OPLOTNICA-LOŽNICA;0;9.450;331;Ložnica;QLD-3;;3.868;19;3.527;32;152;52;67;11;8
R3;701;1270;RUTA-LOVRENC;0;13.400;328;Puščava;ROČNO;06x1;2.800;10;2.555;35;95;60;15;12;18
R3;701;1270;LOVRENC-PESEK;13.400;18.472;;;P;;310;0;303;0;4;3;0;0;0
R3;701;1430;PESEK-ROGLA;0;15.000;327;Pesek;ROČNO;06x1;120;1;111;2;4;0;2;0;0
R3;701;1430;ROGLA-ZREČE;15.000;17.700;734;Boharina;QLD-5;;1.173;18;1.052;21;48;18;12;2;2
R3;701;1430;ZREČE-ZEČE;17.700;21.284;711;Zreče;QLD;;8.845;3;8.101;95;472;79;51;10;34
R3;702;2703;DRAVOGRAD-TRBONJE;0;7.150;483;Trbonje 1;ROČNO;05x1;40;0;36;1;3;0;0;0;0
R3;702;2703;TRBONJE-GORTINA;7.150;7.900;485;Trbonje 3;ROČNO;05X1;960;8;881;7;40;15;7;1;1
R3;702;2704;TRBONJE-VUZENICA;0;7.440;484;Trbonje 2;ROČNO;05x1;970;8;895;5;35;15;8;1;3
R3;702;2704;VUZENICA-VUHRED;7.440;13.300;;;P;;1.000;8;921;7;40;15;7;1;1
R3;703;6307;MUTA;0;830;;;P;;2.100;10;1.972;10;65;25;15;1;2
R3;703;6304;MUTA-GORTINA;0;1.610;571;Muta 1;ROČNO;07x1;1.350;3;1.268;15;45;19;0;0;0
R3;703;6303;GORTINA-BISTRIŠKI JAREK;0;6.330;482;Muta;ROČNO;08x4;487;10;440;1;23;6;5;1;1
R3;704;1353;RADLJE-RIBNICA;0;12.300;378;Vuhred;ROČNO;05x1;700;2;652;10;20;10;4;1;1
R3;704;1355;RIBNICA-BREZNO;0;10.245;379;Podvelka;ROČNO;05x1;1.050;3;959;8;50;20;3;3;4
R3;705;1432;RUŠE-PUŠČAVA;0;10.100;705;Fala;ROČNO;08x4;997;9;905;12;44;13;6;3;5
R3;706;6301;OŽBALT-ZG. KAPLA;0;14.230;486;Ožbalt;ROČNO;08x4;444;4;393;4;27;6;7;1;2
R3;706;8802;HAJDIČEV MLIN-GRADIŠČE;0;2.400;;;P;;120;0;112;0;2;6;0;0;0
R3;707;8801;SP.SELNICA-DUH NA OSTREM VRHU;0;13.285;;;P;;120;0;112;0;2;6;0;0;0
R3;708;1330;ZG.KUNGOTA-PLAČ;0;5.480;;;P;;110;0;104;1;3;1;1;0;0
R3;709;8614;MB (MELJSKA CESTA)-MB (MELJSKA CESTA);0;1.020;;;P;;1.000;10;910;20;50;5;5;0;0
R3;709;8615;MB(POBREŽJE)-MALEČNIK;0;750;572;Malečnik;ROČNO;07x1;11.200;14;10.545;43;507;39;42;4;6
R3;709;8615;MALEČNIK-PERNICA;750;6.750;488;Celestrina;QLD-5;;5.241;33;4.877;24;235;33;35;1;3
R3;710;1292;MARIBOR-DVORJANE;0;11.965;342;Dogoše;QLD;;12.880;4;11.999;58;631;71;91;5;21
R3;710;1292;DVORJANE-PTUJ;11.965;24.748;438;Vurberk;QLD-3;;4.027;20;3.769;5;145;57;13;7;11
R3;710;0247;PTUJ-HAJDINA;0;2.719;637;Ptuj Zahod;QLD-6;;18.770;73;16.542;124;1.153;266;332;108;172
R3;711;9006;FRAM-RAČE;0;2.312;421;Rače;ROČNO;07x4;5.850;48;5.226;8;380;94;62;15;17
R3;711;9014;RAČE;0;550;;;P;;1.640;13;1.507;33;49;22;16;0;0
R3;711;9013;RAČE-KUNGOTA-KIDRIČEVO;0;10.888;311;Brunšvik;ROČNO;02x4;2.300;9;2.134;4;120;25;6;0;2
R3;712;1331;ŽIHLAVA-GABERNIK;0;13.000;;;P;;520;3;468;4;23;14;4;2;2
R3;712;1331;GABERNIK-ROGOZNICA(PTUJ);13.000;21.173;363;Pacinje;QLD-5;;3.576;39;3.171;19;149;150;13;14;21
R3;713;4910;LJUTOMER-DORNAVA;0;24.800;733;Savci;ROČNO;05x1;830;5;768;10;35;10;1;1;0
R3;713;4910;DORNAVA-KRIŽ.SPUHLJA;24.800;28.500;433;Dornava;ROČNO;07x4;3.800;40;3.527;15;150;45;15;2;6
R3;713;4910;KRIŽ.SPUHLJA-PTUJ;28.500;31.230;425;Rogoznica;ROČNO;07x4;6.900;43;6.289;32;364;110;60;1;1
R3;714;1293;SV. JURIJ OB ŠČAVNICI-GRABONOŠ;0;2.879;;;P;;1.500;7;1.283;25;50;25;15;30;65
R3;714;2806;GRABONOŠ-SP. IVANJCI;0;2.170;;;P;;1.500;10;1.330;15;120;10;5;4;6
R3;714;2807;SP.IVANJCI-GORNJA RADGONA;0;9.514;;;P;;900;5;807;5;60;8;7;3;5
R3;715;5645;M.SOBOTA-GORICA;0;5.800;42;Puconci;ROČNO;07x4;2.620;17;2.377;16;137;48;14;4;7
R3;715;5645;GORICA-LEMERJE;5.800;8.500;491;Lemerje 2;ROČNO;06x4;2.500;8;2.303;25;110;30;15;4;5
R3;715;5645;LEMERJE-SKAKOVCI;8.500;14.150;490;Lemerje 3;ROČNO;06x4;990;3;901;6;50;15;7;3;5
R3;716;5637;LEMERJE-GRAD;0;11.210;489;Bodonci;QLD-5;;876;11;789;9;37;18;8;2;2
R3;716;5640;GRAD;0;1.450;;;P;;650;4;593;10;20;21;2;0;0
R3;716;5630;GRAD-KUZMA;0;4.695;;;P;;510;3;466;8;15;16;2;0;0
R3;717;1297;CANKOVA;0;822;;;P;;350;4;336;0;10;0;0;0;0
R3;717;5614;CANKOVA-GERLINCI;0;5.200;;;P;;100;1;92;1;2;3;1;0;0
R3;717;5615;KOROVCI;0;420;;;P;;80;0;80;0;0;0;0;0;0
R3;717;5616;GERLINCI;0;355;;;P;;50;0;50;0;0;0;0;0;0
R3;718;5620;PERTOČA-FIKŠINCI;0;4.688;;;P;;50;0;45;1;2;2;0;0;0
R3;718;5619;FIKŠINCI;0;984;;;P;;25;0;23;0;1;1;0;0;0
R3;719;5621;ROGAŠOVCI-KRAMAROVCI;0;2.953;;;P;;50;0;45;1;2;2;0;0;0
R3;719;5622;KRAMAROVCI;0;630;;;P;;50;0;50;0;0;0;0;0;0
R3;720;5624;SOTINA;0;2.266;;;P;;50;0;50;0;0;0;0;0;0
R3;721;1317;PETROVCI-KUZMA;0;16.360;356;Dolič;ROČNO;01x1;900;1;838;15;45;1;0;0;0
R3;721;1317;KUZMA-MP KUZMA;16.360;19.748;;;P;;1.300;6;1.241;2;35;6;3;3;4
R3;722;1446;MP MARTINJE-MARTINJE;0;310;524;MP Martinje;ROČNO;04x1;60;0;58;0;2;0;0;0;0
R3;723;5691;ŠALOVCI-ČEPINCI;0;6.638;;;P;;150;1;140;2;3;2;2;0;0
R3;723;5657;ČEPINCI-MEJA MADŽARSKA;0;2.524;;;P;;100;0;100;0;0;0;0;0;0
R3;724;5693;HODOŠ-DOMANJŠEVCI;0;5.055;;;P;;100;0;95;1;2;1;1;0;0
R3;724;5694;DOMANJŠEVCI;0;1.060;;;P;;100;0;95;1;2;1;1;0;0
R3;724;5661;DOMANJŠEVCI-BERKOVCI;0;3.770;;;P;;100;0;95;1;2;1;1;0;0
R3;724;4210;BERKOVCI-KOBILJE;0;12.943;;;P;;320;1;300;4;6;4;3;1;1
R3;725;5672;MARTJANCI-SEBEBORCI;0;3.167;43;Sebeborci;ROČNO;07x4;2.000;22;1.842;14;75;26;17;2;2
R3;725;5677;SEBEBORCI-TRAKŠAROV BREG;0;3.973;;;P;;1.000;7;927;9;41;15;1;0;0
R3;725;5678;TRAKŠAROV BREG- FOKOVCI;0;440;;;P;;500;3;463;5;21;8;0;0;0
R3;725;5668;FOKOVCI-PROSENJAKOVCI;0;7.693;492;Fokovci;ROČNO;07x1;870;10;802;9;38;8;1;1;1
R3;726;1321;RENKOVCI-ČRENŠOVCI;0;8.219;359;Turnišče;ROČNO;07x1;2.850;17;2.540;31;131;48;28;20;35
R3;726;1322;ČRENŠOVCI-RAZKRIŽJE;0;6.210;360;Sr. Bistrica;QLD-6;;2.307;17;1.985;13;151;44;41;16;40
R3;726;1324;STROČJA VAS-PAVLOVCI;0;13.277;140;Miklavž pri Ormožu;QLD-5;;1.018;20;904;8;49;12;23;1;1
R3;727;1326;RAZKRIŽJE-MEJA RH;0;475;;;P;;450;2;438;0;10;0;0;0;0
R3;728;1148;ŠKOFLJICA-IG;0;5.325;161;Ig;ROČNO;08x4;1.138;8;864;0;124;32;60;20;30
R3;728;4815;IG-IŠKA VAS;0;3.800;158;Rakitna;ROČNO;04x4;1.000;1;929;20;45;5;0;0;0
R3;728;4815;IŠKA VAS-KRIM;3.800;14.000;;;P;;80;1;70;2;5;2;0;0;0
R3;728;4815;KRIM-RAKITNA;14.000;19.440;;;P;;40;1;36;1;1;1;0;0;0
R3;729;4206;HOTIZA-VELIKA POLANA;0;3.317;47;Velika Polana;ROČNO;07x4;880;16;778;10;46;22;5;1;2
R3;729;4207;VELIKA POLANA-LIPA-BELTINCI;0;8.781;46;Lipa;ROČNO;07x4;1.700;8;1.576;14;62;15;14;5;6
R3;730;4104;ŽICE-SV. ANA-ZG. ŠČAVNICA;0;5.835;30;Sveta Ana;ROČNO;07x4;1.210;6;1.131;15;36;11;7;2;2
R3;730;4105;ZG.ŠČAVNICA-DRAŽEN VRH;0;2.235;;;P;;150;0;141;2;3;2;1;1;0
R3;731;8209;POLZELA-PARIŽLJE;0;1.050;;;P;;2.000;20;1.845;5;30;40;25;15;20
R3;731;8209;PARIŽLJE-BRASLOVČE-M.BRASLOVČE;1.050;3.919;;;P;;1.500;15;1.200;5;90;100;50;20;20
R3;732;8215;PONDOR-TABOR;0;2.388;;;P;;500;2;443;3;21;19;8;2;2
R3;732;8259;TABOR-OJSTRIŠKA VAS-KAPLA;0;1.645;;;P;;300;1;267;2;12;11;5;1;1
R3;733;5831;VAVTA VAS-DOL.TOPLICE;0;4.560;298;Dolenjske toplice;QLD-3;;4.019;20;3.626;30;202;76;30;11;24
R3;733;5831;DOL.TOPLICE-PODTURN;4.560;6.290;;;P;;1.890;8;1.785;8;50;15;7;8;9
R3;734;4123;CERKVENJAK-VITOMARCI;0;5.733;;;P;;150;1;131;1;6;4;3;2;2
R3;734;4121;VITOMARCI-GABRNIK;0;6.397;;;P;;150;1;131;1;6;4;3;1;3
R3;735;6314;MUTA-VUZENICA;0;445;;;P;;3.000;4;2.918;3;28;15;20;7;5
R3;737;9017;RAČE-ŠIKOLE;0;5.789;399;Spodnja Gorica;ROČNO;07x4;1.530;10;1.342;0;96;40;14;12;16
R3;738;6727;TRŽIŠČE-HOTEMEŽ;0;14.480;;;P;;620;1;600;1;7;10;1;0;0
R3;739;6219;JANEŽOVSKI VRH-DESTRNIK;0;2.210;;;P;;690;5;616;30;35;1;3;0;0
R3;739;6220;DESTRNIK-GOMILCI;0;1.381;;;P;;250;5;230;4;10;1;0;0;0
R3;740;1398;M.SOBOTA(GAJ)-M.SOBOTA;0;2.772;;;P;;7.300;24;6.596;80;350;100;70;35;45
R3;741;1489;ŠKOFIJE MP;0;478;;;P;;500;6;467;2;17;0;2;2;4
R3;741;0235;MP ŠKOFIJE- ŠKOFIJE;0;1.000;;;P;;3.300;10;3.251;3;30;0;1;2;3
R3;741;0235;ŠKOFIJE-R.ŠKOFIJE;1.000;2.055;686;Spodnje Škofije;QLD;;7.237;94;6.900;24;50;112;50;3;4
R3;741;1487;DEKANI - PRIKLJ. LUKA KOPER;0;1.139;;;P;;900;2;888;0;10;0;0;0;0
R3;742;4806;PODPEČ-VNANJE GORICE;0;4.390;691;Notranje Gorice;QLD-6;;4.526;52;4.005;34;279;70;59;9;18
R3;742;4806;VNANJE GORICE-BREZOVICA;4.390;6.911;562;Vnanje Gorice;ROČNO;07x1;8.100;22;7.397;30;463;105;59;10;14
R3;744;2346;ŠTORE-LAŠKA VAS;0;2.210;;;P;;2.000;20;1.915;10;40;10;5;0;0
R3;744;2346;LAŠKA VAS- SVETINA;2.210;8.400;;;P;;700;5;655;10;15;10;5;0;0
R3;744;2346;SVETINA- BRSTNIK;8.400;13.600;585;Svetina;ROČNO;07x1;280;6;248;4;12;8;1;1;0
R3;744;2346;BRSTNIK- LAŠKO;13.600;16.958;;;P;;2.100;25;1.543;2;260;150;100;10;10
R3;745;4116;JANEŽOVCI-DOLGE NJIVE;0;9.200;;;P;;900;10;880;0;10;0;0;0;0
R3;745;4118;DOLGE NJIVE-SPODNJI DUPLEK;0;7.520;;;P;;900;10;884;0;6;0;0;0;0
R3;746;2407;STARI TRG-LOŠKI POTOK;0;11.920;;;P;;100;5;92;0;3;0;0;0;0
R3;747;4120;LENART-SVETA TROJICA;0;3.285;;;P;;1.800;5;1.748;2;25;10;5;2;3
R3;747;2805;SV. TROJICA-COGETINCI-SP. IVANJCI;0;9.498;;;P;;700;5;605;3;60;15;10;1;1
R3;748;2412;VELIKE LAŠČE-M.SLEVICA;0;3.000;;;P;;100;10;85;0;5;0;0;0;0
R3;748;2412;M.SLEVICAI-NOVA VAS;3.000;18.120;;;P;;1.500;15;1.438;2;45;0;0;0;0
R3;749;8616;VOSEK-JUROVSKI DOL;0;8.610;;;P;;1.200;10;914;20;140;40;16;25;35
R3;749;4109;JUROVSKI DOL-LENART;0;7.166;;;P;;1.500;10;1.244;25;150;10;6;25;30
R3;750;7709;SLOVENSKA VAS-ŠENTRUPERT;0;2.174;;;P;;800;5;741;20;15;10;5;1;3
R3;751;5507;NIZKA-REČICA OB SAVINJI;0;925;;;P;;1.700;10;1.310;50;150;60;50;30;40
R3;752;7206;ARCLIN-LJUBEČNA;0;4.011;;;P;;2.000;15;1.555;25;190;75;55;35;50
R3;752;1403;LJUBEČNA-BUKOVŽLAK;0;1.887;694;Ljubečna;QLD-6;;3.069;13;2.439;3;268;92;143;31;80
R3;752;7208;BUKOVŽLAK-TEHARJE;0;2.101;;;P;;2.000;5;1.878;2;20;5;45;15;30
RT;901;1001;RATEČE-PLANICA;0;2.000;;;P;;150;20;115;5;10;0;0;0;0
RT;902;1019;STRMEC-MANGART;0;11.710;537;Mangart;ROČNO;07x1;40;28;12;0;0;0;0;0;0
RT;903;1021;IDRSKO-LIVEK;0;6.960;39;Livek;ROČNO;05x1;100;2;94;0;4;0;0;0;0
RT;904;1093;JEZERO-ZLATOROG;0;4.200;240;Bohinjsko jezero;ROČNO;08x4;1.495;49;1.295;52;81;10;6;1;1
RT;904;1093;ZLATOROG-SAVICA;4.200;8.200;;;P;;270;3;259;6;1;1;0;0;0
RT;905;1095;GORJE-KRNICA;0;2.160;;;P;;2.050;11;1.926;27;49;29;5;1;2
RT;905;1096;KRNICA-ZATRNIK;0;4.000;236;Krnica;ROČNO;06x4;770;15;694;3;45;8;3;1;1
RT;905;1096;ZATRNIK-MRZLI STUDENEC;4.000;9.181;5;Mrzli studenec 1;ROČNO;07x1;530;25;463;3;7;7;4;10;11
RT;905;1097;MRZLI STUDENEC-JEREKA;0;16.392;7;Mrzli studenec 2;ROČNO;07x1;120;4;94;4;4;4;0;3;7
RT;906;1100;MRZLI STUD.-RUDNO POLJE;0;6.100;8;Mrzli studenec 3;ROČNO;07x1;510;22;458;2;6;1;4;7;10
RT;907;1101;KRNICA-ZG.RADOVNA;0;11.756;4;Fužine;ROČNO;07x1;190;5;170;0;7;6;2;0;0
RT;907;1102;ZG.RADOVNA-DOVJE;0;6.400;;;P;;230;1;213;6;5;3;0;1;1
