Kat. ceste;Štev. ceste;Štev. odseka;Prometni odsek;Stac. začetka;Stac. konca;Števno mesto;Tip pr. odseka;Tip avt. števca;Leto roč. štetja;Ime števnega mesta;Vsa vozila (PLDP);Motorji;Osebna vozila;Avtobusi;Lahka tov. < 3t;Sr. tov.  3-7t;Tež. tov. nad 7t;Tov. s prik.
G2;108;1180;ČRNUČE-ŠENTJAKOB;0;3.580;120;O;QLD6; ;ŠENTJAKOB;8.486;11;7.368;71;566;187;158;125
G2;108;1181;ŠENTJAKOB-DOLSKO;0;7.000;114;O;QLD6; ;DOL;12.427;33;11.299;41;625;167;126;136
G2;108;1181;DOLSKO-RIBČE;7.000;14.870;121;O;;01x1;DOLSKO;11.350;30;10.461;39;456;157;99;108
G2;108;1182;RIBČE-LITIJA;0;13.360;678;O;QLD6; ;ZGORNJI LOG;8.460;36;7.661;34;404;137;92;96
G2;108;1183;LITIJA-ZAGORJE;0;14.981;620;O;QLD6; ;RENKE;5.704;32;5.040;18;312;134;82;86
G2;108;1184;ZAGORJE-TRBOVLJE;0;4.316;122;O;QLD6; ;TRBOVLJE 4;7.710;37;6.915;25;365;156;82;130
G2;108;1185;TRBOVLJE-HRASTNIK;0;5.162;123;O;;99x4;TRBOVLJE 1;5.800;30;5.241;40;239;120;40;90
G2;108;1186;HRASTNIK-ZIDANI MOST;0;8.291;124;O;QLD3; ;SUHADOL;1.574;9;1.447;1;86;30;1;0
G2;109;0357;MP PETIŠOVCI-PETIŠOVCI;0;1.000;143;O;QLD3;03x1;MP PETIŠOVCI;1.994;22;1.832;2;54;30;2;52
G2;109;0357;PETIŠOVCI-LENDAVA;1.000;4.408;89;O;;03x1;LENDAVA 2;2.100;6;1.872;10;67;40;31;74
G2;110;0327;G.RADGONA-MP G.RADGONA;0;970;665;O;QLD3; ;MP GORNJA RADGONA;3.221;3;2.923;10;90;60;35;100
G2;111;0238;KOPER-RUDA(IZOLA);0;5.266;626;O;QLD6;03x1;IZOLA;28.340;170;26.287;200;1.154;264;151;114
G2;111;0373;RUDA(IZOLA)-VALETA;0;8.255;13;O;QLD6;03x1;IZOLSKA OBVOZNICA;16.078;88;14.996;76;650;140;72;56
G2;111;0239;VALETA-SEČOVLJE;0;7.000;12;O;;02x4;SEČOVLJE;6.100;100;5.753;66;115;30;15;21
G2;111;0239; SEČOVLJE-MP SEČOVLJE;7.000;7.280;500;O;QLD3; ;MP SEČOVLJE;5.151;60;4.917;40;100;14;6;14
R1;201;0201;MP KORENSKO SEDLO-PODKOREN;0;3.755;659;O;QLD3; ;MP KORENSKO SEDLO;1.571;40;1.504;5;8;14;0;0
R1;201;0202;PODKOREN-KR.GORA;0;2.550;659;P; ; ; ;4.100;50;4.002;20;22;4;2;0
R1;201;0203;KR.GORA-MOJSTRANA-DOVJE;0;12.100;631;O;QLD6; ;GOZD MARTULJEK;5.900;40;5.400;67;238;84;55;16
R1;201;0204;DOVJE-MOJSTRANA-KRAJE;0;2.420;631;P; ; ; ;6.100;39;5.606;60;230;105;45;15
R1;201;0205;KRAJE-HRUŠICA;0;4.030;631;P; ; ; ;6.200;39;5.702;60;232;106;45;16
R1;202;0234;MP RATEČE-RATEČE;0;1.380;658;O;QLD3; ;MP RATEČE;1.841;20;1.789;12;20;0;0;0
R1;202;0233;RATEČE-PODKOREN;0;2.926;658;P; ; ; ;2.100;20;2.046;12;20;1;0;1
R1;203;1002;MP PREDEL-BOVEC;0;15.033;657;O;;x;MP PREDEL;200;20;180;0;0;0;0;0
R1;203;1003;BOVEC(PO OBVOZNICI)-ŽAGA;0;9.820;96;P; ; ; ;2.000;65;1.648;34;148;57;32;16
R1;203;1004;ŽAGA-KOBARID;0;13.500;96;O;QLD3; ;SRPENICA;1.927;61;1.549;32;141;79;44;21
R1;204;1012;ŠEMPETER-VOLČJA DRAGA;0;2.800;262;O;QLD6; ;VOLČJA DRAGA;11.927;57;11.121;37;441;160;81;30
R1;204;1012;VOLČJA DRAGA-DORNBERK;2.800;8.343;203;O;QLD6;03x1;PRVAČINA;6.335;50;5.845;31;252;92;38;27
R1;204;1013;DORNBERK-ŠTANJEL;0;13.078;204;O;QLD3;03x1;BRANIK;2.817;12;2.489;23;133;83;46;31
R1;204;1014;ŠTANJEL-DUTOVLJE;0;7.820;205;P; ; ; ;3.000;42;2.693;22;120;55;45;23
R1;204;1015;DUTOVLJE-SEŽANA;0;7.890;205;O;QLD6; ;TOMAJ;4.198;30;3.828;21;203;62;32;22
R1;205;1026;DIVAČA-LOKEV-LIPICA;0;8.710;418;O;SBH; ;MP LIPICA;3.166;24;3.119;1;20;2;0;0
R1;206;1027;KR.GORA-VRŠIČ;0;12.570;220;O;SBH; ;ERIKA;726;36;668;6;6;6;4;0
R1;206;1028;VRŠIČ-TRENTA;0;8.960;211;P; ; ; ;400;18;369;5;3;3;2;0
R1;206;1029;TRENTA-BOVEC;0;22.242;211;O;SBH; ;TRENTA;387;19;357;3;3;3;2;0
R1;207;1057;GODOVIČ-ČRNI VRH;0;6.871;105;O;;03x4;GODOVIČ;1.885;18;1.575;18;114;90;18;52
R1;207;1058;ČRNI VRH-COL;0;9.602;105;P; ; ; ;1.000;10;726;10;100;54;50;50
R1;207;1413;COL-AJDOVŠČINA;0;8.696;427;O;QLD6;03x1;BUDANJE;3.351;16;2.937;10;176;84;72;56
R1;208;1059;AVER-GRAČIŠČE;0;8.555;2;O;QLD6;03x1;KUBED;3.264;36;2.934;22;152;44;18;58
R1;208;1060;GRAČIŠČE-SOČERGA;0;5.000;151;O;;01x4;GRAČIŠČE;2.930;32;2.719;20;106;22;10;21
R1;208;1060;SOČERGA - MP  SOČERGA;5.000;8.600;502;O;QLD3; ;MP SOČERGA;2.566;9;2.393;18;96;20;10;20
R1;208;1149;RIŽANA-MOSTIČJE;0;1.950;151;P; ; ; ;1.200;13;1.100;22;44;9;3;9
R1;209;1088;LESCE-BLED;0;3.545;109;O;QLD6;03x1;BLED;19.061;76;17.732;208;735;160;96;54
R1;209;1089;BLED-PRISTAVA;0;2.200;109;P; ; ; ;9.700;71;9.395;53;95;64;16;6
R1;209;1089;PRISTAVA-SOTESKA;2.200;10.530;110;O;QLD2;03x1;BOHINJSKA BELA;3.800;25;3.437;50;180;58;30;20
R1;209;1090;SOTESKA-BITNJE;0;8.510;110;P; ; ; ;3.962;27;3.623;48;160;54;30;20
R1;209;1091;BITNJE-BOH.BISTRICA;0;1.340;110;P; ; ; ;3.565;23;3.263;46;154;39;25;15
R1;209;1092;BOH.BISTRICA-JEZERO;0;6.200;255;O;;99x1;BOHINJ;1.700;20;1.572;50;53;5;0;0
R1;210;1105;MP ZG.JEZERSKO-SP.JEZERSKO;0;10.345;661;O;SBH; ;MP JEZERSKO;273;8;245;2;8;10;0;0
R1;210;1106;SP. JEZERSKO-PREDDVOR;0;15.585;242;O;;01x4;KOKRA;1.340;64;1.197;20;34;16;5;4
R1;210;1107;PREDDVOR-KR(PRIMSKOVO);0;8.440;249;O;QLD2; ;VISOKO;6.169;5;5.779;60;210;65;30;20
R1;210;1108;KR(PRIMSKOVO-LABORE);0;2.600;244;O;QLD6; ;KR PRIMSKOVO 2;15.297;40;14.051;60;708;214;112;112
R1;210;1109;KRANJ-ŠKOFJA LOKA;0;7.770;111;O;QLD6; ;DORFARJE;12.258;54;11.039;90;589;216;144;126
R1;210;1077;ŠKOFJA LOKA;0;930;107;O;QLD6; ;ŠKOFJA LOKA;24.482;3;22.681;224;958;317;189;110
R1;210;1110;ŠK.LOKA-GORENJA VAS;0;16.286;112;O;QLD6; ;ZMINEC;6.652;40;6.022;44;304;132;78;32
R1;210;1111;GORENJA VAS-TREBIJA;0;4.877;408;O;;03x4;TREBIJA 1;3.013;35;2.637;41;178;65;40;17
R1;210;1112;TREBIJA-SOVODENJ;0;5.880;409;O;QLD2; ;TREBIJA;1.200;0;1.055;5;60;30;30;20
R1;210;1113;SOVODENJ-CERKNO;0;11.981;409;P; ; ; ;1.053;0;934;5;50;25;25;14
R1;210;1114;CERKNO-ŽELIN;0;4.200;102;O;;03x4;ŽELIN;2.277;20;1.941;52;138;63;40;23
R1;210;1078;ŠKOFJA LOKA-JEPRCA;0;6.170;106;O;QLD6; ;GODEŠIČ;12.246;32;10.903;82;601;246;168;214
R1;211;0211;KR(LABORE)-JEPRCA;0;8.150;625;O;QLD6; ;MEJA PRI KRANJU;11.968;42;10.628;154;616;186;134;208
R1;211;0212;JEPRCA-MEDVODE;0;3.650;52;O;;98x1;MEDVODE;20.000;50;18.370;140;800;270;120;250
R1;211;0212;MEDVODE-STANEŽIČE;3.650;8.000;643;O;QLD6; ;MEDNO;25.855;68;23.126;298;1.227;390;296;450
R1;211;0212;STANEŽIČE -LJ( ŠENTVID);8.000;8.786;643;P; ; ; ;27.000;61;24.316;281;1.245;493;250;354
R1;212;1115;UNEC;0;610;245;P; ; ; ;6.900;14;6.163;51;304;149;85;134
R1;212;1116;UNEC-RAKEK;0;2.160;245;P; ; ; ;7.200;15;6.431;53;317;156;89;139
R1;212;1117;RAKEK-CERKNICA;0;3.980;245;O;QLD6; ;RAKEK;7.116;34;6.360;48;306;140;90;138
R1;212;1118;CERKNICA-BL.POLICA;0;10.851;246;O;QLD3; ;GRAHOVO;4.329;35;3.760;32;142;213;43;104
R1;212;1119;BL.POLICA-SODRAŽICA;0;17.183;247;O;QLD3; ;NOVA VAS;2.387;23;2.136;13;59;94;15;47
R1;212;1120;SODRAŽICA-ŽLEBIČ;0;5.770;248;O;;98x1;ŽLEBIC 1;2.000;5;1.795;10;90;50;20;30
R1;213;1365;BLOŠKA POLICA-PUDOB;0;8.200;386;O;;98x1;STARI TRG;2.400;8;2.227;30;60;20;30;25
R1;213;1366;PUDOB-BABNO POLJE;0;10.357;384;O;SBH; ;MP BABNO POLJE;565;6;517;27;8;4;0;3
R1;214;1156;KOČEVJE-STARI LOG;0;11.827;268;P; ; ; ;1.000;14;910;3;30;19;11;13
R1;214;1157;STARI LOG-DVOR;0;14.405;268;O;QLD3; ;SMUKA;1.087;15;994;3;32;22;10;11
R1;215;1456;TREBNJE;0;1.450;270;P; ; ; ;12.000;26;10.814;63;559;243;142;153
R1;215;1162;TREBNJE-MOKRONOG;0;14.200;270;O;QLD6; ;BISTRICA;4.366;14;3.888;26;232;88;52;66
R1;215;1163;MOKRONOG-BOŠTANJ;0;18.421;448;O;QLD6; ;JELOVEC;2.391;15;2.007;11;157;64;68;69
R1;216;1367;IVANČNA GORICA-KRKA;0;6.850;387;O;QLD6; ;MRZLO POLJE;6.101;22;5.606;28;223;106;52;64
R1;216;1175;KRKA-ŽUŽEMBERK;0;13.435;277;O;QLD6; ;ZAGRADEC;2.963;16;2.675;18;118;50;34;52
R1;216;1158;ŽUŽEMBERK-DVOR;0;4.270;278;O;;00x1;ŽUŽEMBERK 2;3.400;35;2.986;56;195;73;23;32
R1;216;1176;DVOR-SOTESKA;0;5.550;163;O;;00x1;DVOR;3.900;31;3.459;55;204;84;22;45
R1;216;1177;SOTESKA-ČRMOŠNJICE;0;14.355;279;O;QLD3; ;PODTURN;2.853;5;2.614;31;49;87;22;45
R1;216;1178;ČRMOŠNJICE-RUČETNA VAS;0;9.600;279;P; ; ; ;3.100;6;2.884;35;55;59;17;44
R1;216;1178;RUČETNA VAS-ČRNOMELJ;9.600;15.210;280;O;QLD6; ;ČRNOMELJ;5.407;20;4.991;20;190;74;56;56
R1;217;1208;LIVOLD-BREZOVICA;0;16.230;466;O;;00x1;MOZELJ;950;8;740;5;57;42;72;26
R1;217;1209;BREZOVICA-DOBLIČE;0;17.000;299;O;;x;BREZOVICA;50;0;41;2;3;2;1;1
R1;217;1209;DOBLIČE-KANIŽARICA;17.000;19.930;300;O;QLD3; ;BLATNIK;1.448;0;1.296;43;56;32;4;17
R1;218;1211;METLIKA-PODZEMELJ;0;5.460;450;O;;00x1;PODZEMELJ 3;3.655;16;3.317;28;155;59;31;49
R1;218;1212;PODZEMELJ-ČRNOMELJ;0;8.950;302;O;QLD6; ;PODZEMELJ;3.538;14;3.220;20;138;60;36;50
R1;218;1152;ČRNOMELJ;0;730;302;P; ; ; ;10.800;44;9.905;57;350;216;114;114
R1;218;1213;ČRNOMELJ-KANIŽARICA;0;2.215;308;O;QLD6; ;KANIŽARICA;5.639;16;5.242;34;189;80;41;37
R1;218;1214;KANIŽARICA-VINICA;0;15.535;303;O;QLD3; ;DRAGATUŠ;2.205;8;2.020;23;28;83;32;11
R1;218;1153;VINICA;0;160;154;P; ; ; ;1.750;3;1.656;48;23;20;0;0
R1;218;1215;VINICA-MOST ČEZ KOLPO;0;850;154;O;SBH; ;MP VINICA;621;1;587;18;8;7;0;0
R1;219;1236;SL.BISTRICA-POLJČANE;0;8.496;125;O;;00x1;POLJČANE;5.500;38;4.660;51;259;223;158;111
R1;219;1410;POLJČANE;0;700;125;P; ; ; ;6.200;43;5.253;58;291;251;178;126
R1;219;1237;POLJČANE-PODPLAT;0;9.189;126;O;QLD6; ;PODPLAT;3.820;16;3.268;16;202;116;92;110
R1;219;1239;MESTINJE-GOLOBINJEK;0;14.779;128;O;QLD6; ;PODČETRTEK;5.026;22;4.461;26;243;100;64;110
R1;219;1240;GOLOBINJEK-BISTRICA;0;8.996;412;O;;98x1;BISTRICA 2;2.000;3;1.727;10;110;50;20;80
R1;219;1421;BISTRICA OB SOTLI;0;720;412;P; ; ; ;3.600;8;3.109;44;128;86;111;114
R1;219;1241;BISTRICA-BIZELJSKO;0;6.805;413;O;QLD6; ;BIZELJSKO;1.737;12;1.297;8;98;76;138;108
R1;219;1242;BIZELJSKO-BREŽICE;0;16.000;129;O;QLD6;03x1;BUKOŠEK;3.174;12;2.718;12;132;62;136;102
R1;219;1242;BREŽICE-ČATEŽ;16.000;17.570;366;O;QLD6; ;BREŽICE;11.271;29;9.964;81;508;229;287;173
R1;220;1334;KRŠKO-BREŽICE;0;12.715;367;O;QLD6;03x1;DOLENJA VAS;5.943;22;5.451;46;252;74;54;44
R1;221;1227;TROJANE-IZLAKE;0;6.652;314;O;QLD6; ;IZLAKE;3.553;18;2.884;48;161;156;194;92
R1;221;1218;IZLAKE-ZAGORJE;0;6.300;306;O;QLD6; ;KISOVEC;6.871;30;6.185;80;280;128;60;108
R1;221;1219;ZAGORJE-BEVŠKO;0;5.332;307;O;QLD3; ;BEVŠKO;3.189;20;2.935;60;120;35;15;4
R1;221;1220;BEVŠKO-TRBOVLJE;0;3.123;127;P; ; ; ;10.100;37;9.213;77;289;189;95;200
R1;221;1221;TRBOVLJE-HRASTNIK;0;8.967;309;O;;x;HRASTNIK;260;7;231;0;11;10;1;0
R1;221;1222;HRASTNIK-ŠMARJETA;0;9.650;310;O;QLD6; ;MARNO;4.381;18;3.792;48;205;116;62;140
R1;222;1228;ZAGORJE-MOST ČEZ SAVO;0;1.950;127;P; ; ; ;6.000;22;5.475;46;171;112;56;118
R1;223;1229;BEVSKO-MOST ČEZ SAVO;0;1.220;127;O;;99x4;TRBOVLJE 2;8.000;29;7.411;70;250;120;60;60
R1;224;1230;HRASTNIK-MOST ČEZ SAVO;0;1.500;123;P; ; ; ;6.100;12;5.368;60;252;179;94;135
R1;225;1140;MENGEŠ-DUPLICA;0;3.805;259;O;;02x4;DUPLICA;10.720;39;9.682;69;484;192;113;141
R1;225;1359;DUPLICA-KAMNIK;0;3.735;382;P; ; ; ;12.100;21;11.719;42;151;92;54;21
R1;225;1424;KAMNIK-MEKINJE;0;700;382;P; ; ; ;7.100;12;6.877;25;88;54;31;13
R1;225;1083;KAMNIK(MEKINJE)-SP.  STRANJE;0;2.000;231;O;;02x4;STRANJE;5.040;27;4.372;34;217;118;142;130
R1;225;1083;SPODNJE STRANJE-STAHOVICA;2.000;4.270;231;P; ; ; ;4.000;48;3.558;34;117;75;105;63
R1;225;1084;STAHOVICA-ČRNIVEC;0;10.615;233;O;;02x4;ČRNA;1.830;11;1.625;20;91;43;25;15
R1;225;1085;ČRNIVEC-GORNJI GRAD;0;12.200;237;O;QLD6; ;TIROSEK;1.057;18;911;11;60;20;21;16
R1;225;1085;GORNJI GRAD-RADMIRJE;12.200;17.571;234;O;;00x1;RADMIRJE 2;1.400;20;1.135;25;120;50;25;25
R1;225;1248;RADMIRJE-MOZIRJE;0;8.731;232;O;QLD6; ;NIZKA;4.946;38;4.434;38;204;104;74;54
R1;225;1248;MOZIRJE;8.731;11.170;139;O;;99x4;MOZIRJE;5.500;19;4.897;31;261;147;65;80
R1;225;1247;MOZIRJE-SOTESKA;0;2.339;138;P; ; ; ;4.000;27;3.473;29;181;123;71;96
R1;225;1246;SOTESKA-LETUŠ;0;3.340;138;P; ; ; ;3.600;25;3.125;26;163;111;64;86
R1;225;1246;LETUŠ-ŠENTRUPERT;3.340;12.200;138;O;QLD6;03x1;LETUŠ;5.987;40;5.208;40;287;150;104;158
R1;226;1254;MP HOLMEC-POLJANA;0;3.930;662;O;QLD3; ;MP HOLMEC;1.254;10;1.129;5;50;15;5;40
R1;226;1255;POLJANA-PREVALJE;0;2.000;432;O;QLD6; ;PREVALJE;7.388;26;6.757;70;267;122;52;94
R1;226;1255;PREVALJE-RAVNE;2.000;7.965;432;P; ; ; ;11.500;27;10.504;117;369;226;98;159
R1;226;1256;RAVNE-DRAVOGRAD;0;7.080;160;O;QLD6; ;RAVNE;6.662;26;5.847;76;323;148;102;140
R1;227;1264;RAVNE-KOTLJE;0;3.600;319;O;QLD3; ;BRDINJE;6.393;32;5.893;24;302;94;43;5
R1;227;1423;KOTLJE-SLOVENJ GRADEC;0;11.154;322;O;;00x4;KOTLJE;4.600;23;4.250;17;218;61;28;3
R1;228;1291;SPUHLJA-BORL;0;8.500;341;O;QLD6;03x1;STOJNCI;4.737;18;3.984;58;193;80;48;356
R1;228;1291;BORL-MP ZAVRČ;8.500;13.900;340;O;QLD3; ;MP ZAVRČ;2.000;1;1.434;15;100;60;40;350
R1;229;1417;PTUJ-ROGOZNICA;0;2.080;338;P; ; ; ;11.681;36;10.724;101;450;126;134;110
R1;229;1286;ROGOZNICA-SENARSKA;0;17.020;338;O;QLD6; ;GOČOVA;2.393;10;2.075;16;116;50;58;68
R1;229;1287;SENARSKA-LENART;0;4.100;442;O;;02x4;GRADIŠČE 3;4.000;16;3.627;34;120;60;68;75
R1;230;1399;VUČJA VAS-KRIŽEVCI;0;4.527;353;P; ; ; ;3.700;20;3.206;19;101;170;100;84
R1;230;1415;KRIŽEVCI;0;700;353;P; ; ; ;6.200;30;5.470;53;237;180;120;110
R1;230;1309;KRIŽEVCI-LJUTOMER;0;7.300;353;O;QLD6; ;NORŠINCI;5.917;46;5.203;46;238;168;112;104
R1;230;1310;LJUTOMER-PAVLOVCI;0;13.910;354;O;QLD6; ;IVANJKOVCI;3.106;16;2.531;24;197;76;98;164
R1;230;1311;PAVLOVCI-ORMOŽ;0;1.860;354;P; ; ; ;4.300;24;3.673;30;207;85;111;170
R1;230;1312;ORMOŽ;0;1.500;354;P; ; ; ;6.300;31;5.804;50;263;102;30;20
R1;230;0251;ORMOŽ-MP ORMOŽ;0;760;156;O;QLD3; ;MP ORMOŽ;767;0;757;0;10;0;0;0
R1;231;1325;GIBINA-RAZKRIŽJE;0;2.930;431;O;SBH;03x1;MP GIBINA;477;2;454;4;13;4;0;0
R1;231;1323;RAZKRIŽJE-STROČJA VAS;0;3.830;360;P; ; ; ;2.300;11;1.985;18;100;57;39;90
R1;231;1327;STROČJA VAS-LJUTOMER;0;2.500;360;P; ; ; ;3.000;15;2.641;24;130;60;40;90
R1;232;1314;MP HODOŠ-HODOŠ;0;1.500;430;O;SBH; ;MP HODOŠ;242;0;222;16;2;2;0;0
R1;232;1314;HODOŠ-ŠALOVCI;1.500;5.000;137;P; ; ; ;800;2;723;7;26;21;15;6
R1;232;1314;ŠALOVCI-G. PETROVCI;5.000;10.458;137;P; ; ; ;1.500;4;1.359;12;47;39;28;11
R1;232;1315;PETROVCI-MAČKOVCI;0;6.500;137;P; ; ; ;2.800;7;2.537;22;88;74;52;20
R1;232;1315;MAČKOVCI-MARTJANCI;6.500;17.700;137;O;QLD6; ;VANEČA;3.073;12;2.832;20;87;60;48;14
R1;232;1316;MARTJANCI-M.SOBOTA;0;2.350;137;P; ; ; ;9.000;24;8.151;71;285;237;166;66
R1;232;1470;MURSKA SOBOTA;0;1.000;137;P; ; ; ;14.000;37;12.680;111;444;369;258;101
R1;232;1406;M.SOBOTA-LIPOVCI;0;3.840;148;O;QLD3; ;RAKIČAN;12.726;30;11.745;120;250;382;97;102
R1;234;1476;DRAMLJE-DOLE;0;2.750;316;O;;x;DOLE;5.200;13;4.415;20;351;51;160;190
R1;234;1280;DOLE-ŠENTJUR;0;3.445;134;P; ; ; ;9.000;18;8.112;26;380;94;170;200
R1;235;0317;RADENCI-PETANJCI;0;2.047;86;P; ; ; ;5.000;20;4.541;76;181;62;70;50
R1;235;0318;PETANJCI-M.SOBOTA(GAJ);0;7.379;623;O;QLD6; ;TROPOVCI;6.450;22;5.773;94;291;100;100;70
R1;235;1396;M.SOBOTA(GAJ)-PRIK.M.S.;0;2.858;87;P; ; ; ;500;0;422;6;18;5;5;44
R2;401;1020;ŽAGA-UČJA;0;7.445;551;O;;x;MP UČJA;150;10;135;0;5;0;0;0
R2;402;1426;SOLKAN-GONJAČE;0;10.396;219;O;;99x1;SABOTIN;3.000;15;2.770;25;120;50;15;5
R2;402;1465;GONJAČE-DOBROVO;0;4.655;550;P; ; ; ;3.200;13;2.942;19;120;61;13;32
R2;402;1045;DOBROVO-NEBLO;0;2.700;550;P; ; ; ;2.000;8;1.839;12;75;38;8;20
R2;402;1045;NEBLO-MP NEBLO;2.700;4.820;550;O;SBH; ;MP NEBLO;862;4;792;5;32;17;4;8
R2;403;1071;BAČA-KNEŽA;0;6.153;108;O;SBH; ;BAČA;1.309;14;1.173;24;31;40;24;3
R2;403;1072;KNEŽA-PODBRDO;0;15.789;108;P; ; ; ;800;9;717;14;19;25;14;2
R2;403;1073;PODBRDO-PETROVO BRDO;0;4.400;108;P; ; ; ;260;2;232;5;7;9;5;0
R2;403;1074;PETROVO BRDO-PODROŠT;0;8.100;108;P; ; ; ;170;2;154;3;3;5;3;0
R2;403;1075;PODROŠT-ZALI LOG;0;5.000;618;P; ; ; ;600;2;563;5;12;11;4;3
R2;403;1075;ZALI LOG-ČEŠNJICA;5.000;10.000;618;P; ; ; ;1.000;4;940;8;19;18;7;4
R2;403;1076;ČEŠNJICA-ŠKOFJA LOKA;0;15.700;618;O;QLD6; ;BUKOVICA;4.791;30;4.341;40;186;100;58;36
R2;404;1379;PODGRAD-IL.BISTRICA;0;11.000;397;O;QLD6;03x1;REČICA;3.096;8;2.741;21;122;62;30;112
R2;404;1380;IL.BISTRICA-PIVKA;0;16.942;398;O;;03x1;KNEŽAK;3.353;20;3.064;25;157;45;21;21
R2;405;1018;MATAVUN-VREME;0;7.600;207;O;;97x4;VREME;1.590;9;1.407;8;57;40;13;56
R2;405;1018;VREME-RIBNICA;7.600;17.338;210;O;QLD3; ;GORNJE VREME;1.307;6;1.139;11;51;35;10;55
R2;406;1407;KRIŽ.DEKANI-ANKARAN;0;6.000;403;O;QLD6;03x1;ANKARAN;7.219;27;6.873;31;231;40;13;4
R2;406;1407;ANKARAN-MP LAZARET;6.000;8.636;650;O;QLD3; ;MP LAZARET;1.463;15;1.418;0;30;0;0;0
R2;407;1144;GORENJA VAS-LUČINE;0;9.000;263;O;;03x4;TODRAŽ;718;1;640;7;36;8;24;2
R2;407;1144;LUČINE-LJUBLJANICA;9.000;13.926;263;P; ; ; ;250;0;238;5;1;1;5;0
R2;407;1145;LJUBLJANICA-VRZDENEC;0;3.800;264;P; ; ; ;200;1;183;3;8;4;1;0
R2;407;1145;VRZDENEC-HORJUL;3.800;6.800;264;P; ; ; ;1.200;8;1.097;10;50;25;8;2
R2;407;1145;HORJUL-VRHNIKA;6.800;14.867;264;O;;02x4;LIGOJNA;2.400;13;2.153;8;126;79;16;5
R2;408;1374;LOGATEC-ŽIRI;0;21.351;393;O;SBH;03x4;PETKOVEC;1.560;18;1.354;14;77;44;25;28
R2;408;1375;ŽIRI-TREBIJA;0;7.350;394;O;;03x4;TREBIJA 3;2.201;25;1.931;32;126;43;29;15
R2;409;0358;LJ(VIČ)-AC BREZOVICA;0;2.741;165;O;;x;GORJANC;12.500;73;11.795;102;169;155;110;96
R2;409;0300;AC BREZOVICA-BREZOVICA;0;1.400;267;O;QLD6; ;BREZOVICA;24.529;30;22.026;255;969;399;330;520
R2;409;0300;BREZOVICA-VRHNIKA;1.400;13.161;611;O;QLD6; ;DRENOV GRIČ;11.480;108;9.498;162;673;351;236;452
R2;409;0301;VRHNIKA-LOGATEC;0;9.525;153;O;QLD6; ;ZAPOLJE;9.763;112;8.332;106;551;240;188;234
R2;409;0302;LOGATEC;0;900;153;P; ; ; ;10.930;48;9.510;112;604;318;142;196
R2;409;0303;KALCE-PLANINA;0;8.470;74;P; ; ; ;2.760;93;2.238;36;157;102;48;86
R2;409;0304;PLANINA-RAVBARKOMANDA;0;7.230;612;O;QLD6; ;RAVBARKOMANDA;3.090;98;2.581;30;165;80;52;84
R2;409;0305;RAVBARKOMANDA-PO(R913);0;3.000;612;P; ; ; ;5.586;100;5.026;35;180;99;65;81
R2;409;0305;PO(R913)-POSTOJNA;3.000;4.360;612;P; ; ; ;12.010;110;10.973;45;376;232;141;133
R2;409;0306;POSTOJNA-RAZDRTO;0;10.980;76;O;QLD6; ;POSTOJNA;6.350;96;5.312;66;308;192;108;268
R2;409;0307;RAZDRTO-SENOŽEČE;0;6.530;22;O;;01x1;SENOŽEČE;3.847;82;3.031;35;165;139;95;300
R2;409;0308;SENOŽEČE-DIVAČA;0;8.140;77;O;QLD6; ;DIVAČA;3.050;72;2.243;32;188;120;96;299
R2;409;0309;DIVAČA-MATAVUN;0;1.940;684;O;QLD6; ;ŠKOCJAN;5.528;106;4.255;48;344;324;116;335
R2;409;0310;MATAVUN-KOZINA;0;7.275;78;O;;00x1;KAČIČE;4.600;94;3.298;41;377;332;128;330
R2;409;0311;KOZINA - KLANEC;0;3.768;78;P; ; ; ;5.100;84;4.114;52;220;265;160;205
R2;410;1133;BISTRICA-TRŽIČ;0;320;258;P; ; ; ;6.000;32;5.568;53;218;101;24;4
R2;410;1134;TRŽIČ-GOLNIK;0;6.500;258;P; ; ; ;2.000;11;1.779;18;73;94;24;1
R2;410;1134;GOLNIK-KOKRICA;6.500;13.671;258;O;QLD3; ;TENETIŠE;3.776;20;3.531;30;135;30;26;4
R2;410;1135;KOKRICA-KRANJ;0;2.234;258;P; ; ; ;7.900;43;7.329;70;288;134;31;5
R2;411;1471;KRANJ Z - POLICA;0;733;718;P; ; ; ;17.300;119;15.414;190;879;449;92;157
R2;411;1428;POLICA-NAKLO(MARINŠEK);0;1.900;51;O;;03x1;NAKLO - MARINŠEK;12.000;73;10.526;151;613;357;180;100
R2;411;1428;NAKLO(MARINŠEK)-PODTABOR;1.900;7.160;708;O;;03x1;PODBREZJE;4.693;48;4.008;53;203;122;155;104
R2;411;1429;GOBOVCE-ČRNIVEC;0;6.163;707;O;;00x4;LJUBNO;1.500;26;1.368;31;53;15;6;1
R2;412;1454;POLICA-KR(KIDRIČEVA);0;2.035;718;O;QLD6; ;KR ZLATO POLJE;17.828;10;16.097;180;801;328;202;210
R2;412;0359;KRANJ(KIDRIČEVA - ISKRA);0;1.500;717;O;;01x4;KR SEJEM;18.400;8;17.041;48;699;208;192;204
R2;412;0210;KR(ISKRA-LABORE);0;1.450;716;O;QLD6; ;KR LABORE;20.509;4;18.552;308;909;332;196;208
R2;413;4704;MEDVODE-ZBILJE;0;1.215;228;P; ; ; ;5.000;30;4.465;46;266;121;28;44
