Kat. ceste;Štev. ceste;Štev. odseka;Prometni odsek;Stac. začetka;Stac. konca;Števno mesto;Tip pr. odseka;Tip avt. števca;Leto roč. (avt.) štetja;Ime števnega mesta;Vsa vozila (PLDP);Motorji;Osebna vozila;Avtobusi;Lah. tov. < 3,5t;Sr. tov.  3,5-7t;Tež. tov. nad 7t;Tov. s prik.
HC;H3;0088;LJ(TOMAČEVO - DUNAJSKA);0;1.238;;P;;;;70.700;130;62.150;120;4.100;800;950;2.450
HC;H3;0089;LJ (DUNAJSKA - SAVLJE);0;1.180;;P;;;;67.000;120;57.495;135;4.500;1.050;1.100;2.600
HC;H3;0089;LJ (SAVLJE - IND. CONA ŠIŠKA);1.180;1.910;174;O;QLD-6;;S Obvoznica;60.398;133;52.243;111;4.016;622;905;2.368
HC;H3;0089;LJ (IND. CONA ŠIŠKA - CELOVŠKA);1.910;2.654;;P;;;;68.700;120;59.485;115;4.700;750;1.030;2.500
HC;H3;0090;LJ(CELOVŠKA - KOSEZE);0;1.900;199;O;QLD-6;;Dravlje HC;68.176;209;58.009;242;4.901;820;1.083;2.912
HC;H4;0374;RAZCEP RAZDRTO;0;440;819;O;QLD-6;;CP Nanos;6.771;14;4.508;60;587;129;208;1.265
HC;H4;0374;PODNANOS - VIPAVA;440;2.756;;P;;;;8.200;39;5.616;55;730;140;270;1.350
HC;H4;1502;ZAČASNI PRIKLJ.RAZDRTO;0;113;;P;;;;6.771;14;4.508;60;587;129;208;1.265
HC;H4;1500;ZAČASNI PRIKLJ. PODNANOS;0;194;;P;;;;8.200;39;5.616;55;730;140;270;1.350
HC;H4;0375;VIPAVA-AJDOVŠČINA;0;6.763;865;O;QLD-6;;Dolga Poljana HC;9.424;30;6.732;36;788;186;280;1.372
HC;H4;0376;AJDOVŠČINA-SELO;0;9.174;635;O;QLD-6;;Ajdovščina HC;11.936;24;9.297;33;830;231;284;1.237
HC;H4;0378;SELO - VOGRSKO;0;6.726;816;O;QLD-6;;Selo HC;11.365;24;8.789;62;850;188;209;1.243
HC;H4;0379;VOGRSKO-ŠEMPETER;0;4.776;815;O;QLD-3 BS;;CP Bazara;3.114;4;1.703;8;149;49;101;1.100
HC;H4;0380;ŠEMPETER-VRTOJBA;0;1.500;880;O;QLD-6;;Šempeter HC;5.808;7;4.281;15;279;92;189;945
HC;H4;0380;VRTOJBA-MP VRTOJBA;1.500;2.238;671;O;QLD-3;;MP Vrtojba;6.973;9;5.177;18;337;107;220;1.105
HC;H5;0388;MP ŠKOFIJE - PLAVJE;0;560;651;O;QLD-6;;MP Škofije;14.242;213;12.821;68;671;83;56;330
HC;H5;0388;PLAVJE-ŠKOFIJE;560;2.120;860;O;QLD-6;;Škofije HC;13.338;191;11.974;60;648;79;60;326
HC;H5;0388;ŠKOFIJE-PRIKLJ.SRMIN;2.120;2.800;;P;;;;21.500;190;19.815;75;900;100;90;330
HC;H5;0388;PRIKLJ.SRMIN-SRMIN;2.800;4.156;;P;;;;27.300;220;24.920;100;1.100;350;260;350
HC;H5;0456;PRIKLJUČEK PLAVJE;0;100;861;O;QLD-6;;PR Škofije-KP;480;4;441;1;21;4;6;3
HC;H5;0456;PRIKLJUČEK PLAVJE;100;146;862;O;QLD-6;;PR Škofije-MP;1.385;26;1.289;8;44;8;3;7
HC;H5;0236;SRMIN-BERTOKI;0;1.129;;P;;;;40.000;330;34.670;200;2.500;400;550;1.350
HC;H5;0237;BERTOKI-KP(ŠKOCJAN);0;2.548;11;O;QLD-6;;Bertoki AC;52.933;382;47.241;248;2.838;499;518;1.207
G1;1;0240;MP VIČ-DRAVOGRAD;0;3.590;663;O;QLD-6;;MP Vič;1.703;40;1.306;6;96;17;34;204
G1;1;0241;DRAVOGRAD-RADLJE;0;16.358;60;O;QLD-6;;Gortina;7.653;68;6.545;57;489;108;136;250
G1;1;0242;RADLJE;0;2.350;;P;;;;8.900;36;7.872;82;450;150;110;200
G1;1;0243;RADLJE-BREZNO;0;9.068;605;O;QLD-3;;Brezno;4.919;3;4.004;51;521;106;60;174
G1;1;0244;BREZNO-RUTA;0;9.569;573;O;;07x1;Brezno-2;3.892;2;3.074;39;398;125;49;205
G1;1;0245;RUTA-SELNICA;0;10.500;600;O;QLD-6_sel;;Zgornji Boč;5.177;58;4.310;53;368;86;103;199
G1;1;0245;SELNICA-MB(OTOK);10.500;20.120;61;O;QLD-6;;Brestrnica;9.699;65;8.533;95;453;150;174;229
G1;1;0245;MB(OTOK)-MB(KOROŠKI MOST);20.120;20.688;;P;;;;15.600;45;14.280;90;500;170;270;245
G1;1;0326;MB (KOR. MOST-C. PROLET. BRIGAD);0;2.014;18;O;QLD-6;;MB Koroški most;26.042;87;24.138;93;992;189;280;263
G1;1;0364;MB (C. PROLET. BRIGAD - TRŽAŠKA C.);0;2.227;;P;;;;31.000;80;28.830;160;1.000;330;300;300
G1;1;0246;MB(TRŽAŠKA C.-MIKLAVŽ);0;3.532;19;O;QLD-6;;MB Ptujska;33.412;99;29.051;280;1.813;347;432;1.390
G1;1;1400;MB AC-MIKLAVŽ;0;3.000;20;O;QLD-5;;Miklavž sever;24.173;95;20.449;343;1.273;363;350;1.300
G1;1;1400;MIKLAVŽ-HAJDINA;3.000;17.291;606;O;QLD-6;;Starše;18.536;49;15.627;189;970;172;250;1.279
G1;2;1290;SL.BISTRICA-PRAGERSKI GRAD;0;3.520;196;O;QLD-6;;Devina;10.551;46;8.368;42;717;226;381;771
G1;2;1290;PRAGERSKI GRAD-PRAGERSKO;3.520;6.500;;P;;;;2.700;3;2.507;5;60;25;20;80
G1;2;1290;PRAGERSKO-ŠIKOLE;6.500;10.164;640;O;QLD-6;;Šikole;1.467;8;1.264;4;84;23;35;49
;;0392;PRAGERSKO-ŠIKOLE;0;4.960;641;O;QLD-6;;Šikole 2;7.486;38;5.494;37;650;169;335;763
G1;2;0393;ŠIKOLE-KIDRIČEVO;0;6.850;426;O;;07x4;Šikole 3;9.700;45;7.325;40;730;450;300;810
G1;2;0393;KIDRIČEVO-HAJDINA;6.850;9.924;639;O;QLD-5;;Zgornja Hajdina;13.243;68;10.552;83;1.038;454;379;669
G1;2;0493;DRAŽENCI-TURNIŠČE;0;2.316;;P;;;;7.000;40;5.885;25;390;120;170;370
G1;2;0395;TURNIŠČE-PTUJ;0;1.642;670;O;QLD-6;;Ptuj jezero;6.784;35;5.659;24;397;121;174;374
G1;2;0249;PTUJ-SPUHLJA;0;2.226;638;O;QLD-6;;Ptuj Vzhod;13.743;63;11.571;101;777;199;286;746
G1;2;0250;SPUHLJA-GORIŠNICA;0;8.030;424;O;;07x4;Borovci;7.818;41;6.403;49;505;228;148;444
G1;2;0250;GORIŠNICA-ORMOŽ;8.030;17.688;62;O;QLD-6;;Cvetkovci;7.063;41;5.722;48;463;133;150;506
G1;2;0398;ORMOŽ Z - ORMOŽ V;0;3.020;574;O;;07x1;Ormož;4.400;30;3.483;22;318;164;127;256
G1;2;1313;ORMOŽ-SREDIŠČE OB DRAVI;0;9.000;355;O;QLD-6;;Grabe;2.943;21;2.483;14;134;42;47;202
G1;2;1313;SRED. OB DRAVI - MP SRED. OB DRAVI;9.000;11.865;522;O;QLD;;MP Središče ob Dravi;1.112;7;812;3;60;25;26;179
G1;3;0314;PESNICA-LENART;0;14.294;84;O;QLD-6;;Močna;16.870;46;11.745;122;998;277;486;3.196
G1;3;0315;LENART-GORNJA RADGONA;0;17.558;85;O;QLD-6;;Ihova;9.641;36;5.253;88;628;164;313;3.159
G1;3;0316;GORNJA RADGONA;0;1.942;;P;;;;14.000;35;9.585;140;650;190;300;3.100
G1;3;0366;GORNJA RADGONA-RADENCI;0;5.640;86;O;QLD-6;;Šratovci;12.432;50;7.900;114;708;208;301;3.151
G1;3;1164;RADENCI;0;374;;P;;;;9.000;30;5.085;70;450;165;200;3.000
G1;3;1308;RADENCI-VUČJA VAS;0;7.796;352;O;QLD-6;;Radenci;7.493;37;3.734;45;349;125;167;3.036
G1;3;1397;LIPOVCI-BRATONCI;0;1.485;146;O;QLD-6;;Lipovci;16.006;36;11.681;134;654;223;236;3.042
G1;3;0320;BRATONCI-BELTINCI;0;2.250;;P;;;;11.500;20;7.460;160;430;270;150;3.010
G1;3;0321;BELTINCI-ČRENŠOVCI;0;5.800;87;O;QLD-6_sel;;Odranci;7.738;25;4.022;62;340;114;172;3.003
G1;3;0369;ČRENŠOVCI;0;420;;P;;;;8.000;25;4.125;80;320;200;150;3.100
G1;3;0322;ČRENŠOVCI-D.LAKOŠ;0;14.050;88;O;QLD-6;;Hotiza;7.901;21;3.821;67;419;139;219;3.215
G1;3;0815;D.LAKOŠ-RONDO DOLGA VAS;0;4.670;685;O;QLD-6;;Lendavska obvoznica;4.815;8;1.168;14;165;82;196;3.182
G1;3;1453;DOLGA VAS-MP DOLGA VAS;0;2.520;141;O;QLD;;MP Dolga vas;5.258;9;1.717;10;150;80;190;3.102
G1;4;1257;DRAVOGRAD-OTIŠKI VRH;0;1.370;480;O;QLD;;Dravograd;13.396;112;11.662;138;739;205;237;303
G1;4;1258;OTIŠKI VRH-SL.GRADEC;0;9.170;131;O;QLD-6;;Bukovska vas;11.273;81;9.619;74;682;136;292;389
G1;4;1445;SL.GRADEC;0;1.910;;P;;;;12.500;99;10.921;90;650;190;200;350
G1;4;1259;SL.GRADEC-LUŽNIK;0;6.600;329;O;QLD-6;;Šmartno SG;12.228;93;10.629;77;710;185;189;345
G1;4;1259;LUŽNIK-ZG.DOLIČ;6.600;12.897;621;O;QLD-6;;Mislinja;8.985;80;7.565;74;582;150;190;344
G1;4;1260;ZG.DOLIČ-VELENJE;0;11.375;315;O;QLD-6;;Paka;9.076;78;7.657;72;588;121;214;346
G1;4;1261;VELENJE-ČRNOVA;0;7.427;132;O;QLD-6;;Črnova;17.379;85;15.160;94;1.017;251;271;501
G1;4;1262;ČRNOVA-ARJA VAS;0;7.014;133;O;QLD-6;;Velika Pirešica;14.629;74;12.159;90;900;341;462;603
G1;5;1401;PRIKLJUČEK CELJE ZAHOD-MEDLOG;0;3.613;689;O;QLD-6;;Medlog;6.243;15;5.524;20;358;119;96;111
